left_population	right_population	pair_class	gene_set	n_genes	n_left_libraries	n_right_libraries	spearman_similarity	nested_bootstrap_95ci_low	nested_bootstrap_95ci_high	upstream_similarity	downstream_minus_upstream_similarity
Cerebellar granule	Olfactory-bulb GABA, mature proxy	granule-named proxy	downstream assembly	41	121	24	0.0160278745644599	-0.2966135379578644	0.31795311334664	-0.0613330438558402	0.0773609184203001
Cerebellar granule	Olfactory-bulb GABA, mature proxy	granule-named proxy	Tier 1 candidates	6	121	24	-0.942857142857143	-1.0	-0.5151515151515151	-0.0613330438558402	
Cerebellar granule	Olfactory-bulb GABA, mature proxy	granule-named proxy	Tier 1+2 candidates	15	121	24	-0.5678571428571427	-0.7971187659846549	-0.1557870002384549	-0.0613330438558402	
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	all curated modules	89	29	24	0.0534218590398365	-0.172609445503654	0.2918683281148191	-0.1209292227529309	
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	upstream fate/niche	48	29	24	-0.1209292227529309	-0.4166071831886819	0.2022577853819552	-0.1209292227529309	
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	downstream assembly	41	29	24	0.1001742160278745	-0.2501946859620904	0.4664480350306763	-0.1209292227529309	0.2211034387808055
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	Tier 1 candidates	6	29	24	0.5428571428571429	-1.0	1.0	-0.1209292227529309	
Dentate granule, mature	Olfactory-bulb GABA, mature proxy	granule-named proxy	Tier 1+2 candidates	15	29	24	-0.2214285714285713	-0.6483725135623869	0.2714092598850962	-0.1209292227529309	
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	all curated modules	89	121	28	-0.1035410282601293	-0.3140428275690378	0.1168006212139852	-0.0411419887103777	
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	upstream fate/niche	48	121	28	-0.0411419887103777	-0.3514255669597948	0.3034420694326594	-0.0411419887103777	
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	downstream assembly	41	121	28	-0.3515679442508711	-0.609127073867529	-0.0565506632250139	-0.0411419887103777	-0.3104259555404933
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	Tier 1 candidates	6	121	28	-0.3714285714285715	-1.0	0.8064516129032258	-0.0411419887103777	
Cerebellar granule	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	Tier 1+2 candidates	15	121	28	-0.557142857142857	-0.9018446697187704	-0.0539333250036169	-0.0411419887103777	
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	all curated modules	89	29	28	-0.1725910793326524	-0.3568414497327832	0.0431099681311664	-0.1130047763786365	
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	upstream fate/niche	48	29	28	-0.1130047763786365	-0.3845631786142188	0.1963764791723152	-0.1130047763786365	
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	downstream assembly	41	29	28	-0.0402439024390244	-0.3364809680413407	0.2820630339853239	-0.1130047763786365	0.0727608739396121
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	Tier 1 candidates	6	29	28	0.2	-1.0	1.0	-0.1130047763786365	
Dentate granule, mature	Olfactory-bulb GABA, immature proxy	granule-lineage proxy	Tier 1+2 candidates	15	29	28	-0.0535714285714285	-0.6449539828625834	0.5673119235836626	-0.1130047763786365	
