candidate_set	n_candidates	n_both_local_deltas_positive	observed_both_positive_fraction	exact_sign_p_greater	matched_null_median_both_positive_fraction	matched_null_95ci_low_both_positive_fraction	matched_null_95ci_high_both_positive_fraction	empirical_p_both_positive_fraction	observed_median_shared_minimum_delta	matched_null_median_shared_minimum_delta	matched_null_95ci_low_shared_minimum_delta	matched_null_95ci_high_shared_minimum_delta	empirical_p_shared_minimum_delta	null_matching
Tier 1	6	5	0.8333333333333334	0.109375	0.0	0.0	0.3333333333333333	9.999000099990002e-05	0.8508853180411349	-2.091386009417328	-4.488938485526405	-0.7079049427670059	0.0013998600139986	10 nearest noncandidate curated genes by overall mean expression and detection
Tier 1+2	15	10	0.6666666666666666	0.1508789062499999	0.0666666666666666	0.0	0.2	9.999000099990002e-05	0.373627520890226	-1.716409348190444	-3.939615848868981	-0.808818106769678	9.999000099990002e-05	10 nearest noncandidate curated genes by overall mean expression and detection
