canonical_gene	manuscript_tier	screen	branch_tested	held_out_dataset	n_datasets_remaining	median_dataset_rank_delta	positive_dataset_fraction	robust_directional_support
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
KCNJ3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
KCNJ6	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	cerebellar	none	3	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
KCNK1	Tier 1 core convergent program	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	cerebellar	none	3	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
NFIA	Tier 1 core convergent program	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
NFIB	Tier 1 core convergent program	full_matrix	cerebellar	none	3	0.5	1.0	True
NFIB	Tier 1 core convergent program	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
NFIB	Tier 1 core convergent program	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
NFIB	Tier 1 core convergent program	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
PPP3CA	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	cerebellar	none	3	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
RFX3	Tier 1 core convergent program	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.375	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.375	1.0	True
ROBO2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	none	3	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE122357	2	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE165657	2	0.5	1.0	True
STXBP5L	Tier 2 high-confidence wiring/synaptic executor	full_matrix	cerebellar	GSE312658	2	0.5	1.0	True
