feature_set	feature_set_label	n_features	dentate_to_cerebellum_auc	cerebellum_to_dentate_auc	minimum_bidirectional_auc	intersection_union_label_permutation_p	intersection_union_label_permutation_q_bh	matched_null_median_minimum_auc	matched_null_q25_minimum_auc	matched_null_q75_minimum_auc	matched_null_95ci_low_minimum_auc	matched_null_95ci_high_minimum_auc	matched_gene_panel_empirical_p	matched_gene_panel_q_bh	transfer_interpretation	cosine_concordance	spearman_contrast_correlation	same_sign_fraction	both_positive_fraction	matched_null_p_greater_cosine_concordance	matched_null_p_greater_spearman_contrast_correlation	matched_null_p_greater_same_sign_fraction	matched_null_p_greater_both_positive_fraction	n_shared_libraries	median_mature_margin	median_immature_margin	median_immature_minus_mature_margin	paired_wilcoxon_p_two_sided	paired_wilcoxon_q_bh	scope
tier1	Tier 1 candidates	6	1.0	0.9013840830449829	0.9013840830449829	0.296351824087956	0.889055472263868	0.8442906574394463	0.5259199540382602	0.939446366782007	0.0	1.0	0.3598200899550225	1.0	descriptive_positive_ranking_not_label_null_exceeding	0.4329098790702365	0.1428571428571428	1.0	0.8333333333333334	0.6621689155422289	0.5567216391804098	0.1979010494752623	0.0004997501249375	9	7.150360234169526	17.71589781873238	11.441994871699418	0.00390625	0.00390625	adult HPF immature-neuron state versus mature DG; not developmental age
tier1_tier2	Tier 1+2 candidates	15	1.0	0.7837370242214533	0.7837370242214533	0.2338830584707646	0.889055472263868	0.8044982698961938	0.4928885497554142	0.916955017301038	0.0	1.0	0.5302348825587206	1.0	descriptive_positive_ranking_not_label_null_exceeding	0.3116454252259544	0.0892857142857142	0.7333333333333333	0.6666666666666666	0.7231384307846077	0.7081459270364817	0.3583208395802099	0.0004997501249375	9	3.0951105108380297	-0.0129273886083129	-2.9053953429682986	0.00390625	0.00390625	adult HPF immature-neuron state versus mature DG; not developmental age
downstream_all	All downstream genes	41	0.0	0.0	0.0	1.0	1.0	0.8633217993079585	0.726643598615917	0.9134948096885812	0.0	0.9896193771626296	1.0	1.0	bidirectional_reversed_transfer	-0.1587793293223937	-0.1792682926829268	0.3658536585365853	0.1951219512195122	0.9965017491254372	0.99800099950025	1.0	0.0004997501249375	9	-6.494817618293629	18.04230337756774	24.537120995861372	0.00390625	0.00390625	adult HPF immature-neuron state versus mature DG; not developmental age
neurite_morphology	Neurite/morphology genes	21	0.0	0.0	0.0	1.0	1.0	0.8486159169550174	0.6193771626297577	0.9290657439446366	0.0	1.0	1.0	1.0	bidirectional_reversed_transfer	-0.3873272582692378	-0.4805194805194805	0.2857142857142857	0.0476190476190476	0.9895052473763118	0.9970014992503748	1.0	0.623688155922039	9	-9.334770606415448	8.626288854668756	17.643173769682697	0.00390625	0.00390625	adult HPF immature-neuron state versus mature DG; not developmental age
synaptic_excitability	Synaptic/excitability genes	20	0.0138573948097757	0.5121107266435986	0.0138573948097757	0.6586706646676662	1.0	0.7958477508650519	0.4826989619377163	0.903114186851211	0.0	0.9930795847750864	0.9080459770114944	1.0	directionally_inconsistent_or_null	0.1504970575530634	0.0180451127819548	0.45	0.35	0.8495752123938031	0.8600699650174912	0.9940029985007496	0.0004997501249375	9	-2.971284362088501	34.45372566862598	37.70285960946406	0.00390625	0.00390625	adult HPF immature-neuron state versus mature DG; not developmental age
all_curated	All curated module genes	89	0.4517510707986898	0.0103806228373702	0.0103806228373702	0.9235382308845578	1.0	0.685577281021341	0.2923875432525951	0.8910034602076125	0.0	1.0	0.8905547226386806	1.0	bidirectional_reversed_transfer	-0.1377125791527232	-0.2005107252298263	0.4157303370786517	0.1797752808988764	0.9975012493753124	1.0	1.0	0.0004997501249375	9	-49.33036224731711	61.7742480597928	105.63949250487114	0.00390625	0.00390625	adult HPF immature-neuron state versus mature DG; not developmental age
