subject	session	unit_index	unit_id	electrode_group	region	cell_type	quality	spike_count	recording_duration_s	firing_rate_hz	active_bin_fraction_1s	mean_isi_s	cv_isi	first_spike_s	last_spike_s
YutaMouse41	YutaMouse41-150829	0	0			pyramidal cell		8662	17050.16395	0.5080303054798485	0.26332766406662367	1.9676046530423736	1.718771836476662	2.3852	17043.8091
YutaMouse41	YutaMouse41-150829	1	1			wide waveform cell (narrower, exclude opto tagged SST cell)		21805	17050.16395	1.2788733330625834	0.4860711981701953	0.7817018322326179	2.4512050233767053	1.2336	17045.46035
YutaMouse41	YutaMouse41-150829	2	2			pyramidal cell		11033	17050.16395	0.6470905518770687	0.3824995601431001	1.5445877538071067	1.4241153698089568	1.2564	17041.1485
YutaMouse41	YutaMouse41-150829	3	3			pyramidal cell		12196	17050.16395	0.7153010396712345	0.3907102222743534	1.3979199917999179	1.543545766723905	0.88645	17048.52075
YutaMouse41	YutaMouse41-150829	4	4			pyramidal cell		23793	17050.16395	1.3954704523530403	0.5363908275174477	0.7165497436112979	1.7979812061150455	1.66855	17049.82005
YutaMouse41	YutaMouse41-150829	5	5			pyramidal cell		35173	17050.16395	2.0629127146897615	0.5252477860536039	0.484695423916752	2.603343442066237	1.65135	17049.3588
YutaMouse41	YutaMouse41-150829	6	6			pyramidal cell		20093	17050.16395	1.1784637413999766	0.4454284206204915	0.8484879106111886	2.033443819593822	1.9918	17049.8109
YutaMouse41	YutaMouse41-150829	7	7			narrow waveform cell		20661	17050.16395	1.2117772040543928	0.5646589642836197	0.8249844022265248	1.6001496917735438	0.1177	17044.29545
YutaMouse41	YutaMouse41-150829	8	8			pyramidal cell		9100	17050.16395	0.5337192080196977	0.19881531874963346	1.8733811847455766	2.3999742374036166	0.0867	17045.9821
YutaMouse41	YutaMouse41-150829	9	9			pyramidal cell		8618	17050.16395	0.5054496851333796	0.23787461145973843	1.9777813218057327	2.0837443435730787	6.41855	17048.9602
YutaMouse41	YutaMouse41-150829	10	10			positive negative waveform unit		6681	17050.16395	0.3918437394263297	0.2131253298926749	2.5496470508982036	1.9326820574264225	16.92325	17048.56555
YutaMouse41	YutaMouse41-150829	11	11			pyramidal cell		19802	17050.16395	1.1613964568358301	0.49733153480734266	0.86103201353467	1.7310434251706681	0.61195	17049.90685
YutaMouse41	YutaMouse41-150829	12	12			pyramidal cell		26042	17050.16395	1.5273753423350513	0.5459503841416926	0.6545002784071272	1.9429094878874784	0.9992	17044.84095
YutaMouse41	YutaMouse41-150829	13	13			wide waveform cell (wider)		34941	17050.16395	2.04930580740838	0.6383203331182922	0.4879720163136806	2.387264324802328	0.0573	17049.79955
YutaMouse41	YutaMouse41-150829	14	14			narrow waveform cell		103128	17050.16395	6.048504888423669	0.9347252360565362	0.1653273260154955	1.649741126200729	0.4622	17050.17335
YutaMouse41	YutaMouse41-150829	15	15			granule cell		10437	17050.16395	0.6121348762748995	0.3362852618614744	1.6313445860482945	2.546304238135655	25.44525	17050.15735
YutaMouse41	YutaMouse41-150829	16	16			mossy cell		7309	17050.16395	0.42867622982593084	0.21734795613160518	2.3322228995621237	2.653167591611142	5.46255	17049.3475
YutaMouse41	YutaMouse41-150829	17	17			granule cell		15568	17050.16395	0.9130703989506214	0.3943463726467656	1.0952183946810563	1.9311105948880638	0.11145	17049.3762
YutaMouse41	YutaMouse41-150829	18	18			granule cell		27058	17050.16395	1.5869642121535144	0.5654800304967451	0.6299520050264256	2.2927337949805824	5.39135	17050.00275
YutaMouse41	YutaMouse41-150829	19	19			narrow waveform cell		435305	17050.16395	25.53083954362797	0.9747228901530702	0.03916840633212651	2.360959147423324	0.02715	17050.1911
YutaMouse41	YutaMouse41-150829	20	20			positive waveform unit (bursty)		15021	17050.16395	0.8809885960070197	0.34420268605946863	1.1343988581890814	4.103017254298267	6.252	17044.92285
YutaMouse41	YutaMouse41-150829	21	21			wide waveform cell (wider)		76381	17050.16395	4.479780970082696	0.9271596973784528	0.22321993061010736	1.4620004819808836	0.085	17049.6233
YutaMouse41	YutaMouse41-150829	22	22			unknown		4724	17050.16395	0.27706478447088484	0.2023928215353938	3.6084261380478506	1.6722511090739063	5.9279	17048.52455
