gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
SATB2	SATB2	expanded_marker_panel	expanded_selected_gene	marker_panel	marker_panel	False	True	72	88	1.0	0.5	0.5	2.227089300580822e-06	6	12	1.0	0.5	0.5	0.00021486327043911477	0.18937870283754288	0.04648275172839085	3	2	2.400873107832904e-06	0.003140309337187062	True	True	True	1.0	0.04648275172839085
KSR2	KSR2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	4.306391738877116e-09	6	12	1.0	0.5	0.5	0.009879767867540601	0.7702020202020202	0.037985281950052525	7	1	5.250457381464005e-09	0.03418661397874148	True	True	True	1.0	0.037985281950052525
SAMD12	SAMD12	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	5.228568845812821e-10	6	12	1.0	0.5	0.5	0.009879767867540601	0.8600125549278091	0.03712338076569227	6	1	6.726432874595497e-10	0.03418661397874148	True	True	True	1.0	0.03712338076569227
RYR2	RYR2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.0737028146676121e-09	6	12	1.0	0.5	0.5	0.009879767867540601	0.8942937324602432	0.036708837274730344	7	2	1.3611112828837232e-09	0.03418661397874148	True	True	True	1.0	0.036708837274730344
MTR	MTR	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.511629180125541e-13	6	12	1.0	0.5	0.5	0.009879767867540601	0.5526315789473685	0.03527580345324614	4	1	2.468918442539381e-13	0.03418661397874148	True	True	True	1.0	0.03527580345324614
CCDC57	CCDC57	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.3668620952416363e-15	6	12	1.0	0.5	0.5	0.009879767867540601	0.47516556291390727	0.03503103141452597	6	1	2.8128310100371055e-15	0.03418661397874148	True	True	True	1.0	0.03503103141452597
KCNQ5	KCNQ5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	1.0	0.5	0.5	7.166241754360826e-06	6	12	1.0	0.5	0.5	0.00021486327043911477	0.5588480286296045	0.03433552215763122	4	1	7.675841168004263e-06	0.003140309337187062	True	True	True	1.0	0.03433552215763122
DGKI	DGKI	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.5371640063251686e-12	6	12	1.0	0.5	0.5	0.009879767867540601	0.8271652041205647	0.034081933727084214	6	1	2.3348100348174305e-12	0.03418661397874148	True	True	True	1.0	0.034081933727084214
SLC8A1	SLC8A1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	7.090339257799525e-08	6	12	1.0	0.5	0.5	0.009879767867540601	0.8466042154566745	0.02971545581064636	5	2	7.984914771634044e-08	0.03418661397874148	True	True	True	1.0	0.02971545581064636
SLC16A7	SLC16A7	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.6827729141149463e-14	6	12	1.0	0.5	0.5	0.0017167440604175456	0.6464646464646465	0.02211719362504994	6	1	3.064596516133768e-14	0.013191158405414228	True	True	True	1.0	0.02211719362504994
