canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	screen	branch_tested	formal_model_n_units	formal_model_n_datasets	formal_model_method	formal_model_estimate	formal_model_se	formal_model_z_greater	formal_model_p_greater	formal_model_converged	formal_model_message	dataset_best_nominal_p_greater	dataset_best_q_bh_greater	branch_replication_support	branch_nominal_support	branch_fdr10_support	formal_model_q_bh_greater	formal_model_nominal_support	formal_model_fdr10_support
NFIB	NFIB	NFIB	Nfib	51634293	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
PPP3CA	PPP3CA	PPP3CA	Ppp3ca	51620904	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
RFX3	RFX3	RFX3	Rfx3	51628902	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
SLC17A6	SLC17A6	SLC17A6	Slc17a6	51616516	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
STMN2	STMN2	STMN2	Stmn2	51624344	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
STXBP5L	STXBP5L	STXBP5L	Stxbp5l	51624931	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
TCF4	TCF4	TCF4	Tcf4	51626981	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
TUBA1A	TUBA1A	TUBA1A	Tuba1a	51627126	full_matrix	cerebellar	6	3	mixedlm_dataset_random_intercept	0.5				False		0.125	0.3498864209994952	True	True	False		False	False
MAP1B	MAP1B	MAP1B	Map1b	51630358	full_matrix	dentate	3	3	mixedlm_dataset_random_intercept	0.16666666666666666	4.779549681392224e-10	348707886.2586877	0.0	True		0.33333333333333337	0.5553028275800553	False	False	False	0.0	False	False
ACTB	ACTB	ACTB	Actb	51615947	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.25492447030206633	0.030704302337376504	8.302565142206324	5.0943626233938e-17	True		0.10155533186002748	0.13532446808510637	False	False	False	5.26417471084026e-16	False	False
TUBA1B	TUBA1B	TUBA1B	Tuba1b	51617391	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.24081278394946934	0.08338942547775952	2.887809606191562	0.00193967305982671	True		0.10155533186002748	0.13532446808510637	False	False	False	0.0037581165534142508	False	False
TCF4	TCF4	TCF4	Tcf4	51626981	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.30487913194282495	0.12493052981539798	2.4403893299206025	0.007335720276451665	True		0.10155533186002748	0.13532446808510637	False	False	False	0.010828920408095315	False	False
CADM3	CADM3	CADM3	Cadm3	51628789	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.3014538278775506	0.12583194130162528	2.3956860615775697	0.00829464609414628	True		0.10155533186002748	0.13532446808510637	False	False	False	0.011310632709518	False	False
DCC	DCC	DCC	Dcc	51626817	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.2881298467861968	0.12048503266000453	2.391416098954527	0.008391759752223032	True		0.10155533186002748	0.13532446808510637	False	False	False	0.011310632709518	False	False
RTN3	RTN3	RTN3	Rtn3	51627886	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.29451639947771124	0.12828321445605761	2.295829588668403	0.010842813466007462	True		0.10155533186002748	0.13532446808510637	False	False	False	0.013445088697849251	False	False
SLC17A6	SLC17A6	SLC17A6	Slc17a6	51616516	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.26727557350650333	0.11930941847443031	2.240188385159083	0.012539347693713175	True		0.10155533186002748	0.13532446808510637	False	False	False	0.014950760711734939	False	False
MAP3K13	MAP3K13	MAP3K13	Map3k13	51625425	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.284343643893376	0.13303666375397263	2.1373329416860485	0.016285460679340287	True		0.10155533186002748	0.13532446808510637	False	False	False	0.01869812152072403	False	False
KCNMB4	KCNMB4	KCNMB4	Kcnmb4	51633330	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.260051634261517	0.12462603188770764	2.0866558159841957	0.01845962897017447	True		0.10155533186002748	0.13532446808510637	False	False	False	0.02043744635983602	False	False
ACTG1	ACTG1	ACTG1	Actg1	51615946	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.23397435897435898	0.11506442577288832	2.0334204720768563	0.021005030389627505	True		0.10155533186002748	0.13532446808510637	False	False	False	0.022453653175119055	False	False
STMN2	STMN2	STMN2	Stmn2	51624344	selected	dentate	51	6	mixedlm_dataset_random_intercept	0.2663104775319039	0.14383495067818078	1.851500461301317	0.03204879421949452	True		0.10155533186002748	0.13532446808510637	False	False	False	0.03204879421949452	False	False
