gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection
YWHAH	YWHAH	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	7.892108440208418e-14	6	12	1.0	0.5	0.5	0.009879767867540601	0.5620915032679739	0.7499132318352396	7	3	1.3342153707569805e-13	0.03418661397874148	True	True	True	1.0	0.5620915032679739
YWHAZ	YWHAZ	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	4.130423775950194e-13	6	12	1.0	0.5	0.5	0.009879767867540601	0.7645854657113613	0.7526051754111416	7	3	6.563288769257122e-13	0.03418661397874148	True	True	True	1.0	0.7526051754111416
ZBTB16	ZBTB16	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.292186803274726e-28	6	12	0.5	0.6666666666666666	-0.16666666666666663	0.7404431743695444	0.8481495612361694	0.03236084536971473	6	1	7.186546605904822e-27	0.8934908974782608	False	False	False	0.33333333333333337	0.03236084536971473
ZBTB18	ZBTB18	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	1.0	0.5	0.5	1.0958600675120351e-18	6	12	1.0	0.5	0.5	0.00021486327043911477	0.5434850434850436	0.5828403233527767	6	3	3.778887895760897e-18	0.003140309337187062	True	True	True	1.0	0.5434850434850436
ZBTB20	ZBTB20	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	1.2997090103537992e-30	6	12	0.6666666666666666	0.6666666666666666	0.0	0.5197767383185427	0.9775784753363229	0.5979960988238486	7	3	2.214305859904784e-28	0.6827991094190786	False	False	False	0.5	0.5979960988238486
ZBTB38	ZBTB38	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	8.432564562280204e-20	6	12	0.6666666666666666	0.6666666666666666	0.0	0.5197767383185427	0.6006458557588805	0.11768302437981518	7	3	3.51735241068957e-19	0.6827991094190786	False	False	False	0.5	0.11768302437981518
ZC3H13	ZC3H13	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	5.520962881367227e-15	6	12	1.0	0.5	0.5	0.009879767867540601	0.631578947368421	0.39952186978406984	7	3	1.0720652184141016e-14	0.03418661397874148	True	True	True	1.0	0.39952186978406984
ZC3H14	ZC3H14	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	3.779045215167118e-21	6	12	1.0	0.5	0.5	0.009879767867540601	0.5918367346938775	0.38819118663667385	7	3	2.197519858363935e-20	0.03418661397874148	True	True	True	1.0	0.38819118663667385
ZCCHC11	ZCCHC11	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538533	0.0	0.32174302676508904	4	2	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0
ZCCHC7	ZCCHC7	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	1.0	0.5	0.5	2.3174243594451417e-17	6	12	0.8333333333333333	0.5	0.33333333333333326	0.04130279887374222	0.8214914856136231	0.21943342960852008	7	3	6.182648752320433e-17	0.10540030481821885	True	False	True	0.8333333333333333	0.21943342960852008
ZDHHC14	ZDHHC14	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.2989029871444746	6	12	0.5	0.8333333333333333	-0.33333333333333326	0.9667434775654529	0.5181023720349563	0.02822513861596672	7	1	0.30581159392281393	1.0	False	False	False	-0.33333333333333326	0.02822513861596672
