module_id	module_label	immature_similarity	mature_similarity	mature_minus_immature_similarity	immature_abs_difference	mature_abs_difference
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	0.86652605	0.9891267025	0.12260065249999996	0.13347394999999995	0.01087329749999999
tgf_smad_pai1_response	TGF-beta/SMAD	0.884061805	0.9792407124999999	0.09517890749999991	0.11593819499999997	0.020759287500000112
downstream_synaptic_excitability	Synaptic/excitability	0.851853915	0.9273595575	0.07550564250000003	0.14814608500000004	0.07264044250000001
secreted_stop_candidate_axis	Secreted stop candidates	0.9209557150000001	0.9877317475	0.06677603249999997	0.07904428499999999	0.012268252499999965
shared_neurogenic_niche_state	Shared neurogenic niche	0.8770381075	0.939899585	0.06286147750000004	0.1229618925	0.06010041499999996
neuronal_differentiation_maturation	Neuronal maturation	0.8124531749999999	0.83759251	0.025139335000000096	0.18754682500000003	0.16240749
downstream_neurite_morphology	Neurite/morphology	0.948113775	0.9613645749999999	0.013250799999999896	0.05188622499999995	0.038635425
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	0.877442705	0.87701113	-0.00043157500000001736	0.12255729500000001	0.12298887000000003
bdnf_erk_response	BDNF/ERK	0.90590885	0.8909999749999999	-0.014908875000000044	0.09409115000000001	0.10900002500000006
immature_progenitor_state	Immature/progenitor	0.9935883550000001	0.8435095925	-0.15007876250000007	0.00641164499999991	0.15649040749999993
