dataset	accession	node	contrast_id	contrast_label	species	model_or_tissue	module_id	module_label	module_family	hypothesis_role	n_module_genes	n_genes_available	coverage_fraction	median_effect	mean_effect	positive_fraction	negative_fraction	signed_module_shift_score	direction_call	support_class	context_match	top_abs_effect_genes
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	general neurogenic stem/progenitor and local niche signaling state	21	21	1.0	0.257725081022393	0.3476780882739475	0.7619047619047619	0.23809523809523808	0.257725081022393	up_shift	moderate_shift	off_context	ID1;BMP4;HES5;ID2;PTCH1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	10	5	0.5	0.0033968718920016627	-0.13026601362686246	0.6	0.4	0.0024019511496563535	near_zero	near_zero_or_mixed	off_context	GLI2;PTCH1;ATOH1;GLI1;MYCN
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	15	3	0.2	1.2645009929776885	1.833239504150728	1.0	0.0	0.5655020355828191	up_shift	weak_shift	matched_context	ID1;SMAD3;ID2
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_0h_vs_WT_0h	NTRK2 KO baseline vs WT baseline	human	ReNcell VM neural progenitor/stem-cell differentiation model	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	dentate neurogenic permissive and granule fate signaling	16	6	0.375	0.6223927548212522	0.8799082366523829	1.0	0.0	0.38113616722930566	up_shift	strong_shift	off_context	LEF1;WNT3A;DKK3;WNT5A;TCF7L2
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	18	8	0.4444444444444444	0.003583383447250732	-0.09878880375284405	0.5	0.5	0.0023889222981671545	near_zero	near_zero_or_mixed	matched_context	BDNF;NTRK2;SORT1;MAPK14;MAP2K1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	15	6	0.4	-0.02906761702628602	-0.08210416356504154	0.3333333333333333	0.6666666666666666	-0.01838397519131086	near_zero	near_zero_or_mixed	off_context	BMP4;ID1;BMPR2;ACVR1;ID2
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	cerebellar-specific upstream fate and progenitor-expansion logic	13	13	1.0	0.010323913737300572	0.02250936580298786	0.5384615384615384	0.3076923076923077	0.010323913737300572	near_zero	near_zero_or_mixed	off_context	BARHL1;GLI1;ZIC2;PAX6;GLI2
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	dentate-specific hippocampal granule fate and WNT-associated identity logic	17	17	1.0	0.0	0.10431138567211368	0.47058823529411764	0.4117647058823529	0.0	near_zero	near_zero_or_mixed	off_context	TBR1;NEUROD2;CALB1;BCL11B;LEF1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	convergent neurite, axon, adhesion, and morphology implementation	21	21	1.0	-0.0040968972669457315	0.00078592468308288	0.42857142857142855	0.5238095238095238	-0.0040968972669457315	near_zero	near_zero_or_mixed	matched_context	CADM3;STMN2;GAP43;NRP1;NRXN1
NTRK2 KO and BDNF response ReNcell VM	GSE242199	BDNF/NTRK2	GSE242199_NTRK2ko_24h_BDNF_vs_vehicle	NTRK2 KO 24h BDNF vs NTRK2 KO 24h vehicle	human	ReNcell VM neural progenitor/stem-cell differentiation model	downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	convergent sparse-coding, synaptic maturation, and excitability implementation	20	20	1.0	0.01958248130907636	-0.058886865304730106	0.55	0.4	0.01958248130907636	near_zero	near_zero_or_mixed	matched_context	SLC17A7;CAMK2A;KCND2;KCNJ3;KCNJ6
