signature_id	term	beta	se_hc3	t_hc3	p_hc3	n	df_resid	r2	aic	dentate_fitted_peak_stage	cerebellar_fitted_peak_stage	p_adj_bh_within_signature
tgf_bdnf_2005_index	intercept	0.5578907842137293	0.07674660411135759	7.26925693551525	2.1303072115179536e-07	29	23	0.36728211353326523	-102.17772478502434	0.3701394443584646	0.5117595818815911	4.260614423035907e-07
tgf_bdnf_2005_index	stage_norm	0.48090366072807667	0.3676213789974636	1.3081493302689413	0.20374619578175965	29	23	0.36728211353326523	-102.17772478502434	0.3701394443584646	0.5117595818815911	0.20374619578175965
tgf_bdnf_2005_index	stage_norm2	-0.6496249833108054	0.3632816520874084	-1.7882130285911069	0.08692465131298854	29	23	0.36728211353326523	-102.17772478502434	0.3701394443584646	0.5117595818815911	0.10430958157558626
tgf_bdnf_2005_index	branch_cerebellum	-0.22455745088039344	0.07674660411176425	-2.9259594411939815	0.00759860182532668	29	23	0.36728211353326523	-102.17772478502434	0.3701394443584646	0.5117595818815911	0.011397902737990021
tgf_bdnf_2005_index	stage_x_cerebellum	14.025269178779139	0.3681014530438489	38.10164035703609	2.748873745390677e-22	29	23	0.36728211353326523	-102.17772478502434	0.3701394443584646	0.5117595818815911	1.440392180727615e-21
tgf_bdnf_2005_index	stage2_x_cerebellum	-13.523214522861446	0.3637734330241457	-37.174827228144046	4.80130726909205e-22	29	23	0.36728211353326523	-102.17772478502434	0.3701394443584646	0.5117595818815911	1.440392180727615e-21
differentiation_stop_index	intercept	0.5606741273711024	0.07486596535265425	7.489038907466979	1.3057160777179246e-07	29	23	0.29266184747645807	-96.77020751358869	0.36857472940969666	0.5015012232188739	2.611432155435849e-07
differentiation_stop_index	stage_norm	0.47629085060456994	0.3796371740255789	1.2545948689747617	0.2222258697271646	29	23	0.29266184747645807	-96.77020751358869	0.36857472940969666	0.5015012232188739	0.26667104367259753
differentiation_stop_index	stage_norm2	-0.6461252123380646	0.3969713474040881	-1.6276368976332085	0.11722506000828584	29	23	0.29266184747645807	-96.77020751358869	0.36857472940969666	0.5015012232188739	0.17583759001242877
differentiation_stop_index	branch_cerebellum	-0.02734079403776513	0.07486596535372149	-0.3651965737513335	0.7183015541321298	29	23	0.29266184747645807	-96.77020751358869	0.36857472940969666	0.5015012232188739	0.7183015541321298
differentiation_stop_index	stage_x_cerebellum	21.794491042397624	0.3803392333864533	57.30276850048961	2.5393417408180573e-26	29	23	0.29266184747645807	-96.77020751358869	0.36857472940969666	0.5015012232188739	1.5236050444908344e-25
differentiation_stop_index	stage2_x_cerebellum	-21.557990013999472	0.3976510497184379	-54.21333611281523	9.00349593929442e-26	29	23	0.29266184747645807	-96.77020751358869	0.36857472940969666	0.5015012232188739	2.701048781788326e-25
neurogenic_permissive_index	intercept	0.6519544158174425	0.06835192349454276	9.538201450460933	1.8512477316203552e-09	29	23	0.4283087661295567	-102.98318998917887	0.09961193528764936		3.7024954632407104e-09
neurogenic_permissive_index	stage_norm	0.06914094600882612	0.3596412567859614	0.19224976196202923	0.8492339001336048	29	23	0.4283087661295567	-102.98318998917887	0.09961193528764936		0.8492339001336048
neurogenic_permissive_index	stage_norm2	-0.3470515145056053	0.38227323135393654	-0.9078624555436883	0.3733655524309666	29	23	0.4283087661295567	-102.98318998917887	0.09961193528764936		0.44803866291715994
neurogenic_permissive_index	branch_cerebellum	0.29249002862700346	0.06835192349471968	4.279177727157874	0.00028078057485639226	29	23	0.4283087661295567	-102.98318998917887	0.09961193528764936		0.00042117086228458836
neurogenic_permissive_index	stage_x_cerebellum	-9.851719821176475	0.3599483364603323	-27.36981622989713	4.720325872947698e-19	29	23	0.4283087661295567	-102.98318998917887	0.09961193528764936		2.8321955237686188e-18
neurogenic_permissive_index	stage2_x_cerebellum	9.851852611894154	0.38256585907607465	25.752043414660992	1.836883453959323e-18	29	23	0.4283087661295567	-102.98318998917887	0.09961193528764936		5.510650361877969e-18
stop_minus_permissive_index	intercept	-0.09128028844633848	0.03243749803913924	-2.814036037434183	0.00984704555210997	29	23	0.7703604807588473	-153.25543544154525	0.68068490734319	0.505431349985728	0.01315716472453308
stop_minus_permissive_index	stage_norm	0.40714990459573597	0.14713396579110896	2.7672053995593404	0.0109643039371109	29	23	0.7703604807588473	-153.25543544154525	0.68068490734319	0.505431349985728	0.01315716472453308
stop_minus_permissive_index	stage_norm2	-0.2990736978324523	0.12870114871815694	-2.323784214913223	0.029330069161775503	29	23	0.7703604807588473	-153.25543544154525	0.68068490734319	0.505431349985728	0.029330069161775506
stop_minus_permissive_index	branch_cerebellum	-0.31983082266477053	0.032437498039754945	-9.859910350446583	9.969463261440222e-10	29	23	0.7703604807588473	-153.25543544154525	0.68068490734319	0.505431349985728	1.9938926522880445e-09
stop_minus_permissive_index	stage_x_cerebellum	31.6462108635759	0.14714904812797583	215.06228729426184	1.6782841591047504e-39	29	23	0.7703604807588473	-153.25543544154525	0.68068490734319	0.505431349985728	5.0348524773142513e-39
stop_minus_permissive_index	stage2_x_cerebellum	-31.409842625894534	0.12871866017764005	-244.0193409607195	9.19639876242013e-41	29	23	0.7703604807588473	-153.25543544154525	0.68068490734319	0.505431349985728	5.5178392574520784e-40
