summary_level	n_contrasts	n_positive	fraction_positive	median_delta	mean_delta	sign_test_p	wilcoxon_p	branch_kind	expression_layer	signature_id
all	252	172	0.6825396825396826	0.25	0.22260802469135804	3.3976234694859532e-09	2.1052033241313827e-24			
by_branch	48	12	0.25	-0.030555555555555558	-0.05781249999999999	0.9998888775186892	0.9759795588265575	cerebellar		
by_branch	204	160	0.7843137254901961	0.33333333333333337	0.2885893246187363	5.640549867070734e-17	6.157940843829647e-27	dentate		
by_expression_layer	32	10	0.3125	-0.013888888888888895	-0.06380208333333331	0.9899691964965314	0.8910626927036451		full_mgi_ortholog_matrix	
by_expression_layer	220	162	0.7363636363636363	0.29999999999999993	0.2642676767676767	7.230407110955027e-13	1.5357278840924802e-27		selected_feature_matrix	
by_id	63	50	0.7936507936507936	0.3999999999999999	0.29541446208112876	1.5079760423211688e-06	1.7816121526640118e-09			differentiation_stop_index
by_id	63	45	0.7142857142857143	0.33333333333333337	0.22178130511463842	0.00044902358933401074	1.0068969138971404e-06			neurogenic_permissive_index
by_id	63	29	0.4603174603174603	0.0	0.0736331569664903	0.7750187318548887	0.0003790018151596424			stop_minus_permissive_index
by_id	63	48	0.7619047619047619	0.5	0.2996031746031746	1.8803060662708763e-05	1.871822370221782e-09			tgf_bdnf_2005_index
by_id_and_branch	12	2	0.16666666666666666	-0.06666666666666671	-0.05833333333333333	0.996826171875	0.8466796875	cerebellar		differentiation_stop_index
by_id_and_branch	12	3	0.25	0.0	-0.07638888888888887	0.980712890625	0.90234375	cerebellar		neurogenic_permissive_index
by_id_and_branch	12	6	0.5	0.03333333333333337	0.018055555555555564	0.61279296875	0.37353515625	cerebellar		stop_minus_permissive_index
by_id_and_branch	12	1	0.08333333333333333	-0.12500000000000006	-0.11458333333333333	0.999755859375	0.99609375	cerebellar		tgf_bdnf_2005_index
by_id_and_branch	51	48	0.9411764705882353	0.5	0.37864923747276685	9.837464176598587e-12	2.3245291197298046e-09	dentate		differentiation_stop_index
by_id_and_branch	51	42	0.8235294117647058	0.5	0.29193899782135074	1.6944139744623499e-06	1.2171508741447143e-07	dentate		neurogenic_permissive_index
by_id_and_branch	51	23	0.45098039215686275	0.0	0.08671023965141611	0.7994690044860313	3.599702175141042e-05	dentate		stop_minus_permissive_index
by_id_and_branch	51	47	0.9215686274509803	0.5	0.39705882352941185	1.2081535771812923e-10	8.744438155182619e-10	dentate		tgf_bdnf_2005_index
by_id_layer_branch	6	1	0.16666666666666666	-0.06666666666666671	-0.061111111111111116	0.984375	0.8125	cerebellar	full_mgi_ortholog_matrix	differentiation_stop_index
by_id_layer_branch	6	0	0.0	-0.19444444444444445	-0.23611111111111108	1.0	1.0	cerebellar	full_mgi_ortholog_matrix	neurogenic_permissive_index
by_id_layer_branch	6	5	0.8333333333333334	0.17777777777777776	0.17500000000000002	0.109375	0.03125	cerebellar	full_mgi_ortholog_matrix	stop_minus_permissive_index
by_id_layer_branch	6	1	0.16666666666666666	-0.041666666666666685	-0.0625	0.984375	0.9375	cerebellar	full_mgi_ortholog_matrix	tgf_bdnf_2005_index
by_id_layer_branch	2	1	0.5	-0.14999999999999997	-0.14999999999999997	0.75	0.75	dentate	full_mgi_ortholog_matrix	differentiation_stop_index
by_id_layer_branch	2	0	0.0	-0.41666666666666663	-0.41666666666666663	1.0	1.0	dentate	full_mgi_ortholog_matrix	neurogenic_permissive_index
by_id_layer_branch	2	1	0.5	0.26666666666666666	0.26666666666666666	0.75	0.5	dentate	full_mgi_ortholog_matrix	stop_minus_permissive_index
by_id_layer_branch	2	1	0.5	-0.16666666666666669	-0.16666666666666669	0.75	0.75	dentate	full_mgi_ortholog_matrix	tgf_bdnf_2005_index
by_id_layer_branch	6	1	0.16666666666666666	-0.08333333333333337	-0.055555555555555546	0.984375	0.75	cerebellar	selected_feature_matrix	differentiation_stop_index
by_id_layer_branch	6	3	0.5	0.08333333333333331	0.08333333333333331	0.65625	0.125	cerebellar	selected_feature_matrix	neurogenic_permissive_index
by_id_layer_branch	6	1	0.16666666666666666	-0.1833333333333333	-0.13888888888888887	0.984375	0.984375	cerebellar	selected_feature_matrix	stop_minus_permissive_index
by_id_layer_branch	6	0	0.0	-0.25	-0.16666666666666666	1.0	1.0	cerebellar	selected_feature_matrix	tgf_bdnf_2005_index
by_id_layer_branch	49	47	0.9591836734693877	0.5	0.4002267573696145	2.177813485104707e-12	5.886101550309256e-10	dentate	selected_feature_matrix	differentiation_stop_index
by_id_layer_branch	49	42	0.8571428571428571	0.5	0.3208616780045352	1.8122891631833227e-07	1.6613499404848134e-08	dentate	selected_feature_matrix	neurogenic_permissive_index
by_id_layer_branch	49	22	0.4489795918367347	0.0	0.07936507936507936	0.8041985447262547	5.900041238021121e-05	dentate	selected_feature_matrix	stop_minus_permissive_index
by_id_layer_branch	49	46	0.9387755102040817	0.5	0.4200680272108844	3.490541189421492e-11	2.4078965309981493e-10	dentate	selected_feature_matrix	tgf_bdnf_2005_index
