sample	group	cell_type	source_anchor_label	n_cells	median_counts	median_dentate_identity	median_human_dg_immature	median_human_dg_mature	median_cerebellar_identity	median_shared_granule_neuronal	median_morphogenesis_cytoskeleton	median_axon_guidance_synapse	median_background_max
S6R5	MAD	DiffN	adult_human_dg_differentiating_anchor	349	3102.0	0.16670586	0.18443716	1.4711787	0.0	0.676026	0.39258662	0.6903441	0.31841335
S6R5	MAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	27	3507.0	0.23781715	0.33432478	1.3518906	0.0	0.767157	0.32497725	0.40592673	0.34962535
S6R5	MAD	MatN_OTOF	adult_human_dg_mature_anchor	13	65299.0	0.34692678	0.3803221	1.6834971	0.01214084	0.8397541	0.4943143	0.8419276	0.2489922
S6R5	MAD	MatN_SGCZ_CHRM3	adult_dg_background_warning	1	2713.0	0.0	0.0	1.4305223	0.0	0.59259546	0.3759481	1.0187392	1.4677811
S6R5	MAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	601	12342.0	0.22160575	0.24012461	1.6978229	0.028960261	0.83262503	0.5254334	1.0294547	0.26608893
S6R5	MAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1372	14187.0	0.25934416	0.25746685	1.7386562	0.060993195	0.8304735	0.5307437	0.9856441	0.2708108
S7R5	RES	DiffN	adult_dg_background_warning	22	2672.0	0.16557816	0.15814185	1.2378228	0.0	0.7597816	0.6407386	0.50342804	1.6236172
S7R5	RES	DiffN	adult_human_dg_differentiating_anchor	223	3910.0	0.27691302	0.25194448	1.5020801	0.0	0.80726427	0.5499756	0.61066055	0.4130926
S7R5	RES	DiffN_OTOF	adult_dg_background_warning	3	3629.0	0.24569196	0.0	1.3764119	0.12758978	0.647135	0.6381451	0.44271615	1.8092923
S7R5	RES	DiffN_OTOF	adult_human_dg_differentiating_anchor	13	3976.0	0.36746246	0.30953383	1.4570088	0.0	0.95104164	0.6380477	0.5401131	0.53507197
S7R5	RES	MatN_OTOF	adult_human_dg_mature_anchor	10	20460.0	0.38053304	0.41403788	1.7173333	0.021239845	0.9272412	0.6355419	0.8261578	0.31849417
S7R5	RES	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	530	25316.0	0.29046896	0.24652992	1.6324707	0.06091311	0.8374377	0.58555245	1.0167336	0.23835152
S7R5	RES	MatN_SGCZ_NTF3	adult_dg_background_warning	1	6031.0	0.24440287	0.31069076	1.3790448	0.0	0.8478992	0.65749896	0.24951267	1.6651207
S7R5	RES	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	879	26922.0	0.35091212	0.27728403	1.6901727	0.08218883	0.83376807	0.6025438	0.97303784	0.25533947
S8R5	CTRL	DiffN	adult_dg_background_warning	42	2735.5	0.15761569	0.19325233	1.1543827	0.0	0.7711921	0.5662679	0.55510914	1.5115848
S8R5	CTRL	DiffN	adult_human_dg_differentiating_anchor	817	4493.0	0.29002702	0.3029806	1.5134104	0.0	0.8663726	0.63387436	0.67588985	0.3873081
S8R5	CTRL	DiffN_OTOF	adult_dg_background_warning	3	2992.0	0.16732599	0.33197653	1.1245027	0.13349016	0.9473144	0.2922997	0.44827825	1.5451715
S8R5	CTRL	DiffN_OTOF	adult_human_dg_differentiating_anchor	107	4993.0	0.34900331	0.41626662	1.5545945	0.0	0.88375556	0.6611045	0.6314736	0.369775
S8R5	CTRL	MatN_OTOF	adult_human_dg_mature_anchor	111	36393.0	0.39200392	0.42666087	1.7036632	0.026735391	0.8402137	0.5908321	0.9356729	0.22831424
S8R5	CTRL	MatN_SGCZ_CHRM3	adult_dg_background_warning	1	7061.0	0.22055212	0.08020077	1.0773987	0.0	0.96332586	0.76811117	0.8209708	1.7293464
S8R5	CTRL	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	1642	27204.0	0.25127086	0.25273943	1.6441181	0.028035961	0.8539635	0.5907953	1.0798181	0.22908545
S8R5	CTRL	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1370	30702.0	0.32162106	0.32706034	1.7181969	0.043628402	0.8704832	0.6380802	1.0209699	0.24171227
