sample	group	cell_type	source_anchor_label	n_cells	median_counts	median_dentate_identity	median_human_dg_immature	median_human_dg_mature	median_cerebellar_identity	median_shared_granule_neuronal	median_morphogenesis_cytoskeleton	median_axon_guidance_synapse	median_background_max
S1R5stored	CTRL	MatN_OTOF	adult_human_dg_mature_anchor	4	15974.5	0.24090321	0.2663936	1.4043945	0.0	0.80254143	0.45334285	0.5777989	0.32251498
S1R5stored	CTRL	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	436	3681.5	0.16071588	0.19410314	1.5818181	0.0	0.76914704	0.41401675	0.9392702	0.29567513
S1R5stored	CTRL	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1211	5303.0	0.17908141	0.21190791	1.6330249	0.054876946	0.80385053	0.44545805	0.9263969	0.3045244
S1R6	RES	DiffN	adult_dg_background_warning	5	980.0	0.0	0.0	0.52239984	0.0	0.22114076	0.39934653	0.26344243	1.1759523
S1R6	RES	DiffN	adult_human_dg_differentiating_anchor	446	1558.0	0.0	0.17602745	1.2719471	0.0	0.73494494	0.36793828	0.59247744	0.3176074
S1R6	RES	DiffN_OTOF	adult_dg_background_warning	1	981.0	0.30191866	0.21957721	0.54781497	0.0	0.7929883	0.6038373	0.0	0.96613973
S1R6	RES	DiffN_OTOF	adult_human_dg_differentiating_anchor	34	2600.5	0.111699425	0.2220086	1.2799189	0.0	0.7149575	0.4054945	0.44099835	0.3028285
S1R6	RES	MatN_OTOF	adult_human_dg_mature_anchor	18	9520.0	0.28188115	0.3507119	1.6254741	0.061326504	0.8509065	0.5559735	0.8564426	0.25663346
S1R6	RES	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	878	4755.5	0.17829132	0.22052164	1.5904415	0.0	0.8738121	0.505165	0.90509444	0.28228995
S1R6	RES	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	1245	5703.0	0.20903133	0.24869585	1.6264176	0.0	0.87591785	0.5175034	0.87926626	0.2845549
