contrast_id	audit_scope	expression_layer	dataset	core_branch	branch_kind	sample	target_class	background_classes	module_score	module_label	candidate_median	background_median	delta_candidate_minus_background
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	dentate_fate_rank	Dentate fate	0.6666666666666666	0.8333333333333333	-0.16666666666666663
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	niche_rank	Niche/progenitor	0.3333333333333333	0.8333333333333333	-0.49999999999999994
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	neurite_morphology_rank	Neurite/morphology	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	synaptic_excitability_rank	Synaptic/excitability	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	downstream_mean_rank	Downstream mean	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_matched_fate_rank	Matched fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE122357|GSM3464551_P8b|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE122357	cerebellum	cerebellar	GSM3464551_P8b	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_opposed_fate_rank	Opposed fate	0.6666666666666666	0.8333333333333333	-0.16666666666666663
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	cerebellar_fate_rank	Cerebellar fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	dentate_fate_rank	Dentate fate	0.6666666666666666	0.6666666666666666	0.0
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	niche_rank	Niche/progenitor	0.3333333333333333	0.8333333333333333	-0.49999999999999994
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	neurite_morphology_rank	Neurite/morphology	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	synaptic_excitability_rank	Synaptic/excitability	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	downstream_mean_rank	Downstream mean	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_matched_fate_rank	Matched fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE165657|Cerebellum_aggr|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE165657	cerebellum	cerebellar	Cerebellum_aggr	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_opposed_fate_rank	Opposed fate	0.6666666666666666	0.6666666666666666	0.0
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	cerebellar_fate_rank	Cerebellar fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	dentate_fate_rank	Dentate fate	0.6666666666666666	0.6666666666666666	0.0
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	niche_rank	Niche/progenitor	0.6666666666666666	0.6666666666666666	0.0
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	neurite_morphology_rank	Neurite/morphology	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	synaptic_excitability_rank	Synaptic/excitability	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	downstream_mean_rank	Downstream mean	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_matched_fate_rank	Matched fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|Ctrl|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_opposed_fate_rank	Opposed fate	0.6666666666666666	0.6666666666666666	0.0
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	cerebellar_fate_rank	Cerebellar fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	dentate_fate_rank	Dentate fate	0.6666666666666666	0.75	-0.08333333333333337
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	niche_rank	Niche/progenitor	0.3333333333333333	0.8333333333333333	-0.49999999999999994
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	neurite_morphology_rank	Neurite/morphology	0.6666666666666666	0.6666666666666666	0.0
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	synaptic_excitability_rank	Synaptic/excitability	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	downstream_mean_rank	Downstream mean	0.8333333333333333	0.5833333333333333	0.25
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_matched_fate_rank	Matched fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE312658|cKO|cerebellar_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	branch_opposed_fate_rank	Opposed fate	0.6666666666666666	0.75	-0.08333333333333337
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	dentate_candidate	non_dentate_background	cerebellar_fate_rank	Cerebellar fate	0.5	1.0	-0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	dentate_candidate	non_dentate_background	dentate_fate_rank	Dentate fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	dentate_candidate	non_dentate_background	niche_rank	Niche/progenitor	0.5	1.0	-0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	dentate_candidate	non_dentate_background	neurite_morphology_rank	Neurite/morphology	0.5	1.0	-0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	dentate_candidate	non_dentate_background	synaptic_excitability_rank	Synaptic/excitability	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	dentate_candidate	non_dentate_background	downstream_mean_rank	Downstream mean	0.75	0.75	0.0
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	dentate_candidate	non_dentate_background	branch_matched_fate_rank	Matched fate	1.0	0.5	0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE104323|10X_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	dentate_candidate	non_dentate_background	branch_opposed_fate_rank	Opposed fate	0.5	1.0	-0.5
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE95752|C1_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	dentate_candidate	other_or_ambiguous	cerebellar_fate_rank	Cerebellar fate	0.3333333333333333	1.0	-0.6666666666666667
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE95752|C1_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	dentate_candidate	other_or_ambiguous	dentate_fate_rank	Dentate fate	1.0	0.3333333333333333	0.6666666666666667
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE95752|C1_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	dentate_candidate	other_or_ambiguous	niche_rank	Niche/progenitor	0.3333333333333333	1.0	-0.6666666666666667
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE95752|C1_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	dentate_candidate	other_or_ambiguous	neurite_morphology_rank	Neurite/morphology	1.0	0.3333333333333333	0.6666666666666667
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE95752|C1_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	dentate_candidate	other_or_ambiguous	synaptic_excitability_rank	Synaptic/excitability	1.0	0.3333333333333333	0.6666666666666667
primary_core_candidate_background|full_mgi_ortholog_matrix|GSE95752|C1_all_cells|dentate_candidate	primary_core_candidate_background	full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	dentate_candidate	other_or_ambiguous	downstream_mean_rank	Downstream mean	1.0	0.3333333333333333	0.6666666666666667
