analysis_class	n_cells_or_spots	dentate_identity_mean	dentate_identity_median	dentate_identity_iqr	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_iqr	identity_contrast_mean	identity_contrast_median	identity_contrast_iqr	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_iqr	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_iqr	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_iqr	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_iqr	dentate_rank_mean	dentate_rank_median	dentate_rank_iqr	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_iqr	shared_rank_mean	shared_rank_median	shared_rank_iqr	structural_rank_mean	structural_rank_median	structural_rank_iqr	n_dataset_samples	dataset_samples
dentate_candidate	11259	0.461041	0.365169	0.316048	0.0145831	0	0	0.446458	0.356389	0.326001	0.585373	0.45672	0.356388	0.619492	0.443717	0.483967	0.263897	0.16566	0.199715	0.489587	0.355359	0.322979	0.6701	0.693881	0.337213	0.417991	0.351106	0	0.578297	0.56932	0.315132	0.529783	0.528509	0.300104	5	GSE104323:10X_all_cells;GSE214309:snRNA_counts;GSE214905:patch_RNA_QC_counts;GSE292261:SS2_filtered_counts;GSE95752:C1_all_cells
cerebellar_candidate	30797	0.23061	0.207076	0.173287	0.399913	0.374984	0.207076	-0.169303	-0.149313	0.16216	0.578664	0.524297	0.351011	0.706278	0.646721	0.463528	0.114534	0.0462098	0.138629	0.466492	0.425475	0.274928	0.605285	0.620693	0.335704	0.810404	0.819313	0.19544	0.688087	0.693988	0.31085	0.662802	0.677558	0.339883	8	GSE122357:GSM3464549_P0;GSE122357:GSM3464550_P8a;GSE122357:GSM3464551_P8b;GSE165657:Cerebellum_aggr;GSE242688:WT_ZT12_rep1;GSE242688:WT_ZT12_rep2;GSE312658:Ctrl;GSE312658:cKO
known_non_dentate_reference	14352	0.176759	0.115525	0.298627	0.039729	0	0.0577623	0.13703	0.0577623	0.283433	0.402122	0.264838	0.612704	0.829655	0.554108	1.13275	0.185468	0.119451	0.238901	0.472415	0.304843	0.653359	0.394382	0.341699	0.52884	0.562177	0.351106	0.43099	0.461611	0.385983	0.661153	0.498568	0.490201	0.673879	1	GSE104323:10X_all_cells
dentate_low_support	1364	0.696411	0.383764	0.664952	0.0513613	0	0.0577623	0.64505	0.368687	0.585517	1.24932	0.694956	1.45629	1.21895	0.74198	1.22741	0.648043	0.396185	0.657	1.03877	0.625383	1.07854	0.357206	0.366986	0.209304	0.448083	0.365827	0.008436	0.394765	0.361324	0.292962	0.403967	0.368864	0.312207	4	GSE214309:snRNA_counts;GSE214905:patch_RNA_QC_counts;GSE292261:SS2_filtered_counts;GSE95752:C1_all_cells
cerebellum_warning	22000	0.399681	0.356389	0.183102	0.222975	0.207076	0.199824	0.176706	0.139498	0.166036	0.721929	0.630007	0.39358	0.863908	0.764587	0.556477	0.158357	0.0462098	0.138629	0.581398	0.501165	0.353961	0.859635	0.861543	0.150789	0.52905	0.535738	0.375934	0.775467	0.807369	0.234877	0.762827	0.800124	0.255476	8	GSE122357:GSM3464549_P0;GSE122357:GSM3464550_P8a;GSE122357:GSM3464551_P8b;GSE165657:Cerebellum_aggr;GSE242688:WT_ZT12_rep1;GSE242688:WT_ZT12_rep2;GSE312658:Ctrl;GSE312658:cKO
organoid_granule_like	973	0.437526	0.417553	0.255022	0.348789	0.341195	0.233928	0.0887371	0.104397	0.312318	0.741429	0.691835	0.418217	1.36097	1.30627	0.714617	0.201165	0.16566	0.184839	0.767856	0.71999	0.401648	0.771107	0.804037	0.196931	0.717417	0.789872	0.279289	0.774128	0.800673	0.233212	0.767008	0.797309	0.244142	2	GSE150153:NAY6153A1_125;GSE150153:NAY6153A2_678
other_or_ambiguous	62037	0.107801	0.0577623	0.173287	0.133839	0.115525	0.191882	-0.0260374	0	0.149313	0.272783	0.191882	0.255023	0.463566	0.382293	0.371409	0.0798766	0.0462098	0.0924196	0.272075	0.21298	0.201454	0.312769	0.27085	0.361403	0.333956	0.275698	0.384262	0.301746	0.267641	0.320224	0.318945	0.276145	0.338665	14	GSE122357:GSM3464549_P0;GSE122357:GSM3464550_P8a;GSE122357:GSM3464551_P8b;GSE150153:NAY6153A1_125;GSE150153:NAY6153A2_678;GSE165657:Cerebellum_aggr;GSE214309:snRNA_counts;GSE214905:patch_RNA_QC_counts;GSE242688:WT_ZT12_rep1;GSE242688:WT_ZT12_rep2;GSE292261:SS2_filtered_counts;GSE312658:Ctrl;GSE312658:cKO;GSE95752:C1_all_cells
