dataset	species	region	axis_type	axis_label	axis_order	comparison_group	n_cells	canonical_gene	source_gene_symbol	nonzero_cells	detection_fraction	mean_expression	mean_log1p_expression	source_path	gene_rank_within_axis
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	DKK3	Dkk3	164.0	0.239067055393586	0.3236151603498542	0.19492165140972487	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	DLL1	Dll1	33.0	0.048104956268221574	0.05102040816326531	0.034525928826085316	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	DLL3	Dll3	14.0	0.02040816326530612	0.02478134110787172	0.015919031854466074	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.375
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	DLL4	Dll4	8.0	0.011661807580174927	0.014577259475218658	0.009265463062238908	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	DUSP6	Dusp6	60.0	0.08746355685131195	0.11078717201166181	0.06860953924193751	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	EGR1	Egr1	376.0	0.5481049562682215	1.629737609329446	0.6851960176390932	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	ELK1	Elk1	39.0	0.056851311953352766	0.061224489795918366	0.04117949761831248	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.25
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	ETV4	Etv4	177.0	0.25801749271137026	0.3323615160349854	0.20708289223584214	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	ETV5	Etv5	91.0	0.1326530612244898	0.16034985422740525	0.10283478777506906	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FGF10	Fgf10	1.0	0.0014577259475218659	0.0029154518950437317	0.001601475639457886	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.375
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FGF17	Fgf17	1.0	0.0014577259475218659	0.0014577259475218659	0.001010418630553856	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FGF2	Fgf2	37.0	0.05393586005830904	0.05830903790087463	0.03898696496995056	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FGF8	Fgf8	5.0	0.007288629737609329	0.008746355685131196	0.00564315016167331	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FGF9	Fgf9	0.0	0.0	0.0	0.0	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.1875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FGFR1	Fgfr1	296.0	0.4314868804664723	0.6166180758017493	0.36165892111170644	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FGFR2	Fgfr2	111.0	0.1618075801749271	0.20262390670553937	0.126837168673966	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FGFR3	Fgfr3	154.0	0.22448979591836735	0.2813411078717201	0.17639072528524707	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FOS	Fos	556.0	0.8104956268221575	6.782798833819242	1.5904917165437786	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FRS2	Frs2	31.0	0.04518950437317784	0.04518950437317784	0.031322977547169534	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FZD1	Fzd1	194.0	0.282798833819242	0.36005830903790087	0.22519445673867017	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FZD3	Fzd3	76.0	0.11078717201166181	0.12536443148688048	0.08235899523662495	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FZD5	Fzd5	2.0	0.0029154518950437317	0.0029154518950437317	0.002020837261107712	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	FZD7	Fzd7	12.0	0.01749271137026239	0.01749271137026239	0.012125023566646272	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.625
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	GLI1	Gli1	26.0	0.037900874635568516	0.03935860058309038	0.026861941403304286	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.75
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	GLI2	Gli2	54.0	0.07871720116618076	0.08163265306122448	0.05574472006771628	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	GLI3	Gli3	163.0	0.23760932944606414	0.2886297376093295	0.18391758951700907	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	GRB2	Grb2	127.0	0.18513119533527697	0.22157434402332363	0.14258450514117785	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.375
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	HES1	Hes1	354.0	0.5160349854227405	1.444606413994169	0.6195074127744316	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	HES5	Hes5	463.0	0.6749271137026239	2.8950437317784257	0.9694474627708252	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	686	HEY1	Hey1	144.0	0.2099125364431487	0.23760932944606414	0.15638697519442343	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	0.875
