node	module_id	module_label	module_family	context_match	n_contrasts	median_signed_module_shift_score	median_abs_module_shift_score	median_coverage_fraction	dominant_direction	node_module_support_class	strongest_contrast
RBFOX3/RBFOX1	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	off_context	1	0.19516182776941807	0.19516182776941807	0.7	up_shift	weak_shift	GSE71916_siRbfox1_3_vs_siNT
RBFOX3	notch_hes	Notch/HES	neurogenic_permissive	off_context	1	0.16015189563780868	0.16015189563780868	1.0	up_shift	weak_shift	GSE84786_Rbfox3_KO_vs_WT
RBFOX3/RBFOX1	shared_neurogenic_niche_state	Shared neurogenic niche/progenitor state	shared_niche_state	off_context	1	0.12463512601647601	0.12463512601647601	0.9523809523809523	up_shift	weak_shift	GSE71916_siRbfox1_3_vs_siNT
RBFOX3	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	off_context	1	0.10792671431753637	0.10792671431753637	1.0	up_shift	weak_shift	GSE84786_Rbfox3_KO_vs_WT
RBFOX3	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	off_context	1	-0.07586479089582143	0.07586479089582143	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
RBFOX3	bmp_smad	BMP/SMAD	differentiation_stop	off_context	1	-0.07226172873187436	0.07226172873187436	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
RBFOX3	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	off_context	1	-0.06576657934714994	0.06576657934714994	1.0	near_zero	near_zero_or_mixed	GSE84786_Rbfox3_KO_vs_WT
BDNF/NTRK2	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	off_context	5	0.06379005101110735	0.06379005101110735	1.0	near_zero	near_zero_or_mixed	GSE242199_WT_3h_BDNF_vs_vehicle
BDNF/NTRK2	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	off_context	5	-0.053740669959763634	0.053740669959763634	0.5882352941176471	near_zero	near_zero_or_mixed	GSE242199_NTRK2ko_3h_BDNF_vs_vehicle
RBFOX3/RBFOX1	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	off_context	1	0.05215033201322583	0.05215033201322583	0.875	near_zero	near_zero_or_mixed	GSE71916_siRbfox1_3_vs_siNT
