gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	mechanism_class	manuscript_use	mechanism_priority_score
PIP4K2A	PIP4K2A	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.6629750413993067	6	12	1.0	0.5	0.5	0.0098797678675406	0.434561626429479	0.0819869766706309	5	3	0.6732176333310376	0.0341866139787414	False	False	False	0.5	0.0819869766706309	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5204967441676577
CHRM3	CHRM3	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.0027015226424272	6	12	1.0	0.5	0.5	0.0002148632704391	0.2100857920066959	0.0611529629778834	5	3	0.0028117095064417	0.003140309337187	False	False	False	0.5	0.0611529629778834	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5152882407444709
ADARB2	ADARB2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.2698452199434068	6	12	1.0	0.5	0.5	0.0017167440604175	0.1697877652933832	0.0389226550847658	7	1	0.2762124974314532	0.0131911584054142	False	False	False	0.5	0.0389226550847658	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5097306637711915
KIAA1217	KIAA1217	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	0.6666666666666666	0.6666666666666666	0.0	0.0022389169918956	1	2	1.0	0.5	0.5	0.3333333333333333	0.3820883029922578	0.0085780402170443	3	0	0.0023335948848734	0.4804597701149425	False	False	False	0.5	0.0085780402170443	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5021445100542611
BRE	BRE	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538	0.0	0.3574411781076144	4	2	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
GLTSCR1L	GLTSCR1L	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	4.534932797720395e-09	4	8	1.0	0.5	0.5	0.0194874307233915	0.0	0.06083205054824	3	1	5.5228912062074885e-09	0.0669880431116584	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
ISPD	ISPD	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	6.650031314185945e-07	4	8	1.0	0.5	0.5	0.0026969059924538	0.0	0.0431514921428201	3	1	7.251844102800057e-07	0.0203484964773594	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
MLLT4	MLLT4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0194874307233915	0.0	0.3597283590848404	4	2	1.0376091489284265e-07	0.0669880431116584	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
NGFRAP1	NGFRAP1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538	0.0	0.9817698446784702	4	2	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
PAK7	PAK7	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	6	12	1.0	0.5	0.5	0.0002148632704391	0.0	0.3239576540337571	4	3	1.0376091489284265e-07	0.003140309337187	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
PAPD4	PAPD4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0194874307233915	0.0	0.1335593887269427	3	2	1.0376091489284265e-07	0.0669880431116584	False	False	False	0.5	0.0	unclassified_shared_neuronal_or_context	branch_specific_cerebellar_context	0.5
