analysis_region	sampling_group	neuron_id	neuron_name	archive	species	strain	brain_region	cell_type	age_classification	age_scale	min_age	max_age	gender	experiment_condition	protocol	domain	attributes	physical_integrity	reconstruction_software	slicing_thickness	reference_pmid	reference_doi	measurements_url
dentate_gyrus	DG_mouse_sample	102098	052617_DGC3	Nandi	mouse	Multiple	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102098
dentate_gyrus	DG_mouse_sample	102099	06152016e1-apical-000	Nandi	mouse	Multiple	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102099
dentate_gyrus	DG_mouse_sample	102100	06152016e4-000	Nandi	mouse	Multiple	hippocampus;dentate gyrus;granule layer;outer	principal cell;granule;mature	young adult	Day	21.0	25.0	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Complete	Neurolucida	300	29155277	10.1016/j.neuroscience.2017.11.017	http://neuromorpho.org/api/morphometry/id/102100
dentate_gyrus	DG_mouse_sample	102161	ICR1-3-1_1	Oguro-Ando	mouse	ICR	hippocampus;dentate gyrus;granule layer	principal cell;granule	adult	Month	3.8	3.8	Male	Control	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	150	29306053	S0306-4522(17)30940-5.doi	http://neuromorpho.org/api/morphometry/id/102161
dentate_gyrus	DG_mouse_sample	102162	ICR1-3-1_2	Oguro-Ando	mouse	ICR	hippocampus;dentate gyrus;granule layer	principal cell;granule	adult	Month	3.8	3.8	Male	Control	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	150	29306053	S0306-4522(17)30940-5.doi	http://neuromorpho.org/api/morphometry/id/102162
dentate_gyrus	DG_mouse_sample	102163	ICR1-3-1_3	Oguro-Ando	mouse	ICR	hippocampus;dentate gyrus;granule layer	principal cell;granule	adult	Month	3.8	3.8	Male	Control	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	150	29306053	S0306-4522(17)30940-5.doi	http://neuromorpho.org/api/morphometry/id/102163
dentate_gyrus	DG_mouse_sample	102164	ICR1-3-2_1	Oguro-Ando	mouse	ICR	hippocampus;dentate gyrus;granule layer	principal cell;granule	adult	Month	3.8	3.8	Male	Control	in vitro	Dendrites, Soma, No Axon	Diameter, 3D, Angles	Dendrites Complete	Neurolucida	150	29306053	S0306-4522(17)30940-5.doi	http://neuromorpho.org/api/morphometry/id/102164
dentate_gyrus	DG_mouse_sample	103663	2417-3-20x-ApoE-WT-Sham-P12	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103663
dentate_gyrus	DG_mouse_sample	103664	2416-3-20x-ApoE-WT-Sham-P27	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103664
dentate_gyrus	DG_mouse_sample	103665	2416-3-20x-ApoE-WT-Sham-P18	Tensaouti	mouse	C57BL/6J	hippocampus;dentate gyrus	principal cell;granule;adult-born	young adult	Month	2.5	2.5	Male/Female	Control	in vitro	Dendrites, Soma, No Axon	No Diameter, 3D, Angles	Dendrites Moderate	Neurolucida	50	30079373	10.1523/ENEURO.0155-18.2018	http://neuromorpho.org/api/morphometry/id/103665
