canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	branch_meta_strict_full_matrix_cerebellar	branch_meta_strict_full_matrix_dentate	branch_meta_strict_selected_cerebellar	branch_meta_strict_selected_dentate	branch_meta_support_full_matrix_cerebellar	branch_meta_support_full_matrix_dentate	branch_meta_support_selected_cerebellar	branch_meta_support_selected_dentate	dataset_sign_p_adj_bh_full_matrix_cerebellar	dataset_sign_p_adj_bh_full_matrix_dentate	dataset_sign_p_adj_bh_selected_cerebellar	dataset_sign_p_adj_bh_selected_dentate	dataset_sign_p_greater_full_matrix_cerebellar	dataset_sign_p_greater_full_matrix_dentate	dataset_sign_p_greater_selected_cerebellar	dataset_sign_p_greater_selected_dentate	median_dataset_candidate_detection_full_matrix_cerebellar	median_dataset_candidate_detection_full_matrix_dentate	median_dataset_candidate_detection_selected_cerebellar	median_dataset_candidate_detection_selected_dentate	median_dataset_delta_full_matrix_cerebellar	median_dataset_delta_full_matrix_dentate	median_dataset_delta_selected_cerebellar	median_dataset_delta_selected_dentate	min_dataset_delta_full_matrix_cerebellar	min_dataset_delta_full_matrix_dentate	min_dataset_delta_selected_cerebellar	min_dataset_delta_selected_dentate	n_datasets_full_matrix_cerebellar	n_datasets_full_matrix_dentate	n_datasets_selected_cerebellar	n_datasets_selected_dentate	n_units_full_matrix_cerebellar	n_units_full_matrix_dentate	n_units_selected_cerebellar	n_units_selected_dentate	positive_dataset_fraction_full_matrix_cerebellar	positive_dataset_fraction_full_matrix_dentate	positive_dataset_fraction_selected_cerebellar	positive_dataset_fraction_selected_dentate	n_supported_screen_branches	n_strict_screen_branches	n_available_screen_branches	sum_positive_median_dataset_delta	minimum_available_candidate_detection	shared_meta_support_selected	shared_meta_support_full_matrix	shared_meta_strict_selected	shared_meta_strict_full_matrix	shared_meta_support_both_screens	shared_meta_strict_both_screens	ortholog_meta_tier	ortholog_meta_priority_score	selected_is_original_candidate_gene	selected_mechanism_class	selected_manuscript_use	selected_mechanism_priority_score	genome_is_original_candidate_gene	genome_mechanism_class	genome_manuscript_use	genome_mechanism_priority_score	consensus_tier	combined_priority_score	consensus_candidate_dataset_robust_all_available	consensus_candidate_n_robust_screen_branches	mgi_one_to_one_human_mouse	same_canonical_symbol_x	strict_same_symbol_one_to_one	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	same_canonical_symbol_y	ortholog_symbol_class
EIF3I	EIF3I	EIF3I	Eif3i	51618859	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5527050750079796	0.6261294083357621			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5527050750079796	False	True	False	False	False	False	supported_shared_full_matrix_only	5.55270507500798					False	metabolic_or_housekeeping_support	supporting_context_not_core_executor	0.5444022364483252	shared_positive_both_screens	0.5444022364483252			True	True	True	8668	54709	HGNC:3272	MGI:1860763	True	same_symbol
OXCT1	OXCT1	OXCT1	Oxct1	51623677	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.546587926355147	0.6848322919812541			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.546587926355147	False	True	False	False	False	False	supported_shared_full_matrix_only	5.546587926355147					False	unclassified_shared_neuronal_or_context	exploratory_context	1.1007063931853185	shared_positive_both_screens	1.1007063931853185			True	True	True	5019	67041	HGNC:8527	MGI:1914291	True	same_symbol
UBE2I	UBE2I	UBE2I	Ube2i	51627142	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.684048834982445	0.5457419050394859			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5457419050394859	False	True	False	False	False	False	supported_shared_full_matrix_only	5.545741905039486					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0785947300827532	shared_positive_both_screens	1.0785947300827532			True	True	True	7329	22196	HGNC:12485	MGI:107365	True	same_symbol
CAPZA2	CAPZA2	CAPZA2	Capza2	51616774	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5428902010852218	0.8089271688257735			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5428902010852218	False	True	False	False	False	False	supported_shared_full_matrix_only	5.542890201085222					False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.661752894102736	shared_positive_both_screens	1.661752894102736			True	True	True	830	12343	HGNC:1490	MGI:106222	True	same_symbol
DCTN2	DCTN2	DCTN2	Dctn2	51623694	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.6845276093201405	0.5410465719769388			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5410465719769388	False	True	False	False	False	False	supported_shared_full_matrix_only	5.541046571976938					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0632272100923312	shared_positive_both_screens	1.0632272100923312			True	True	True	10540	69654	HGNC:2712	MGI:107733	True	same_symbol
BANF1	BANF1	BANF1	Banf1	51619066	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.6030162783274816	0.5378112863750675			0.5	0.5			0.5	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5378112863750675	False	True	False	False	False	False	supported_shared_full_matrix_only	5.537811286375067					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0584681990876763	shared_positive_both_screens	1.0584681990876763			True	True	True	8815	23825	HGNC:17397	MGI:1346330	True	same_symbol
PRPF40A	PRPF40A	PRPF40A	Prpf40a	51619527	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.6255961336616476	0.5371924053795228			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5371924053795228	False	True	False	False	False	False	supported_shared_full_matrix_only	5.537192405379523					False	unclassified_shared_neuronal_or_context	exploratory_context	1.1121198505905152	shared_positive_both_screens	1.1121198505905152			True	True	True	55660	56194	HGNC:16463	MGI:1860512	True	same_symbol
NDUFAB1	NDUFAB1	NDUFAB1	Ndufab1	51623380	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5313996169805298	0.8825519423741517			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5313996169805298	False	True	False	False	False	False	supported_shared_full_matrix_only	5.53139961698053					False	metabolic_or_housekeeping_support	supporting_context_not_core_executor	0.5440184532884706	shared_positive_both_screens	0.5440184532884706			True	True	True	4706	70316	HGNC:7694	MGI:1917566	True	same_symbol
PFDN2	PFDN2	PFDN2	Pfdn2	51622105	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.5714570699010533	0.5310144458042007			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5310144458042007	False	True	False	False	False	False	supported_shared_full_matrix_only	5.5310144458042005					False	unclassified_shared_neuronal_or_context	exploratory_context	1.0665579152143958	shared_positive_both_screens	1.0665579152143958			True	True	True	5202	18637	HGNC:8867	MGI:1276111	True	same_symbol
SRP9	SRP9	SRP9	Srp9	51629603	True	False	False	False	True	True	False	False	0.9460304822565969	0.6637414095135427			0.125	0.3125			0.7947255027130545	0.5293715562587612			0.5	0.5			0.25	-0.5			3.0	4.0			6.0	4.0			1.0	0.75			2	1	2	1.0	0.5293715562587612	False	True	False	False	False	False	supported_shared_full_matrix_only	5.529371556258761					False	unclassified_shared_neuronal_or_context	exploratory_context	1.098689673037408	shared_positive_both_screens	1.098689673037408			True	True	True	6726	27058	HGNC:11304	MGI:1350930	True	same_symbol
