donor_id	comparator	feature_type	model_term_supported	target_set	peak_category	n_barcodes_granule	n_barcodes_comparator	mean_feature_score_granule	mean_feature_score_comparator	delta_granule_minus_comparator	mean_detection_granule	mean_detection_comparator	delta_detection_granule_minus_comparator	n_donors	mean_delta_score	median_delta_score	mean_delta_detection	median_delta_detection
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 1 core convergent program	gene_expression_or_marker	63	1079	3.340057256056556	3.0308316068733814	0.3092256491831744	0.798941798941799	0.8202038924930491	-0.021262093551250194					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	63	1079	3.480740253911766	3.22313909117175	0.2576011627400159	0.781305114638448	0.8018741633199464	-0.020569048681498447					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	63	1079	2.048093288599376	1.6843437694396897	0.36374951915968645	0.7015873015873015	0.6418906394810009	0.059696662106300646					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_expression_or_marker	63	1079	1.9553070244148278	1.6882329491545311	0.2670740752602967	0.6121031746031745	0.5629633920296571	0.049139782573517476					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_expression_or_marker	63	1079	1.3568655351978056	1.13627349863605	0.22059203656175552	0.45539135194307606	0.42165478891694097	0.03373656302613509					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	downstream_neurite_morphology	gene_expression_or_marker	63	1079	2.305358437494148	2.057636965864729	0.24772147162941893	0.6341647770219199	0.6240787325124675	0.010086044509452385					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	downstream_neurite_synapse_construction	gene_expression_or_marker	63	1079	2.311787408273708	2.0719908266556835	0.23979658161802453	0.6296296296296295	0.6134427821174808	0.016186847512148717					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	downstream_synaptic_excitability	gene_expression_or_marker	63	1079	3.0187820025541163	2.7299369731775567	0.28884502937655965	0.7285714285714285	0.7231696014828545	0.005401827088574063					
H187	purkinje_candidate	Gene Expression	ConstructionBalance	shared_postmitotic_granule_maturation	gene_expression_or_marker	63	1079	3.2291279091528984	2.852847544869509	0.3762803642833892	0.8444444444444444	0.820389249304912	0.02405519513953247					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	Tier 1 core convergent program	gene_expression_or_marker	63	1079	3.155542475709269	2.8460350820527807	0.30950739365648827	0.7301587301587301	0.7409638554216867	-0.010805125262956627					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor	gene_expression_or_marker	63	1079	1.9131138954328886	2.0728887659031425	-0.15977487047025396	0.48677248677248675	0.5508186592523941	-0.0640461724799074					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_expression_or_marker	63	1079	2.6329046515930195	2.0716121258328335	0.561292525760186	0.8253968253968254	0.7784986098239111	0.04689821557291429					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_expression_or_marker	63	1079	1.913209940277547	1.711825206126695	0.20138473415085212	0.5587301587301587	0.5429101019462466	0.015820056783912184					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_expression_or_marker	63	1079	1.9647785342465434	1.5026037350825723	0.4621747991639711	0.7142857142857143	0.644114921223355	0.0701707930623593					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	downstream_neurite_morphology	gene_expression_or_marker	63	1079	2.371496273304881	2.0739452139868733	0.29755105931800774	0.684981684981685	0.6650032080986669	0.019978476883018126					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	downstream_neurite_synapse_construction	gene_expression_or_marker	63	1079	2.311787408273708	2.0719908266556835	0.23979658161802453	0.6296296296296295	0.6134427821174808	0.016186847512148717					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	downstream_synaptic_excitability	gene_expression_or_marker	63	1079	2.214760502598053	2.0688149472425006	0.14594555535555243	0.5396825396825397	0.5296570898980537	0.01002544978448594					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_expression_or_marker	63	1079	1.9647785342465434	1.5026037350825723	0.4621747991639711	0.7142857142857143	0.644114921223355	0.0701707930623593					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	shared_neurogenic_niche_state	gene_expression_or_marker	63	1079	0.3291311227630169	0.3992152983771521	-0.07008417561413516	0.15079365079365079	0.15013901760889714	0.0006546331847536446					
H187	purkinje_candidate	Gene Expression	EpigenomicCompatibility	shared_postmitotic_granule_maturation	gene_expression_or_marker	63	1079	2.3255917727771753	1.9861323860963587	0.33945938668081665	0.6594516594516594	0.6020726261690117	0.05737903328264771					
H187	purkinje_candidate	Gene Expression	FatePolarity	anterior_telencephalic_pattern	gene_expression_or_marker	63	1079	0.6291024331706936	0.5159657429653172	0.11313669020537642	0.17687074829931973	0.147292466569575	0.02957828172974472					
H187	purkinje_candidate	Gene Expression	FatePolarity	cerebellar_fate_rhombic_lip_shh	gene_expression_or_marker	63	1079	1.202268177076965	0.8817520941576575	0.32051608291930744	0.3980463980463981	0.32537249590076284	0.07267390214563524					
H187	purkinje_candidate	Gene Expression	FatePolarity	deep_neural_progenitor	gene_expression_or_marker	63	1079	0.2199715506056838	0.15786843591107333	0.06210311469461047	0.08302808302808302	0.06373422684822129	0.019293856179861735					
H187	purkinje_candidate	Gene Expression	FatePolarity	dentate_fate_wnt_prox1	gene_expression_or_marker	63	1079	0.7532901737013686	0.7270329170761656	0.026257256625203063	0.23436041083099904	0.2150139017608897	0.019346509070109347					
H187	purkinje_candidate	Gene Expression	FatePolarity	hindbrain_rhombic_lip_pattern	gene_expression_or_marker	63	1079	0.7242452718711881	0.5463290773808167	0.17791619449037144	0.23456790123456792	0.19864071671300587	0.035927184521562044					
H187	purkinje_candidate	Gene Expression	FatePolarity	medial_pallium_dentate_lineage	gene_expression_or_marker	63	1079	0.7532901737013686	0.7270329170761656	0.026257256625203063	0.23436041083099904	0.2150139017608897	0.019346509070109347					
H187	purkinje_candidate	Gene Expression	FatePolarity	shared_neurogenic_niche_state	gene_expression_or_marker	63	1079	0.20701101379327622	0.1620161698059978	0.044994843987278405	0.07619047619047618	0.06635773864689527	0.00983273754358091					
H187	purkinje_candidate	Gene Expression	FatePolarity	shared_postmitotic_granule_maturation	gene_expression_or_marker	63	1079	1.9647785342465434	1.5026037350825723	0.4621747991639711	0.7142857142857143	0.644114921223355	0.0701707930623593					
H187	purkinje_candidate	Gene Expression	NicheSignal	anterior_telencephalic_pattern	gene_expression_or_marker	63	1079	0.0	0.005556846326234711	-0.005556846326234711	0.0	0.0027803521779425394	-0.0027803521779425394					
H187	purkinje_candidate	Gene Expression	NicheSignal	cerebellar_fate_rhombic_lip_shh	gene_expression_or_marker	63	1079	0.9879855373394107	0.6957016006691263	0.2922839366702844	0.3571428571428571	0.288693234476367	0.06844962266649007					
H187	purkinje_candidate	Gene Expression	NicheSignal	deep_neural_progenitor	gene_expression_or_marker	63	1079	0.013448437607705782	0.0318859500564987	-0.018437512448792916	0.006802721088435374	0.011915795048325168	-0.0051130739598897945					
H187	purkinje_candidate	Gene Expression	NicheSignal	dentate_fate_wnt_prox1	gene_expression_or_marker	63	1079	0.0	0.005556846326234711	-0.005556846326234711	0.0	0.0027803521779425394	-0.0027803521779425394					
H187	purkinje_candidate	Gene Expression	NicheSignal	hindbrain_rhombic_lip_pattern	gene_expression_or_marker	63	1079	0.9879855373394107	0.6957016006691263	0.2922839366702844	0.3571428571428571	0.288693234476367	0.06844962266649007					
H187	purkinje_candidate	Gene Expression	NicheSignal	medial_pallium_dentate_lineage	gene_expression_or_marker	63	1079	0.0	0.005556846326234711	-0.005556846326234711	0.0	0.0027803521779425394	-0.0027803521779425394					
H187	purkinje_candidate	Gene Expression	NicheSignal	shared_neurogenic_niche_state	gene_expression_or_marker	63	1079	0.26479971245729966	0.25298301794238487	0.011816694514914794	0.09523809523809523	0.09281080365417715	0.0024272915839180786					
H187	purkinje_candidate	Gene Expression	NicheSignal	shared_postmitotic_granule_maturation	gene_expression_or_marker	63	1079	0.3291311227630169	0.3992152983771521	-0.07008417561413516	0.15079365079365079	0.15013901760889714	0.0006546331847536446					
H187	purkinje_candidate	Gene Expression	marker_or_unassigned	marker_or_unassigned	gene_expression_or_marker	63	1079	0.7041853477679832	0.7639371139831898	-0.0597517662152065	0.21682539682539684	0.1986468952734013	0.018178501551995546					
