module_id	module_label	module_family	gene	canonical_gene	formal_mouse_symbol	overall_convergence_delta	mean_branch_bias	shared_positive_any_screen	shared_positive_both_screens	branch_pattern	formal_rank_tier	formal_rank_priority_score	driver_priority_score
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	L1CAM	L1CAM	L1cam	0.25	0.25	True	True	shared_positive_both_screens	not_formally_shared	4.7271853986551395	1.6875
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	DPYSL3	DPYSL3	Dpysl3	0.0	0.5	False	False	dentate_biased	not_formally_shared	4.260232264161821	-0.125
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	NCAM1	NCAM1	Ncam1	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.693362995921394	-0.125
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	PLXNA2	PLXNA2	Plxna2	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.090089371209704	-0.125
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	SNAP25	SNAP25	Snap25	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.466814979606973	-0.125
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	CAMK2B	CAMK2B	Camk2b	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.256144270667091	-0.125
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	GAP43	GAP43	Gap43	-0.125	0.625	False	False	cerebellar_biased	not_formally_shared	7.227623346358349	-0.28125
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	CNTN5	CNTN5	Cntn5	-0.2499999999999999	0.7499999999999999	False	False	dentate_biased	not_formally_shared	10.08566070858602	-0.4374999999999999
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	PLXNA4	PLXNA4	Plxna4	-0.2499999999999999	0.7499999999999999	False	False	dentate_biased	not_formally_shared	10.01113150335142	-0.4374999999999999
downstream_neurite_morphology	Downstream neurite/morphology	downstream_circuit_morphology	NRP1	NRP1	Nrp1	-0.4999999999999999	1.0	False	False	dentate_biased	not_formally_shared	10.03698366954851	-0.7499999999999999
downstream_synaptic_excitability	Downstream synaptic/excitability	downstream_circuit_morphology	CAMK2A	CAMK2A	Camk2a	-0.4999999999999999	1.0	False	False	dentate_biased	not_formally_shared	4.001356527290137	-0.7499999999999999
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	NEUROD1	NEUROD1	Neurod1	0.5	0.0	True	True	shared_positive_both_screens	formal_nominal_shared_both_screens	17.37711513101567	2.0
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	NEUROD2	NEUROD2	Neurod2	0.5	0.0	True	True	shared_positive_both_screens	formal_nominal_shared_both_screens	17.374202042770506	2.0
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	TBR1	TBR1	Tbr1	0.5	0.0	True	True	shared_positive_both_screens	not_formally_shared	11.007740185126076	2.0
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	PTCH1	PTCH1	Ptch1	0.5	0.0	True	False	shared_positive_one_screen	formal_nominal_shared_full_matrix	7.075292071471119	1.0
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	EOMES	EOMES	Eomes	0.25	0.25	True	False	shared_positive_one_screen	not_formally_shared	7.519250253292807	0.6875
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	ATOH1	ATOH1	Atoh1	0.125	0.375	True	False	shared_positive_one_screen	not_formally_shared	7.25	0.53125
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	LHX2	LHX2	Lhx2	5.551115123125783e-17	0.4999999999999999	True	False	shared_positive_one_screen	not_formally_shared	0.5110517076284711	0.375
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	MYCN	MYCN	Mycn	0.0	0.5	False	False	cerebellar_biased	not_formally_shared	3.595954356846473	-0.125
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	MEIS1	MEIS1	Meis1	0.0	0.5	False	False	cerebellar_biased	not_formally_shared	3.5020263424518743	-0.125
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	PROX1	PROX1	Prox1	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.101199462596435	-0.125
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	ZBTB20	ZBTB20	Zbtb20	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.597996098823849	-0.125
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	BCL11B	BCL11B	Bcl11b	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.036707452725253	-0.125
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	CALB1	CALB1	Calb1	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.03744901742677	-0.125
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	C1QL3	C1QL3	C1ql3	0.0	0.5	False	False	dentate_biased	not_formally_shared	10.01969260326609	-0.125
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	EN2	EN2	En2	-0.125	0.625	False	False	cerebellar_biased	not_formally_shared	7.0	-0.28125
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	WNT3A	WNT3A	Wnt3a	-0.3749999999999999	0.1249999999999998	False	False	weak_or_mixed	not_formally_shared	5.084918132815e-05	-0.40624999999999983
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	BARHL1	BARHL1	Barhl1	-0.25	0.75	False	False	cerebellar_biased	not_formally_shared	7.0	-0.4375
cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	EN1	EN1	En1	-0.25	0.75	False	False	cerebellar_biased	not_formally_shared	3.5001525475439843	-0.4375
dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	EMX2	EMX2	Emx2	-0.3749999999999999	0.3749999999999999	False	False	dentate_biased	not_formally_shared	0.0010173954676029	-0.4687499999999999
