dataset	sample	source_group	specificity_role	module_id	module_label	module_family	n_defined_genes	n_present_genes	present_genes	missing_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank
GSE104323	10X_all_cells	Neuroblast	dentate_granule	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		1381	0.05331901388922656	0.05267894617314237	0.6875
GSE104323	10X_all_cells	Immature-GC	dentate_granule	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		2419	0.0	0.02595389326961835	0.2708333333333333
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		4520	0.0	0.03053494701394491	0.2708333333333333
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		535	0.05331901388922656	0.07086662635348158	0.6875
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		1024	0.0	0.025701832924268683	0.2708333333333333
GSE104323	10X_all_cells	GABA	other_local_cell_type	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		209	0.0	0.016394872884067078	0.2708333333333333
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		532	0.0	0.007673352006028899	0.2708333333333333
GSE104323	10X_all_cells	GC-juv	dentate_granule	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		3420	0.0	0.009425131539179775	0.2708333333333333
GSE104323	10X_all_cells	GC-adult	dentate_granule	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/rhombic-lip/SHH	upstream_region_fate	13	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1		2613	0.0	0.006126986494690963	0.2708333333333333
GSE104323	10X_all_cells	RGL	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		199	0.2000704342154209	0.2061399568620559	0.5833333333333334
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		1232	0.12232009068704916	0.12704659645845603	0.4166666666666667
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		821	0.14617097939929413	0.1542372134786628	0.4583333333333333
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		651	0.18694434296164383	0.20609751016853184	0.5
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		686	0.2346461203861338	0.25331675452166486	0.625
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		182	0.1960120300103061	0.2113915633745328	0.5416666666666666
GSE104323	10X_all_cells	PVM	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		79	0.0	0.0373671731790982	0.041666666666666664
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		428	0.04077336356234972	0.04543002391005039	0.08333333333333333
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	upstream_region_fate	17	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3		543	0.08154672712469944	0.10652427967124536	0.22916666666666666
