targeted_rank	recommended_action	recommended_track	asset_id	path	subject	session	size_gb	priority_score	priority_per_gb	local_subject_sessions	local_subject_units	local_subject_granule_units	local_subject_max_granule_units	local_subject_mean_granule_units	nearest_local_day_gap	new_subject	same_subject_with_granule_evidence	same_subject_granule_score	adjacent_session_score	new_subject_breadth_score	small_file_score	large_file_penalty	priority_reason	local_path	download_url_api
11	hold	yield_first	7f90b242-fea8-49cc-a7bb-1c32a2352c3f	sub-YutaMouse37/sub-YutaMouse37_ses-YutaMouse37-150612_behavior+ecephys.nwb	YutaMouse37	YutaMouse37-150612	13.894320183	14.22353827478298	1.0236944368236012	1.0	15.0	5.0	5.0	5.0	3.0	False	True	10.791759469228055	2.3	0.0	1.9106428421549246	0.7788640365999999	same subject has 5 local granule units; 3-day gap from local session; 13.89 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse37/sub-YutaMouse37_ses-YutaMouse37-150612_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/7f90b242-fea8-49cc-a7bb-1c32a2352c3f/download/
12	hold	yield_first	f72cbcaa-cabf-4843-9189-3c3a7bf634eb	sub-YutaMouse41/sub-YutaMouse41_ses-YutaMouse41-150830_behavior+ecephys.nwb	YutaMouse41	YutaMouse41-150830	13.511031106	13.599724964880195	1.0065645514531314	1.0	23.0	3.0	3.0	3.0	1.0	False	True	9.38629436111989	3.0	0.0	1.9156368249603046	0.7022062212000002	same subject has 3 local granule units; 1-day gap from local session; 13.51 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse41/sub-YutaMouse41_ses-YutaMouse41-150830_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/f72cbcaa-cabf-4843-9189-3c3a7bf634eb/download/
13	hold	yield_first	86096691-466f-4fa7-a5dc-7f78c1822316	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151118_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151118	10.989460059	10.34921137085644	0.9417397502055418	1.0	19.0	2.0	2.0	2.0	16.0	False	True	8.09861228866811	0.5	0.0	1.9484910939883304	0.19789201180000016	same subject has 2 local granule units; 16-day gap from local session; 10.99 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151118_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/86096691-466f-4fa7-a5dc-7f78c1822316/download/
14	hold	yield_first	419406bb-13c3-4f3f-b9f7-73edddf121d6	sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160901_behavior+ecephys.nwb	YutaMouse55	YutaMouse55-160901	15.047051104	13.38621336110425	0.889623705574161	3.0	67.0	16.0	7.0	5.333333333333333	6.0	False	True	11.0	1.5	0.0	1.8956235819042502	1.0094102208	same subject has 16 local granule units; 6-day gap from local session; 15.05 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160901_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/419406bb-13c3-4f3f-b9f7-73edddf121d6/download/
15	hold	yield_first	91b67b41-de76-46ff-afdd-7c0fa9c37ed3	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151116_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151116	12.607079505	10.50461105609743	0.8332311263628721	1.0	19.0	2.0	2.0	2.0	14.0	False	True	8.09861228866811	1.0	0.0	1.9274146684293205	0.521415901	same subject has 2 local granule units; 14-day gap from local session; 12.61 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151116_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/91b67b41-de76-46ff-afdd-7c0fa9c37ed3/download/
16	hold	yield_first	98c47e6a-f567-4cbd-b3b1-25d7dc1f0238	sub-YutaMouse41/sub-YutaMouse41_ses-YutaMouse41-150831_behavior+ecephys.nwb	YutaMouse41	YutaMouse41-150831	15.189050238	12.542257748169423	0.8257433843224229	1.0	23.0	3.0	3.0	3.0	2.0	False	True	9.38629436111989	2.3	0.0	1.8937734346495325	1.0378100476	same subject has 3 local granule units; 2-day gap from local session; 15.19 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse41/sub-YutaMouse41_ses-YutaMouse41-150831_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/98c47e6a-f567-4cbd-b3b1-25d7dc1f0238/download/
17	hold	yield_first	9c6ef43b-db79-4a6b-857c-f1826b9312f1	sub-YutaMouse37/sub-YutaMouse37_ses-YutaMouse37-150611_behavior+ecephys.nwb	YutaMouse37	YutaMouse37-150611	17.395719623	13.477637653901706	0.7747674684341344	1.0	15.0	5.0	5.0	5.0	2.0	False	True	10.791759469228055	2.3	0.0	1.8650221092736512	1.4791439246000004	same subject has 5 local granule units; 2-day gap from local session; 17.40 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse37/sub-YutaMouse37_ses-YutaMouse37-150611_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/9c6ef43b-db79-4a6b-857c-f1826b9312f1/download/
18	hold	yield_first	0eb0b9a2-3e0e-4c75-abc1-0f65c723790b	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151106_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151106	14.13817413	10.678443062132285	0.7552915223666357	1.0	19.0	2.0	2.0	2.0	4.0	False	True	8.09861228866811	1.5	0.0	1.9074655994641758	0.8276348259999999	same subject has 2 local granule units; 4-day gap from local session; 14.14 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151106_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/0eb0b9a2-3e0e-4c75-abc1-0f65c723790b/download/
19	hold	yield_first	cba198ed-b64f-4179-909c-81d97c570338	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151104_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151104	15.654592197	11.155401604831177	0.7125961164909147	1.0	19.0	2.0	2.0	2.0	2.0	False	True	8.09861228866811	2.3	0.0	1.8877077555630688	1.1309184394	same subject has 2 local granule units; 2-day gap from local session; 15.65 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151104_behavior+ecephys.nwb	https://api.dandiarchive.org/api/assets/cba198ed-b64f-4179-909c-81d97c570338/download/
20	hold	yield_first	711565ac-4fb0-4ce2-a4f0-391cadb02946	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151109_ecephys.nwb	YutaMouse42	YutaMouse42-151109	15.744415286	10.336266656361952	0.6565036851862643	1.0	19.0	2.0	2.0	2.0	7.0	False	True	8.09861228866811	1.5	0.0	1.8865374248938436	1.1488830572000002	same subject has 2 local granule units; 7-day gap from local session; 15.74 GB	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151109_ecephys.nwb	https://api.dandiarchive.org/api/assets/711565ac-4fb0-4ce2-a4f0-391cadb02946/download/
