dataset	sample	branch	source_group	module_id	module_label	n_present_genes	present_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE104323	10X_all_cells	dentate	Neuroblast	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	1381	0.43065815039643984	0.42847719894596775	0.9583333333333334	True	4.0	immature	postmitotic/immature	Neuroblast
GSE104323	10X_all_cells	dentate	Immature-GC	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	2419	0.46856150430176413	0.4776523877063571	1.0	True	5.0	immature	postmitotic/immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	4520	0.3738886859232877	0.37461446685575794	0.875	False		other	other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	535	0.25156859523623853	0.2700004032181261	0.7083333333333334	False		other	other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	1024	0.08154672712469944	0.11297610886091951	0.22916666666666666	False		other	other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	209	0.08154672712469944	0.09778340475095768	0.22916666666666666	False		other	other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	532	0.30926443364869305	0.3140092363317126	0.7916666666666666	False		other	other	CA3-Pyr
GSE104323	10X_all_cells	dentate	GC-juv	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	3420	0.37388868592328767	0.389522019118881	0.8333333333333334	True	6.0	mature	maturing/mature	GC-juv
GSE104323	10X_all_cells	dentate	GC-adult	dentate_fate_wnt_prox1	Dentate fate/WNT/PROX1	17	Prox1,Neurod1,Neurod2,Eomes,Tbr1,Lef1,Lhx2,Emx2,Zbtb20,Tcf7l2,Wnt3a,Wnt7a,Dkk3,Bcl11b,Calb1,C1ql3,Glis3	2613	0.24464018137409832	0.2565274515384688	0.6666666666666666	True	7.0	mature	maturing/mature	GC-adult
GSE104323	10X_all_cells	dentate	RGL	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	199	0.05331901388922656	0.06992260755002042	0.6875	True	1.0	progenitor	early/progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	1232	0.05331901388922656	0.03757328371793442	0.6875	False		other	other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	821	0.05331901388922656	0.03823034464889244	0.6875	False		other	other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	651	0.05331901388922656	0.06526604564035755	0.6875	False		other	other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	686	0.10663802777845312	0.09869140664230355	0.9166666666666666	True	0.0	progenitor	early/progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	cerebellar_fate_rhombic_lip_shh	Cerebellar fate/SHH	13	Atoh1,Barhl1,Pax6,Zic1,Zic2,Zic3,Mycn,Ptch1,Gli1,Gli2,En1,En2,Meis1	182	0.05331901388922656	0.06911168883946717	0.6875	False		other	other	Ependymal
