dataset	library_id	source_member	delimiter_hint	n_cells	n_genes	nnz	total_counts	matrix_path	barcodes_path	genes_path	cell_metadata_path	gene_metadata_path
GSE185553	GSM5618238_Sample16_B1_lib1	GSM5618238_Sample16_B1_lib1.txt.gz	whitespace	4465	37724	5277807	9988747	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib1/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib1/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib1/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib1/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib1/gene_metadata.tsv.gz
GSE185553	GSM5618238_Sample16_B1_lib2	GSM5618238_Sample16_B1_lib2.txt.gz	whitespace	4449	37390	4950822	9129626	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib2/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib2/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib2/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib2/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample16_B1_lib2/gene_metadata.tsv.gz
GSE185553	GSM5618238_Sample22_B1_lib1	GSM5618238_Sample22_B1_lib1.txt.gz	whitespace	1575	37724	1678177	3261143	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib1/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib1/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib1/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib1/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib1/gene_metadata.tsv.gz
GSE185553	GSM5618238_Sample22_B1_lib2	GSM5618238_Sample22_B1_lib2.txt.gz	whitespace	1613	37390	1579678	2925054	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib2/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib2/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib2/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib2/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample22_B1_lib2/gene_metadata.tsv.gz
GSE185553	GSM5618238_Sample39_lib2	GSM5618238_Sample39-lib2.txt.gz	whitespace	4845	37390	5744129	10829807	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_lib2/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_lib2/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_lib2/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_lib2/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_lib2/gene_metadata.tsv.gz
GSE185553	GSM5618238_Sample39_B1_lib1	GSM5618238_Sample39_B1_lib1.txt.gz	whitespace	4902	37724	6164771	11986325	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_B1_lib1/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_B1_lib1/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_B1_lib1/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_B1_lib1/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample39_B1_lib1/gene_metadata.tsv.gz
GSE185553	GSM5618238_Sample6_B1_lib2	GSM5618238_Sample6-_B1_lib2.txt.gz	whitespace	1527	37390	1353217	2323367	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib2/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib2/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib2/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib2/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib2/gene_metadata.tsv.gz
GSE185553	GSM5618238_Sample6_B1_lib1	GSM5618238_Sample6_B1_lib1.txt.gz	whitespace	1477	37724	1466242	2646672	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib1/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib1/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib1/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib1/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618238_Sample6_B1_lib1/gene_metadata.tsv.gz
GSE185553	GSM5618239_Sample10	GSM5618239_Sample10.txt.gz	whitespace	3085	39170	4293410	9999881	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample10/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample10/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample10/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample10/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample10/gene_metadata.tsv.gz
GSE185553	GSM5618239_Sample14	GSM5618239_Sample14.txt.gz	whitespace	4119	39170	4663645	11128387	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample14/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample14/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample14/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample14/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample14/gene_metadata.tsv.gz
GSE185553	GSM5618239_Sample2	GSM5618239_Sample2.txt.gz	whitespace	3383	39170	2961126	5652258	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample2/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample2/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample2/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample2/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample2/gene_metadata.tsv.gz
GSE185553	GSM5618239_Sample21	GSM5618239_Sample21.txt.gz	whitespace	2395	39170	1569301	2439880	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample21/matrix_cells_by_genes.npz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample21/barcodes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample21/genes.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample21/cell_metadata.tsv.gz	Project/processed/human_seed_sparse_objects/GSE185553/GSM5618239_Sample21/gene_metadata.tsv.gz
