dataset	sample	group	panel	panel_gene_count	genes_found	coverage_fraction	mean_detection_fraction_found_genes	mean_expression_found_genes	found_genes	missing_genes
GSE104323	10X_all_cells	RGL	cerebellar_identity	12	12	1	0.0473199	0.0674205	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	RGL	dentate_identity	12	12	1	0.048995	0.0615578	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	RGL	metabolic_proteomic_validation	8	7	0.875	0.384781	0.741565	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	RGL	morphogenesis_cytoskeleton	13	12	0.923077	0.217337	0.427973	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	RGL	shared_granule_neuronal	12	12	1	0.102596	0.14531	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	RGL_young	axon_guidance_synapse	15	15	1	0.116715	0.167153	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	RGL_young	cerebellar_identity	12	12	1	0.0777454	0.134354	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	RGL_young	dentate_identity	12	12	1	0.0844266	0.122206	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	RGL_young	metabolic_proteomic_validation	8	7	0.875	0.73157	2.69659	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	RGL_young	morphogenesis_cytoskeleton	13	12	0.923077	0.32896	0.776967	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	RGL_young	shared_granule_neuronal	12	12	1	0.146987	0.252794	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	VLMC	axon_guidance_synapse	15	15	1	0.112083	0.1725	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	VLMC	cerebellar_identity	12	12	1	0.0989583	0.309375	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	VLMC	dentate_identity	12	12	1	0.0645833	0.1125	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	VLMC	metabolic_proteomic_validation	8	7	0.875	0.764286	4.5625	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	VLMC	morphogenesis_cytoskeleton	13	12	0.923077	0.252604	0.682292	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	VLMC	shared_granule_neuronal	12	12	1	0.0885417	0.159896	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	all	axon_guidance_synapse	15	15	1	0.173843	0.408368	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	all	cerebellar_identity	12	12	1	0.030501	0.0496416	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	all	dentate_identity	12	12	1	0.224295	0.553618	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	all	metabolic_proteomic_validation	8	7	0.875	0.688461	2.89861	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	all	morphogenesis_cytoskeleton	13	12	0.923077	0.491145	2.93135	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	all	shared_granule_neuronal	12	12	1	0.335029	1.25136	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	nIPC	axon_guidance_synapse	15	15	1	0.163362	0.289518	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	nIPC	cerebellar_identity	12	12	1	0.0923041	0.176346	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	nIPC	dentate_identity	12	12	1	0.223088	0.482767	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	nIPC	metabolic_proteomic_validation	8	7	0.875	0.730878	3.23351	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	nIPC	morphogenesis_cytoskeleton	13	12	0.923077	0.478517	1.46601	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	nIPC	shared_granule_neuronal	12	12	1	0.329084	0.770066	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE104323	10X_all_cells	nIPC-perin	axon_guidance_synapse	15	15	1	0.130912	0.198576	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE104323	10X_all_cells	nIPC-perin	cerebellar_identity	12	12	1	0.0956196	0.207087	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE104323	10X_all_cells	nIPC-perin	dentate_identity	12	12	1	0.0956196	0.141916	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE104323	10X_all_cells	nIPC-perin	metabolic_proteomic_validation	8	7	0.875	0.787241	4.10562	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE104323	10X_all_cells	nIPC-perin	morphogenesis_cytoskeleton	13	12	0.923077	0.395121	1.19266	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE104323	10X_all_cells	nIPC-perin	shared_granule_neuronal	12	12	1	0.176104	0.345085	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE122357	GSM3464549_P0	all	axon_guidance_synapse	15	15	1	0.0820836	0.121193	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE122357	GSM3464549_P0	all	cerebellar_identity	12	11	0.916667	0.317622	1.16459	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Gabra6
GSE122357	GSM3464549_P0	all	dentate_identity	12	11	0.916667	0.233408	0.820787	C1ql3,Calb1,Calb2,Dcx,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	Egr3
GSE122357	GSM3464549_P0	all	metabolic_proteomic_validation	8	7	0.875	0.736476	3.15663	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE122357	GSM3464549_P0	all	morphogenesis_cytoskeleton	13	12	0.923077	0.597817	3.60903	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE122357	GSM3464549_P0	all	shared_granule_neuronal	12	12	1	0.448536	2.06638	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE122357	GSM3464550_P8a	all	axon_guidance_synapse	15	15	1	0.0741568	0.115243	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE122357	GSM3464550_P8a	all	cerebellar_identity	12	11	0.916667	0.33855	1.22868	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Gabra6
GSE122357	GSM3464550_P8a	all	dentate_identity	12	11	0.916667	0.257108	1.1386	C1ql3,Calb1,Calb2,Dcx,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	Egr3
GSE122357	GSM3464550_P8a	all	metabolic_proteomic_validation	8	7	0.875	0.798127	5.31617	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE122357	GSM3464550_P8a	all	morphogenesis_cytoskeleton	13	12	0.923077	0.61034	4.10338	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE122357	GSM3464550_P8a	all	shared_granule_neuronal	12	12	1	0.459264	2.06588	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE122357	GSM3464551_P8b	all	axon_guidance_synapse	15	15	1	0.0667564	0.0929808	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE122357	GSM3464551_P8b	all	cerebellar_identity	12	11	0.916667	0.328722	1.07686	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Grin2c,Pax6,Ror1,Zic1,Zic2	Gabra6
GSE122357	GSM3464551_P8b	all	dentate_identity	12	11	0.916667	0.244613	0.874053	C1ql3,Calb1,Calb2,Dcx,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	Egr3
GSE122357	GSM3464551_P8b	all	metabolic_proteomic_validation	8	7	0.875	0.784315	4.31044	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE122357	GSM3464551_P8b	all	morphogenesis_cytoskeleton	13	12	0.923077	0.578395	3.06058	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE122357	GSM3464551_P8b	all	shared_granule_neuronal	12	12	1	0.414687	1.5768	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE150153	NAY6153A1_125	all	axon_guidance_synapse	15	15	1	0.1649	0.273395	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE150153	NAY6153A1_125	all	cerebellar_identity	12	12	1	0.203252	0.752243	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE150153	NAY6153A1_125	all	dentate_identity	12	12	1	0.219092	1.09336	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE150153	NAY6153A1_125	all	metabolic_proteomic_validation	8	7	0.875	0.8712	10.4176	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE150153	NAY6153A1_125	all	morphogenesis_cytoskeleton	13	12	0.923077	0.646341	7.79864	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE150153	NAY6153A1_125	all	shared_granule_neuronal	12	12	1	0.393608	1.69316	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE150153	NAY6153A2_678	all	axon_guidance_synapse	15	15	1	0.112421	0.163668	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE150153	NAY6153A2_678	all	cerebellar_identity	12	12	1	0.158037	0.422021	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE150153	NAY6153A2_678	all	dentate_identity	12	12	1	0.166793	0.561161	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE150153	NAY6153A2_678	all	metabolic_proteomic_validation	8	7	0.875	0.865133	10.3509	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE150153	NAY6153A2_678	all	morphogenesis_cytoskeleton	13	12	0.923077	0.504787	4.10513	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE150153	NAY6153A2_678	all	shared_granule_neuronal	12	12	1	0.292832	0.952444	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE165657	Cerebellum_aggr	all	axon_guidance_synapse	15	15	1	0.0612508	0.0759882	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE165657	Cerebellum_aggr	all	cerebellar_identity	12	12	1	0.17043	0.374118	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE165657	Cerebellum_aggr	all	dentate_identity	12	12	1	0.139275	0.438442	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE165657	Cerebellum_aggr	all	metabolic_proteomic_validation	8	7	0.875	0.644512	1.81656	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1,Tubb4a	Atp5f1a
GSE165657	Cerebellum_aggr	all	morphogenesis_cytoskeleton	13	12	0.923077	0.398676	1.6853	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE165657	Cerebellum_aggr	all	shared_granule_neuronal	12	12	1	0.298422	0.796435	Dcx,Eomes,Map2,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	
GSE214309	snRNA_counts	all	axon_guidance_synapse	15	15	1	0.35744	103.778	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	all	cerebellar_identity	12	12	1	0.135495	3.16047	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	all	dentate_identity	12	12	1	0.32315	71.1834	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	all	metabolic_proteomic_validation	8	6	0.75	0.556941	153.995	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	all	morphogenesis_cytoskeleton	13	12	0.923077	0.381962	218.553	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	all	shared_granule_neuronal	12	11	0.916667	0.415325	142.117	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
GSE214309	snRNA_counts	immature_1hr	axon_guidance_synapse	15	15	1	0.302645	94.7321	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	immature_1hr	cerebellar_identity	12	12	1	0.115079	1.63557	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	immature_1hr	dentate_identity	12	12	1	0.280423	89.6645	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	immature_1hr	metabolic_proteomic_validation	8	6	0.75	0.502645	102.693	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	immature_1hr	morphogenesis_cytoskeleton	13	12	0.923077	0.357143	173.471	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	immature_1hr	shared_granule_neuronal	12	11	0.916667	0.357864	79.0078	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
GSE214309	snRNA_counts	immature_4hr	axon_guidance_synapse	15	15	1	0.409836	133.356	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	immature_4hr	cerebellar_identity	12	12	1	0.165301	6.65212	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	immature_4hr	dentate_identity	12	12	1	0.360656	105.992	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	immature_4hr	metabolic_proteomic_validation	8	6	0.75	0.672131	243.35	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	immature_4hr	morphogenesis_cytoskeleton	13	12	0.923077	0.461749	424.173	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	immature_4hr	shared_granule_neuronal	12	11	0.916667	0.450074	192.174	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
GSE214309	snRNA_counts	immatureactive_1hr	axon_guidance_synapse	15	15	1	0.28254	61.1817	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	immatureactive_1hr	cerebellar_identity	12	12	1	0.109127	1.4084	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	immatureactive_1hr	dentate_identity	12	12	1	0.301587	84.611	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	immatureactive_1hr	metabolic_proteomic_validation	8	6	0.75	0.456349	102.306	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	immatureactive_1hr	morphogenesis_cytoskeleton	13	12	0.923077	0.31746	189.014	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	immatureactive_1hr	shared_granule_neuronal	12	11	0.916667	0.348485	104.188	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
GSE214309	snRNA_counts	immatureactive_4hr	axon_guidance_synapse	15	15	1	0.383333	164.383	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	immatureactive_4hr	cerebellar_identity	12	12	1	0.148438	2.13846	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	immatureactive_4hr	dentate_identity	12	12	1	0.34375	109.151	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	immatureactive_4hr	metabolic_proteomic_validation	8	6	0.75	0.677083	333.585	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	immatureactive_4hr	morphogenesis_cytoskeleton	13	12	0.923077	0.419271	257.531	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	immatureactive_4hr	shared_granule_neuronal	12	11	0.916667	0.485795	241.2	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
GSE214309	snRNA_counts	mature_1hr	axon_guidance_synapse	15	15	1	0.34697	60.9461	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	mature_1hr	cerebellar_identity	12	12	1	0.138258	2.29744	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	mature_1hr	dentate_identity	12	12	1	0.325757	50.2756	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	mature_1hr	metabolic_proteomic_validation	8	6	0.75	0.57197	140.144	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	mature_1hr	morphogenesis_cytoskeleton	13	12	0.923077	0.378788	198.465	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	mature_1hr	shared_granule_neuronal	12	11	0.916667	0.394628	103.362	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
GSE214309	snRNA_counts	mature_4hr	axon_guidance_synapse	15	15	1	0.409091	110.665	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	mature_4hr	cerebellar_identity	12	12	1	0.172348	3.58981	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	mature_4hr	dentate_identity	12	12	1	0.392045	74.8955	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	mature_4hr	metabolic_proteomic_validation	8	6	0.75	0.666666	226.196	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	mature_4hr	morphogenesis_cytoskeleton	13	12	0.923077	0.473485	306.711	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	mature_4hr	shared_granule_neuronal	12	11	0.916667	0.497934	270.116	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
GSE214309	snRNA_counts	matureactive_1hr	axon_guidance_synapse	15	15	1	0.297268	51.1015	Cntn4,Cntn5,Cntn6,Epha4,Ephb1,Ephb2,Nrp1,Nrp2,Plxna2,Plxna4,Robo1,Robo2,Sema3a,Sema3f,Slit2	
GSE214309	snRNA_counts	matureactive_1hr	cerebellar_identity	12	12	1	0.113388	0.757008	Atoh1,Barhl1,Barhl2,Cbln3,En2,Etv1,Gabra6,Grin2c,Pax6,Ror1,Zic1,Zic2	
GSE214309	snRNA_counts	matureactive_1hr	dentate_identity	12	12	1	0.277322	25.2909	C1ql3,Calb1,Calb2,Dcx,Egr3,Glis3,Itpka,Mex3a,Neurod1,Neurod2,Prox1,Tbr1	
GSE214309	snRNA_counts	matureactive_1hr	metabolic_proteomic_validation	8	6	0.75	0.398907	68.4943	Cox6c,Ndufa4,Ndufb8,Prdx1,Prdx2,Sod1	Atp5f1a,Tubb4a
GSE214309	snRNA_counts	matureactive_1hr	morphogenesis_cytoskeleton	13	12	0.923077	0.282787	117.86	Cdk5r1,Cfl1,Cntn2,Dpysl2,Dpysl3,Elavl4,Gap43,L1cam,Mapt,Ncam1,Stmn2,Stmn3	Tau
GSE214309	snRNA_counts	matureactive_1hr	shared_granule_neuronal	12	11	0.916667	0.339791	95.9174	Dcx,Eomes,Neurod1,Neurod2,Pax6,Slc17a7,Snap25,St18,Syn1,Syt1,Tubb3	Map2
