canonical_gene	gene	human_symbol	mouse_symbol	db_class_key	branch_meta_strict_full_matrix_cerebellar	branch_meta_strict_full_matrix_dentate	branch_meta_strict_selected_cerebellar	branch_meta_strict_selected_dentate	branch_meta_support_full_matrix_cerebellar	branch_meta_support_full_matrix_dentate	branch_meta_support_selected_cerebellar	branch_meta_support_selected_dentate	dataset_sign_p_adj_bh_full_matrix_cerebellar	dataset_sign_p_adj_bh_full_matrix_dentate	dataset_sign_p_adj_bh_selected_cerebellar	dataset_sign_p_adj_bh_selected_dentate	dataset_sign_p_greater_full_matrix_cerebellar	dataset_sign_p_greater_full_matrix_dentate	dataset_sign_p_greater_selected_cerebellar	dataset_sign_p_greater_selected_dentate	median_dataset_candidate_detection_full_matrix_cerebellar	median_dataset_candidate_detection_full_matrix_dentate	median_dataset_candidate_detection_selected_cerebellar	median_dataset_candidate_detection_selected_dentate	median_dataset_delta_full_matrix_cerebellar	median_dataset_delta_full_matrix_dentate	median_dataset_delta_selected_cerebellar	median_dataset_delta_selected_dentate	min_dataset_delta_full_matrix_cerebellar	min_dataset_delta_full_matrix_dentate	min_dataset_delta_selected_cerebellar	min_dataset_delta_selected_dentate	n_datasets_full_matrix_cerebellar	n_datasets_full_matrix_dentate	n_datasets_selected_cerebellar	n_datasets_selected_dentate	n_units_full_matrix_cerebellar	n_units_full_matrix_dentate	n_units_selected_cerebellar	n_units_selected_dentate	positive_dataset_fraction_full_matrix_cerebellar	positive_dataset_fraction_full_matrix_dentate	positive_dataset_fraction_selected_cerebellar	positive_dataset_fraction_selected_dentate	n_supported_screen_branches	n_strict_screen_branches	n_available_screen_branches	sum_positive_median_dataset_delta	minimum_available_candidate_detection	shared_meta_support_selected	shared_meta_support_full_matrix	shared_meta_strict_selected	shared_meta_strict_full_matrix	shared_meta_support_both_screens	shared_meta_strict_both_screens	ortholog_meta_tier	ortholog_meta_priority_score	selected_is_original_candidate_gene	selected_mechanism_class	selected_manuscript_use	selected_mechanism_priority_score	genome_is_original_candidate_gene	genome_mechanism_class	genome_manuscript_use	genome_mechanism_priority_score	consensus_tier	combined_priority_score	consensus_candidate_dataset_robust_all_available	consensus_candidate_n_robust_screen_branches	mgi_one_to_one_human_mouse	same_canonical_symbol	strict_same_symbol_one_to_one	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	mechanism_hit_tier	mechanism_hit_rank
MAP1B	MAP1B	MAP1B	Map1b	51630358	True	False	True	True	True	False	True	True	0.9103157644824311	0.9294482409516578	0.8667883211678832	0.31189903846153844	0.125	0.5	0.125	0.1875	0.9615384615384616	0.9969604863221884	0.9615384615384616	0.986114253451657	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	3.0	3.0	5.0	6.0	3.0	6.0	50.0	1.0	0.6666666666666666	1.0	0.8	3	3	4	2.0	0.9615384615384616	True	False	True	False	False	False	strict_shared_selected_only	11.961538461538462	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.7368261475041873	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.6550458486637576	selected_figure_genome_followup	4.391871996167945			True	True	True	4131	17755	HGNC:6836	MGI:1306778	selected_screen_mechanism_figure	3
ACTB	ACTB	ACTB	Actb	51615947	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.997765719757421	0.9994934143870313	0.997765719757421	0.9835776206313107	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.9835776206313107	False	True	False	False	False	False	supported_shared_full_matrix_only	9.98357762063131	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.667556346381969	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.718049023589042	selected_figure_genome_followup	4.385605369971011			True	True	True	60	11461	HGNC:132	MGI:87904	selected_screen_mechanism_figure	3
TCF4	TCF4	TCF4	Tcf4	51626981	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.9840129951562782	0.9726726306961141	0.9840129951562782	0.9647055517191538	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.9647055517191538	False	True	False	False	False	False	supported_shared_full_matrix_only	9.964705551719154	False	regulatory_morphogenesis_candidate	mechanism_figure_candidate	2.738725307491614	False	regulatory_morphogenesis_candidate	mechanism_followup_candidate	1.7457863435579797	selected_figure_genome_followup	4.484511651049594			True	True	True	6925	21413	HGNC:11634	MGI:98506	selected_screen_mechanism_figure	3
RTN3	RTN3	RTN3	Rtn3	51627886	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.8690506065979129	0.8780308392666306	0.8690506065979129	0.877002963470729	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.8690506065979129	False	True	False	False	False	False	supported_shared_full_matrix_only	9.869050606597913	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.7183137739345273	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.7250973701435384	selected_figure_genome_followup	4.443411144078066			True	True	True	10313	20168	HGNC:10469	MGI:1339970	selected_screen_mechanism_figure	3
ACTG1	ACTG1	ACTG1	Actg1	51615946	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.9989626556016598	0.9180562848550383	0.9989626556016598	0.757901126901446	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.757901126901446	False	True	False	False	False	False	supported_shared_full_matrix_only	9.757901126901446	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.427734375	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.6409419742533546	selected_figure_genome_followup	4.068676349253355			True	True	True	71	11465	HGNC:144	MGI:87906	selected_screen_mechanism_figure	3
TUBA1B	TUBA1B	TUBA1B	Tuba1b	51617391	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.8784312160868177	0.6331847218354009	0.8784312160868177	0.5680013016745747	0.5	0.5	0.5	0.5	0.25	-0.5	0.25	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.5680013016745747	False	True	False	False	False	False	supported_shared_full_matrix_only	9.568001301674574	False	cytoskeleton_morphogenesis	mechanism_figure_candidate	2.599775784753363	False	cytoskeleton_morphogenesis	mechanism_followup_candidate	1.6457009414151376	selected_figure_genome_followup	4.2454767261685005			True	True	True	10376	22143	HGNC:18809	MGI:107804	selected_screen_mechanism_figure	3
STMN2	STMN2	STMN2	Stmn2	51624344	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.9101899138206192	0.5495211779369987	0.9101899138206192	0.5358141521334451	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.5358141521334451	False	True	False	False	False	False	supported_shared_full_matrix_only	9.535814152133446	True	curated_shared_structural_executor	mechanism_figure_candidate	2.8677325581395348	True	curated_shared_structural_executor	mechanism_followup_candidate	1.8750689707525956	shared_positive_both_screens	2.8677325581395348			True	True	True	11075	20257	HGNC:10577	MGI:98241	selected_screen_mechanism_figure	3
CADM3	CADM3	CADM3	Cadm3	51628789	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.4518297236743838	0.38841584433248666	0.4518297236743838	0.38841584433248666	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.38841584433248666	False	True	False	False	False	False	supported_shared_full_matrix_only	9.388415844332487	False	axon_guidance_adhesion	mechanism_figure_candidate	2.5804794520547945	False	axon_guidance_adhesion	mechanism_followup_candidate	1.598464129037641	selected_figure_genome_followup	4.178943581092435			True	True	True	57863	94332	HGNC:17601	MGI:2137858	selected_screen_mechanism_figure	3
KCNMB4	KCNMB4	KCNMB4	Kcnmb4	51633330	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.2717834631071561	0.3580836589955131	0.2717834631071561	0.4971850809289232	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.2717834631071561	False	True	False	False	False	False	supported_shared_full_matrix_only	9.271783463107155	False	synaptic_wiring	mechanism_figure_candidate	2.402621852310178	False	synaptic_wiring	mechanism_followup_candidate	1.5692885189768444	selected_figure_genome_followup	3.9719103712870223			True	True	True	27345	58802	HGNC:6289	MGI:1913272	selected_screen_mechanism_figure	3
DCC	DCC	DCC	Dcc	51626817	True	False	True	False	True	True	True	False	0.9103157644824311	0.64844081084899	0.8667883211678832	0.4040495676343422	0.125	0.3125	0.125	0.34375	0.2162061239731142	0.32418009465517483	0.2162061239731142	0.3869771312780431	0.5	0.5	0.5	0.5	0.5	-0.5	0.5	-0.5	3.0	4.0	3.0	6.0	6.0	4.0	6.0	51.0	1.0	0.75	1.0	0.6666666666666666	3	2	4	2.0	0.2162061239731142	False	True	False	False	False	False	supported_shared_full_matrix_only	9.216206123973114	False	axon_guidance_adhesion	mechanism_figure_candidate	2.5554239403285317	False	axon_guidance_adhesion	mechanism_followup_candidate	1.5554239403285317	selected_figure_genome_followup	4.110847880657063			True	True	True	1630	13176	HGNC:2701	MGI:94869	selected_screen_mechanism_figure	3
