expression_layer	dataset	core_branch	branch_kind	sample	source_layer	expression_scope	signature_id	signature_label	target_class	background_classes	candidate_median_signature_score	background_median_signature_score	delta_signature_score	n_background_classes
full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.6666666666666666	0.0	2
full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6333333333333332	0.7	-0.06666666666666676	2
full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5555555555555555	0.7777777777777777	-0.2222222222222222	2
full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.07777777777777772	-0.07777777777777775	0.15555555555555547	2
full_mgi_ortholog_matrix	GSE312658	cerebellum	cerebellar	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5833333333333333	0.75	-0.16666666666666674	2
full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	non_dentate_background	0.5	1.0	-0.5	1
full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	non_dentate_background	0.5	1.0	-0.5	1
full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	non_dentate_background	0.0	0.0	0.0	1
full_mgi_ortholog_matrix	GSE104323	mouse_dentate	dentate	10X_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	non_dentate_background	0.5	1.0	-0.5	1
full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	differentiation_stop_index	Differentiation/stop signaling	dentate_candidate	other_or_ambiguous	0.8	0.6	0.20000000000000007	1
full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	neurogenic_permissive_index	Neurogenic/permissive signaling	dentate_candidate	other_or_ambiguous	0.611111111111111	0.9444444444444443	-0.33333333333333326	1
full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	stop_minus_permissive_index	Stop minus permissive balance	dentate_candidate	other_or_ambiguous	0.188888888888889	-0.34444444444444433	0.5333333333333333	1
full_mgi_ortholog_matrix	GSE95752	mouse_dentate	dentate	C1_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	dentate_candidate	other_or_ambiguous	0.8333333333333333	0.6666666666666666	0.16666666666666663	1
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.6666666666666666	0.7	-0.033333333333333326	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_candidate_genes	neurogenic_permissive_index	Neurogenic/permissive signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.7777777777777777	0.611111111111111	0.16666666666666663	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_candidate_genes	stop_minus_permissive_index	Stop minus permissive balance	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	-0.11111111111111105	0.08888888888888888	-0.19999999999999993	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464549_P0	full_raw_matrix	full_matrix_candidate_genes	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5	0.75	-0.25	2
selected_feature_matrix	GSE122357	cerebellum	cerebellar	GSM3464550_P8a	full_raw_matrix	full_matrix_candidate_genes	differentiation_stop_index	Differentiation/stop signaling	cerebellar_candidate	broad_neuronal_structural_warning,other_or_ambiguous	0.5333333333333333	0.7333333333333333	-0.19999999999999996	2
