subject	session	unit_index	unit_id	cell_type	state_id	state_label	state_duration_s	spike_count	firing_rate_hz	active_in_state
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	7	rem	47.0	27	0.574468085106383	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	8	nrem	870.0	331	0.38045977011494253	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	9	transit	16.0	0	0.0	False
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	10	rem	166.0	75	0.45180722891566266	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	11	nrem	885.0	320	0.3615819209039548	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	12	transit	14.0	3	0.21428571428571427	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	13	rem	134.0	29	0.21641791044776118	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	14	nrem	568.0	226	0.397887323943662	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	15	awake	1508.0	1008	0.6684350132625995	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	16	nrem	1130.0	395	0.3495575221238938	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	17	transit	8.0	4	0.5	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	18	rem	67.0	47	0.7014925373134329	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	19	nrem	681.0	249	0.3656387665198238	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	20	transit	10.0	4	0.4	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	21	rem	35.0	7	0.2	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	22	nrem	766.0	361	0.47127937336814624	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	23	transit	8.0	0	0.0	False
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	24	rem	52.0	12	0.23076923076923078	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	25	awake	288.0	141	0.4895833333333333	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	26	nrem	408.0	155	0.3799019607843137	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	27	transit	10.0	0	0.0	False
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	28	rem	200.0	38	0.19	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	29	nrem	811.0	280	0.34525277435265106	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	30	transit	8.0	2	0.25	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	31	rem	41.0	21	0.5121951219512195	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	32	nrem	194.0	90	0.4639175257731959	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	33	awake	978.0	357	0.36503067484662577	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	34	nrem	976.0	362	0.3709016393442623	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	35	transit	6.0	5	0.8333333333333334	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	36	rem	29.0	27	0.9310344827586207	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	37	nrem	35.0	24	0.6857142857142857	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	38	transit	12.0	4	0.3333333333333333	True
YutaMouse41	YutaMouse41-150829	8	8	pyramidal cell	39	rem	58.0	46	0.7931034482758621	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	0	awake	436.0	490	1.1238532110091743	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	1	awake	107.0	36	0.3364485981308411	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	2	nrem	503.0	264	0.5248508946322068	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	3	transit	14.0	10	0.7142857142857143	True
YutaMouse41	YutaMouse41-150829	9	9	pyramidal cell	4	rem	84.0	28	0.3333333333333333	True
