dataset	sample	branch	source_group	module_id	module_label	module_family	n_defined_genes	n_present_genes	present_genes	missing_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_label
GSE104323	10X_all_cells	dentate	Immature-GC	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		2419	0.0	0.02080628822959741	0.16666666666666666	True	5.0	postmitotic_immature	Immature-GC
GSE104323	10X_all_cells	dentate	Immature-Pyr	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		4520	0.05331901388922656	0.058004267995181234	0.4375	False		other	Immature-Pyr
GSE104323	10X_all_cells	dentate	Cajal-Retzius	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		535	0.05331901388922656	0.05629615999675037	0.4375	False		other	Cajal-Retzius
GSE104323	10X_all_cells	dentate	Immature-GABA	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		1024	0.05331901388922656	0.07275481004963609	0.4375	False		other	Immature-GABA
GSE104323	10X_all_cells	dentate	GABA	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		209	0.05331901388922656	0.051852517756342836	0.4375	False		other	GABA
GSE104323	10X_all_cells	dentate	CA3-Pyr	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		532	0.0	0.027243573818618253	0.16666666666666666	False		other	CA3-Pyr
GSE104323	10X_all_cells	dentate	GC-juv	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		3420	0.0	0.009755742143430052	0.16666666666666666	True	6.0	mature_granule	GC-juv
GSE104323	10X_all_cells	dentate	GC-adult	deep_neural_progenitor	Deep neural progenitor	deep_origin	13	13	Sox1,Sox2,Sox3,Nes,Vim,Hes1,Hes5,Pax6,Hmga2,Msi1,Prom1,Notch1,Ascl1		2613	0.0	0.004781771801417173	0.16666666666666666	True	7.0	mature_granule	GC-adult
GSE104323	10X_all_cells	dentate	RGL	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		199	0.2559656384611507	0.2688180307120749	0.6666666666666666	True	1.0	early_progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		1232	0.16447036378528895	0.16924573580790944	0.5	False		other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		821	0.18850409497251847	0.19530595427691816	0.5416666666666666	False		other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		651	0.26349138957956686	0.27522512552382766	0.7083333333333334	False		other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		686	0.34196369591300335	0.35650176828340174	0.8333333333333334	True	0.0	early_progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		182	0.25175910147342273	0.2740153970468942	0.625	False		other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		79	0.0	0.036600409630822464	0.0625	False		other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	anterior_telencephalic_pattern	Anterior/telencephalic pattern	regional_origin	14	14	Foxg1,Emx1,Emx2,Lhx2,Six3,Otx2,Pax6,Eomes,Tbr1,Zbtb20,Tcf7l2,Lef1,Wnt3a,Wnt7a		428	0.0	0.04820464621166113	0.0625	False		other	MiCajal-Retziusoglia
