sample_accession	donor_id	marker_call	marker_confidence	feature_type	model_term_supported	target_set	peak_category	n_barcodes	n_features	n_linked_gene_strings	mean_count	mean_detection_fraction	mean_feature_score	median_feature_score
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	FatePolarity	hindbrain_rhombic_lip_pattern	gene_expression_or_marker	4609	18	18	0.43595863166268894	0.14957450398977845	0.3733446699386831	0.0075834735557884485
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	FatePolarity	medial_pallium_dentate_lineage	gene_expression_or_marker	4609	17	17	0.9996426429109287	0.1509067936135183	0.42449926049350895	0.04721479160390131
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	FatePolarity	shared_neurogenic_niche_state	gene_expression_or_marker	4609	10	10	0.06545888479062703	0.040963332610110655	0.0925573790451396	0.003903275286686047
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	FatePolarity	shared_postmitotic_granule_maturation	gene_expression_or_marker	4609	1	1	0.6821436320243003	0.46257322629637665	0.9826421777948274	0.9826421777948274
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	NicheSignal	anterior_telencephalic_pattern	gene_expression_or_marker	4609	1	1	0.0	0.0	0.0	0.0
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	NicheSignal	cerebellar_fate_rhombic_lip_shh	gene_expression_or_marker	4609	2	2	0.31232371447168583	0.1920156216098937	0.43507651187321766	0.43507651187321766
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	NicheSignal	deep_neural_progenitor	gene_expression_or_marker	4609	7	7	0.004277345566128382	0.0036574404116170227	0.007917252386422964	0.003686531626564199
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	NicheSignal	dentate_fate_wnt_prox1	gene_expression_or_marker	4609	1	1	0.0	0.0	0.0	0.0
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	NicheSignal	hindbrain_rhombic_lip_pattern	gene_expression_or_marker	4609	2	2	0.31232371447168583	0.1920156216098937	0.43507651187321766	0.43507651187321766
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	NicheSignal	medial_pallium_dentate_lineage	gene_expression_or_marker	4609	1	1	0.0	0.0	0.0	0.0
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	NicheSignal	shared_neurogenic_niche_state	gene_expression_or_marker	4609	21	21	0.09384330864044468	0.051514118339894	0.12193791898277105	0.011480861772926954
GSM9558423	H187	ambiguous_neuronal	low	Gene Expression	NicheSignal	shared_postmitotic_granule_maturation	gene_expression_or_marker	4609	2	2	0.06595790844000868	0.061184638750271206	0.12317818397096128	0.12317818397096128
