asset_id	path	subject	session	size_bytes	size_gb	created	modified	local_path	local_exists
fdd53e90-a1e4-4879-ba62-267740f9c402	sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151117_behavior+ecephys.nwb	YutaMouse42	YutaMouse42-151117	8376089269	8.376089269	2021-07-01T20:14:50.184941Z	2021-08-05T18:44:14.633750Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse42/sub-YutaMouse42_ses-YutaMouse42-151117_behavior+ecephys.nwb	False
5e9e92e1-f044-4aa0-ab47-1cfcb8899348	sub-YutaMouse20/sub-YutaMouse20_ses-YutaMouse20-140327_behavior+ecephys.nwb	YutaMouse20	YutaMouse20-140327	8417855886	8.417855886	2021-07-01T20:14:17.778065Z	2021-08-05T18:44:12.452268Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse20/sub-YutaMouse20_ses-YutaMouse20-140327_behavior+ecephys.nwb	False
f7eb8e0e-5be5-4a5c-833a-036fc788d075	sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150814_behavior+ecephys.nwb	YutaMouse40	YutaMouse40-150814	8422321677	8.422321677	2021-07-01T20:14:32.218763Z	2021-08-05T18:44:13.658899Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse40/sub-YutaMouse40_ses-YutaMouse40-150814_behavior+ecephys.nwb	False
6d1a9d82-2c5a-47cb-ba4c-6703700bb023	sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160915_behavior+ecephys.nwb	YutaMouse56	YutaMouse56-160915	8610074024	8.610074024	2021-07-01T20:15:36.514744Z	2021-08-05T18:44:15.575490Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56-160915_behavior+ecephys.nwb	False
a494e001-1a33-4f1c-8435-e66a6a52533b	sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161016_behavior+ecephys.nwb	YutaMouse57	YutaMouse57-161016	8702596037	8.702596037	2021-07-01T20:15:55.059293Z	2021-08-05T18:44:15.959654Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse57/sub-YutaMouse57_ses-YutaMouse57-161016_behavior+ecephys.nwb	False
ae561807-30d9-4775-9ce4-483da9843163	sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160907_behavior+ecephys.nwb	YutaMouse55	YutaMouse55-160907	8782923146	8.782923146	2021-07-01T20:15:17.312141Z	2021-08-05T18:44:15.164226Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/Project/external_data/raw/dandi/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160907_behavior+ecephys.nwb	True
ed714c6c-47b6-4b71-bebe-77c9532895a0	sub-YutaMouse39/sub-YutaMouse39_ses-YutaMouse39-150804_behavior+ecephys.nwb	YutaMouse39	YutaMouse39-150804	8828164886	8.828164886	2021-07-01T20:14:29.869663Z	2021-08-05T18:44:13.466742Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse39/sub-YutaMouse39_ses-YutaMouse39-150804_behavior+ecephys.nwb	False
46457396-a4e9-40bb-a8bc-84b221e90407	sub-YutaMouse51/sub-YutaMouse51_ses-YutaMouse51b160516_behavior+ecephys.nwb	YutaMouse51	YutaMouse51b160516	8905328291	8.905328291	2021-07-01T20:15:01.745595Z	2021-08-05T18:44:14.826012Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse51/sub-YutaMouse51_ses-YutaMouse51b160516_behavior+ecephys.nwb	False
5124caca-1174-44e2-8529-f306bd383a2e	sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160911_behavior+ecephys.nwb	YutaMouse55	YutaMouse55-160911	9010512132	9.010512132	2021-07-01T20:15:24.739042Z	2021-08-05T18:44:15.345917Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse55/sub-YutaMouse55_ses-YutaMouse55-160911_behavior+ecephys.nwb	False
e1da8178-47ab-4890-b251-44b7709d1535	sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56b160913_behavior+ecephys.nwb	YutaMouse56	YutaMouse56b160913	9098171878	9.098171878	2021-07-01T20:15:38.184155Z	2021-08-05T18:44:15.614979Z	/Users/jili/Desktop/codex_play/Hippocanpus&Cerebellum/External_Data/DANDI/000003/sub-YutaMouse56/sub-YutaMouse56_ses-YutaMouse56b160913_behavior+ecephys.nwb	False
