dataset	species	region	axis_type	axis_label	axis_order	comparison_group	pathway_id	pathway_label	pathway_family	hypothesis_role	n_cells	n_genes_present	genes_present	gene_roles_present	median_gene_rank	mean_gene_rank	median_detection_fraction	median_mean_log1p_expression	n_genes_defined	pathway_gene_coverage
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	686	18	BDNF,CREB1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAPK1,MAPK14,MAPK3,NGFR,NTRK2,RAF1,SHC1,SORT1,SOS1	adaptor,coreceptor,effector,feedback,ligand,receptor,response	0.5	0.5972222222222222	0.16253644314868804	0.11889670700895023	18	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	686	15	ACVR1,BMP2,BMP4,BMP7,BMPR1A,BMPR1B,BMPR2,ID1,ID2,ID3,ID4,NOG,SMAD1,SMAD5,SMAD9	antagonist,effector,ligand,receptor,response	0.875	0.7666666666666667	0.1661807580174927	0.12565505465615795	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	686	17	ETV4,ETV5,FGF10,FGF17,FGF2,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FRS2,MAP2K1,MAPK1,MAPK3,SPRY1,SPRY2,SPRY4	adaptor,effector,feedback,ligand,receptor,response	0.75	0.6948529411764706	0.1326530612244898	0.10283478777506906	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	686	14	DLL1,DLL3,DLL4,HES1,HES5,HEY1,HEY2,JAG1,JAG2,LFNG,NOTCH1,NOTCH2,NOTCH3,RBPJ	effector,ligand,modulator,receptor,response	0.875	0.75	0.11661807580174928	0.0891082885689649	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	686	10	CDK5,CDK5R1,CRK,CRKL,DAB1,LRP8,PAFAH1B1,RAP1A,RELN,VLDLR	adaptor,effector,ligand,receptor	0.5	0.5625	0.18002915451895043	0.14519639941118961	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	686	17	NRP1,NRP2,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNC1,RAC1,RHOA,SEMA3A,SEMA3C,SEMA3E,SEMA5A,SEMA6A,SEMA6D,SEMA7A	coreceptor,effector,ligand,receptor	0.5	0.5808823529411765	0.09329446064139942	0.06922355303942482	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	686	10	ATOH1,GLI1,GLI2,GLI3,HHIP,MYCN,PTCH1,PTCH2,SHH,SMO	effector,feedback,ligand,receptor,regional_fate,response	0.75	0.76875	0.05830903790087464	0.041303330735510284	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	686	15	ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,SMAD7,TGFB1,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2,TGFBR3	effector,feedback,ligand,receptor,response	0.625	0.6583333333333333	0.05393586005830904	0.037976546339396705	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL_young	0.0	curated_dentate_granule_lineage	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	dentate neurogenic permissive and granule fate signaling	686	16	AXIN2,CTNNB1,DKK1,DKK3,FZD1,FZD3,FZD5,FZD7,LEF1,LRP5,LRP6,TCF7L2,WNT3A,WNT5A,WNT7A,WNT7B	antagonist,coreceptor,effector,feedback,ligand,modulator,receptor,response	0.75	0.7109375	0.11807580174927115	0.08758278377664844	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	199	18	BDNF,CREB1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAPK1,MAPK14,MAPK3,NGFR,NTRK2,RAF1,SHC1,SORT1,SOS1	adaptor,coreceptor,effector,feedback,ligand,receptor,response	0.25	0.3090277777777778	0.09045226130653267	0.06371548645293013	18	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	199	15	ACVR1,BMP2,BMP4,BMP7,BMPR1A,BMPR1B,BMPR2,ID1,ID2,ID3,ID4,NOG,SMAD1,SMAD5,SMAD9	antagonist,effector,ligand,receptor,response	0.5	0.5041666666666667	0.07035175879396985	0.05283914946761589	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	199	17	ETV4,ETV5,FGF10,FGF17,FGF2,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FRS2,MAP2K1,MAPK1,MAPK3,SPRY1,SPRY2,SPRY4	adaptor,effector,feedback,ligand,receptor,response	0.5	0.4889705882352941	0.06030150753768844	0.04179781993326303	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	199	14	DLL1,DLL3,DLL4,HES1,HES5,HEY1,HEY2,JAG1,JAG2,LFNG,NOTCH1,NOTCH2,NOTCH3,RBPJ	effector,ligand,modulator,receptor,response	0.5625	0.5580357142857143	0.0829145728643216	0.05747200240823666	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	199	10	CDK5,CDK5R1,CRK,CRKL,DAB1,LRP8,PAFAH1B1,RAP1A,RELN,VLDLR	adaptor,effector,ligand,receptor	0.125	0.25	0.07537688442211055	0.05704512040623819	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	199	17	NRP1,NRP2,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNC1,RAC1,RHOA,SEMA3A,SEMA3C,SEMA3E,SEMA5A,SEMA6A,SEMA6D,SEMA7A	coreceptor,effector,ligand,receptor	0.375	0.41544117647058826	0.05025125628140704	0.03483151661105252	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	199	10	ATOH1,GLI1,GLI2,GLI3,HHIP,MYCN,PTCH1,PTCH2,SHH,SMO	effector,feedback,ligand,receptor,regional_fate,response	0.625	0.65	0.06532663316582915	0.04528097159436828	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	199	15	ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,SMAD7,TGFB1,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2,TGFBR3	effector,feedback,ligand,receptor,response	0.375	0.4	0.035175879396984924	0.02438206162773677	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	RGL	1.0	curated_dentate_granule_lineage	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	dentate neurogenic permissive and granule fate signaling	199	16	AXIN2,CTNNB1,DKK1,DKK3,FZD1,FZD3,FZD5,FZD7,LEF1,LRP5,LRP6,TCF7L2,WNT3A,WNT5A,WNT7A,WNT7B	antagonist,coreceptor,effector,feedback,ligand,modulator,receptor,response	0.4375	0.5234375	0.0678391959798995	0.04906006053099209	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	353	18	BDNF,CREB1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAPK1,MAPK14,MAPK3,NGFR,NTRK2,RAF1,SHC1,SORT1,SOS1	adaptor,coreceptor,effector,feedback,ligand,receptor,response	0.625	0.6423611111111112	0.1558073654390935	0.1158709891493653	18	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	353	15	ACVR1,BMP2,BMP4,BMP7,BMPR1A,BMPR1B,BMPR2,ID1,ID2,ID3,ID4,NOG,SMAD1,SMAD5,SMAD9	antagonist,effector,ligand,receptor,response	0.625	0.575	0.06232294617563739	0.05090569601535287	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	353	17	ETV4,ETV5,FGF10,FGF17,FGF2,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FRS2,MAP2K1,MAPK1,MAPK3,SPRY1,SPRY2,SPRY4	adaptor,effector,feedback,ligand,receptor,response	0.5	0.5147058823529411	0.042492917847025496	0.029453846199431102	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	353	14	DLL1,DLL3,DLL4,HES1,HES5,HEY1,HEY2,JAG1,JAG2,LFNG,NOTCH1,NOTCH2,NOTCH3,RBPJ	effector,ligand,modulator,receptor,response	0.625	0.7321428571428571	0.0708215297450425	0.05575717265251218	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	353	10	CDK5,CDK5R1,CRK,CRKL,DAB1,LRP8,PAFAH1B1,RAP1A,RELN,VLDLR	adaptor,effector,ligand,receptor	0.75	0.6375	0.24362606232294615	0.18732055880582277	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	353	17	NRP1,NRP2,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNC1,RAC1,RHOA,SEMA3A,SEMA3C,SEMA3E,SEMA5A,SEMA6A,SEMA6D,SEMA7A	coreceptor,effector,ligand,receptor	0.5	0.5514705882352942	0.0906515580736544	0.06742937736643316	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	353	10	ATOH1,GLI1,GLI2,GLI3,HHIP,MYCN,PTCH1,PTCH2,SHH,SMO	effector,feedback,ligand,receptor,regional_fate,response	0.625	0.675	0.032577903682719546	0.023155595270519698	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	353	15	ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,SMAD7,TGFB1,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2,TGFBR3	effector,feedback,ligand,receptor,response	0.625	0.6416666666666667	0.019830028328611898	0.013745128226401181	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC	2.0	curated_dentate_granule_lineage	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	dentate neurogenic permissive and granule fate signaling	353	16	AXIN2,CTNNB1,DKK1,DKK3,FZD1,FZD3,FZD5,FZD7,LEF1,LRP5,LRP6,TCF7L2,WNT3A,WNT5A,WNT7A,WNT7B	antagonist,coreceptor,effector,feedback,ligand,modulator,receptor,response	0.75	0.66796875	0.06940509915014165	0.05138699640287524	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	468	18	BDNF,CREB1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAPK1,MAPK14,MAPK3,NGFR,NTRK2,RAF1,SHC1,SORT1,SOS1	adaptor,coreceptor,effector,feedback,ligand,receptor,response	0.8125	0.7777777777777778	0.21581196581196582	0.16361975475359727	18	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	468	15	ACVR1,BMP2,BMP4,BMP7,BMPR1A,BMPR1B,BMPR2,ID1,ID2,ID3,ID4,NOG,SMAD1,SMAD5,SMAD9	antagonist,effector,ligand,receptor,response	1.0	0.9083333333333333	0.2222222222222222	0.17256314223355257	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	468	17	ETV4,ETV5,FGF10,FGF17,FGF2,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FRS2,MAP2K1,MAPK1,MAPK3,SPRY1,SPRY2,SPRY4	adaptor,effector,feedback,ligand,receptor,response	0.75	0.7426470588235294	0.19444444444444445	0.1490037055501732	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	468	14	DLL1,DLL3,DLL4,HES1,HES5,HEY1,HEY2,JAG1,JAG2,LFNG,NOTCH1,NOTCH2,NOTCH3,RBPJ	effector,ligand,modulator,receptor,response	0.875	0.7901785714285714	0.15918803418803418	0.12144772307865495	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	468	10	CDK5,CDK5R1,CRK,CRKL,DAB1,LRP8,PAFAH1B1,RAP1A,RELN,VLDLR	adaptor,effector,ligand,receptor	0.875	0.7875	0.20619658119658119	0.16404087772527398	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	468	17	NRP1,NRP2,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNC1,RAC1,RHOA,SEMA3A,SEMA3C,SEMA3E,SEMA5A,SEMA6A,SEMA6D,SEMA7A	coreceptor,effector,ligand,receptor	0.75	0.6507352941176471	0.08974358974358974	0.06924790266991887	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	468	10	ATOH1,GLI1,GLI2,GLI3,HHIP,MYCN,PTCH1,PTCH2,SHH,SMO	effector,feedback,ligand,receptor,regional_fate,response	0.875	0.85	0.07585470085470086	0.05561079655610392	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	468	15	ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,SMAD7,TGFB1,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2,TGFBR3	effector,feedback,ligand,receptor,response	0.875	0.8333333333333334	0.0641025641025641	0.04443251157435547	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	nIPC-perin	3.0	curated_dentate_granule_lineage	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	dentate neurogenic permissive and granule fate signaling	468	16	AXIN2,CTNNB1,DKK1,DKK3,FZD1,FZD3,FZD5,FZD7,LEF1,LRP5,LRP6,TCF7L2,WNT3A,WNT5A,WNT7A,WNT7B	antagonist,coreceptor,effector,feedback,ligand,modulator,receptor,response	1.0	0.9140625	0.1752136752136752	0.14024303981185804	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	1381	18	BDNF,CREB1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAPK1,MAPK14,MAPK3,NGFR,NTRK2,RAF1,SHC1,SORT1,SOS1	adaptor,coreceptor,effector,feedback,ligand,receptor,response	0.46875	0.4201388888888889	0.11187545257060102	0.07985233073392373	18	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	1381	15	ACVR1,BMP2,BMP4,BMP7,BMPR1A,BMPR1B,BMPR2,ID1,ID2,ID3,ID4,NOG,SMAD1,SMAD5,SMAD9	antagonist,effector,ligand,receptor,response	0.5	0.55	0.042722664735698766	0.02990669714782399	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	1381	17	ETV4,ETV5,FGF10,FGF17,FGF2,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FRS2,MAP2K1,MAPK1,MAPK3,SPRY1,SPRY2,SPRY4	adaptor,effector,feedback,ligand,receptor,response	0.5	0.40441176470588236	0.023171614771904415	0.017235749609233096	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	1381	14	DLL1,DLL3,DLL4,HES1,HES5,HEY1,HEY2,JAG1,JAG2,LFNG,NOTCH1,NOTCH2,NOTCH3,RBPJ	effector,ligand,modulator,receptor,response	0.5	0.5535714285714286	0.020999275887038378	0.01681462332038238	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	1381	10	CDK5,CDK5R1,CRK,CRKL,DAB1,LRP8,PAFAH1B1,RAP1A,RELN,VLDLR	adaptor,effector,ligand,receptor	0.5	0.55	0.19080376538740043	0.14173198104709903	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	1381	17	NRP1,NRP2,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNC1,RAC1,RHOA,SEMA3A,SEMA3C,SEMA3E,SEMA5A,SEMA6A,SEMA6D,SEMA7A	coreceptor,effector,ligand,receptor	0.625	0.6029411764705882	0.13540912382331644	0.10408699095870973	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	1381	10	ATOH1,GLI1,GLI2,GLI3,HHIP,MYCN,PTCH1,PTCH2,SHH,SMO	effector,feedback,ligand,receptor,regional_fate,response	0.5	0.49375	0.010499637943519189	0.007424595707583844	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	1381	15	ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,SMAD7,TGFB1,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2,TGFBR3	effector,feedback,ligand,receptor,response	0.625	0.5666666666666667	0.022447501810282405	0.015559422590411518	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Neuroblast	4.0	curated_dentate_granule_lineage	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	dentate neurogenic permissive and granule fate signaling	1381	16	AXIN2,CTNNB1,DKK1,DKK3,FZD1,FZD3,FZD5,FZD7,LEF1,LRP5,LRP6,TCF7L2,WNT3A,WNT5A,WNT7A,WNT7B	antagonist,coreceptor,effector,feedback,ligand,modulator,receptor,response	0.5	0.53515625	0.061911658218682115	0.0466175718950449	16	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	bdnf_trkb_mapk	BDNF/TrkB/MAPK	differentiation_stop	historical BDNF/TrkB plus MAPK maturation pathway	2419	18	BDNF,CREB1,DUSP6,EGR1,ELK1,FOS,GRB2,JUN,MAP2K1,MAPK1,MAPK14,MAPK3,NGFR,NTRK2,RAF1,SHC1,SORT1,SOS1	adaptor,coreceptor,effector,feedback,ligand,receptor,response	0.5625	0.6006944444444444	0.1696982224059529	0.1428872010916141	18	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	bmp_smad	BMP/SMAD	differentiation_stop	BMP-associated differentiation and neurogenic brake signaling	2419	15	ACVR1,BMP2,BMP4,BMP7,BMPR1A,BMPR1B,BMPR2,ID1,ID2,ID3,ID4,NOG,SMAD1,SMAD5,SMAD9	antagonist,effector,ligand,receptor,response	0.375	0.48333333333333334	0.011161637040099214	0.007904274073264442	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	fgf_mapk	FGF/MAPK	neurogenic_permissive	neurogenic niche maintenance and MAPK-linked growth signaling	2419	17	ETV4,ETV5,FGF10,FGF17,FGF2,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FRS2,MAP2K1,MAPK1,MAPK3,SPRY1,SPRY2,SPRY4	adaptor,effector,feedback,ligand,receptor,response	0.625	0.5955882352941176	0.019429516329061595	0.013467514463132461	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	notch_hes	Notch/HES	neurogenic_permissive	persistent neurogenic progenitor-state and differentiation timing control	2419	14	DLL1,DLL3,DLL4,HES1,HES5,HEY1,HEY2,JAG1,JAG2,LFNG,NOTCH1,NOTCH2,NOTCH3,RBPJ	effector,ligand,modulator,receptor,response	0.375	0.39285714285714285	0.016122364613476645	0.011510405232763206	14	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	reelin_migration_stop	Reelin/migration-stop	differentiation_stop	lamination, migration-stop, and maturation positioning cues	2419	10	CDK5,CDK5R1,CRK,CRKL,DAB1,LRP8,PAFAH1B1,RAP1A,RELN,VLDLR	adaptor,effector,ligand,receptor	0.6875	0.725	0.2769739561802398	0.2242964522972726	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	semaphorin_guidance	Semaphorin/plexin guidance	differentiation_stop	axon guidance, pruning, fasciculation, and local circuit architecture	2419	17	NRP1,NRP2,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNC1,RAC1,RHOA,SEMA3A,SEMA3C,SEMA3E,SEMA5A,SEMA6A,SEMA6D,SEMA7A	coreceptor,effector,ligand,receptor	1.0	0.8529411764705882	0.3220338983050847	0.26677098268765936	17	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	shh_granule_expansion	SHH/PTCH/GLI	progenitor_expansion_or_regional_fate	cerebellar granule precursor expansion and regional fate context	2419	10	ATOH1,GLI1,GLI2,GLI3,HHIP,MYCN,PTCH1,PTCH2,SHH,SMO	effector,feedback,ligand,receptor,regional_fate,response	0.375	0.4	0.0022736668044646548	0.001575985735047416	10	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	2419	15	ID1,ID2,ID3,SERPINE1,SMAD2,SMAD3,SMAD4,SMAD7,TGFB1,TGFB2,TGFB3,TGFBI,TGFBR1,TGFBR2,TGFBR3	effector,feedback,ligand,receptor,response	0.5	0.5	0.011161637040099214	0.007904274073264442	15	1.0
GSE104323	Mus musculus	dentate_gyrus	adult_dentate_lineage_state	Immature-GC	5.0	curated_dentate_granule_lineage	wnt_beta_catenin	WNT/beta-catenin	neurogenic_permissive	dentate neurogenic permissive and granule fate signaling	2419	16	AXIN2,CTNNB1,DKK1,DKK3,FZD1,FZD3,FZD5,FZD7,LEF1,LRP5,LRP6,TCF7L2,WNT3A,WNT5A,WNT7A,WNT7B	antagonist,coreceptor,effector,feedback,ligand,modulator,receptor,response	0.375	0.4453125	0.028317486564696154	0.020131036458321927	16	1.0
