dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	non_granule_or_ambiguous	low	23	0.0175798	0.0485702	-0.0309904	0.172618	0.145897	0.174242
GSE95752	C1_all_cells	DG16	dentate_gyrus	C1	candidate_dentate_granule	high	6	0.534764	0.00962705	0.525136	0.677914	0.655232	0.113208
GSE95752	C1_all_cells	DG16	dentate_gyrus	C1	candidate_dentate_granule	medium	4	0.529611	0	0.529611	0.576856	0.552323	0.0754717
GSE95752	C1_all_cells	DG16	dentate_gyrus	C1	dentate_like_low_support	low	37	0.25956	0.00247435	0.257085	0.376398	0.326096	0.698113
GSE95752	C1_all_cells	DG16	dentate_gyrus	C1	non_granule_or_ambiguous	low	6	0.00962705	0.0512345	-0.0416075	0.133127	0.106383	0.113208
GSE95752	C1_all_cells	DG17	dentate_gyrus	C1	candidate_dentate_granule	high	10	0.598485	0.0173287	0.581157	0.673942	0.627877	0.0645161
GSE95752	C1_all_cells	DG17	dentate_gyrus	C1	candidate_dentate_granule	medium	19	0.527608	0.00608024	0.521528	0.521174	0.502388	0.122581
GSE95752	C1_all_cells	DG17	dentate_gyrus	C1	dentate_like_low_support	low	74	0.254554	0.00312229	0.251432	0.410972	0.365176	0.477419
GSE95752	C1_all_cells	DG17	dentate_gyrus	C1	non_granule_or_ambiguous	low	52	0.00620385	0.0703808	-0.064177	0.13368	0.135801	0.335484
GSE95752	C1_all_cells	DG18	dentate_gyrus	C1	dentate_like_low_support	low	22	0.131038	0.0267017	0.104336	0.208961	0.174121	0.289474
GSE95752	C1_all_cells	DG18	dentate_gyrus	C1	non_granule_or_ambiguous	low	54	0.0140875	0.0608105	-0.046723	0.123215	0.106274	0.710526
GSE95752	C1_all_cells	DG19	dentate_gyrus	C1	candidate_dentate_granule	high	2	0.573879	0	0.573879	0.665117	0.645028	0.0229885
GSE95752	C1_all_cells	DG19	dentate_gyrus	C1	candidate_dentate_granule	medium	2	0.583575	0.0457755	0.537799	0.420285	0.397742	0.0229885
GSE95752	C1_all_cells	DG19	dentate_gyrus	C1	dentate_like_low_support	low	35	0.176866	0.0269369	0.149929	0.280748	0.264872	0.402299
GSE95752	C1_all_cells	DG19	dentate_gyrus	C1	non_granule_or_ambiguous	low	48	0.0175513	0.0893614	-0.0718101	0.210595	0.178463	0.551724
GSE95752	C1_all_cells	DG20	dentate_gyrus	C1	candidate_dentate_granule	high	74	0.716668	0.010604	0.706064	1.09304	0.898176	0.573643
GSE95752	C1_all_cells	DG20	dentate_gyrus	C1	candidate_dentate_granule	medium	3	0.524962	0	0.524962	0.563254	0.570994	0.0232558
GSE95752	C1_all_cells	DG20	dentate_gyrus	C1	dentate_like_low_support	low	48	0.295302	0.0274537	0.267848	0.898782	0.787885	0.372093
GSE95752	C1_all_cells	DG20	dentate_gyrus	C1	non_granule_or_ambiguous	low	4	0.0433218	0.093746	-0.0504242	0.545849	0.414459	0.0310078
GSE95752	C1_all_cells	DG21	dentate_gyrus	C1	candidate_dentate_granule	high	76	0.714256	0.0106404	0.703616	0.934864	0.82436	0.558824
GSE95752	C1_all_cells	DG21	dentate_gyrus	C1	candidate_dentate_granule	medium	4	0.552406	0.0373283	0.515078	0.581911	0.583587	0.0294118
GSE95752	C1_all_cells	DG21	dentate_gyrus	C1	dentate_like_low_support	low	23	0.260202	0.00502283	0.255179	0.562293	0.644377	0.169118
GSE95752	C1_all_cells	DG21	dentate_gyrus	C1	non_granule_or_ambiguous	low	33	0.014003	0.0651957	-0.0511927	0.199291	0.195397	0.242647
GSE95752	C1_all_cells	DG22	dentate_gyrus	C1	candidate_dentate_granule	high	88	0.802223	0.0198324	0.78239	1.02412	0.884281	0.739496
GSE95752	C1_all_cells	DG22	dentate_gyrus	C1	candidate_dentate_granule	medium	2	0.685905	0	0.685905	0.441045	0.400564	0.0168067
GSE95752	C1_all_cells	DG22	dentate_gyrus	C1	dentate_like_low_support	low	23	0.288182	0.0389064	0.249276	0.630314	0.641772	0.193277
GSE95752	C1_all_cells	DG22	dentate_gyrus	C1	non_granule_or_ambiguous	low	6	0	0.0761201	-0.0761201	0.2234	0.1967	0.0504202
GSE95752	C1_all_cells	DG23	dentate_gyrus	C1	candidate_dentate_granule	high	60	0.760999	0.0132419	0.747757	0.948002	0.859097	0.5
GSE95752	C1_all_cells	DG23	dentate_gyrus	C1	candidate_dentate_granule	medium	1	0.663795	0	0.663795	0.592831	0.575337	0.00833333
GSE95752	C1_all_cells	DG23	dentate_gyrus	C1	dentate_like_low_support	low	23	0.252384	0.00502281	0.247361	0.472201	0.479375	0.191667
GSE95752	C1_all_cells	DG23	dentate_gyrus	C1	non_granule_or_ambiguous	low	36	0.00641803	0.0789249	-0.0725069	0.172761	0.182805	0.3
GSE95752	C1_all_cells	DG24	dentate_gyrus	C1	candidate_dentate_granule	high	89	0.76212	0.00940543	0.752715	0.938323	0.8363	0.674242
GSE95752	C1_all_cells	DG24	dentate_gyrus	C1	candidate_dentate_granule	medium	9	0.530477	0.0192541	0.511222	0.548948	0.537994	0.0681818
GSE95752	C1_all_cells	DG24	dentate_gyrus	C1	dentate_like_low_support	low	26	0.272411	0.0101861	0.262225	0.596536	0.455059	0.19697
GSE95752	C1_all_cells	DG24	dentate_gyrus	C1	non_granule_or_ambiguous	low	8	0.00722029	0.0648184	-0.0575982	0.144785	0.103343	0.0606061
GSE95752	C1_all_cells	DG25	dentate_gyrus	C1	candidate_dentate_granule	high	69	0.811287	0.0105353	0.800752	0.961327	0.854972	0.734043
GSE95752	C1_all_cells	DG25	dentate_gyrus	C1	candidate_dentate_granule	medium	4	0.515078	0	0.515078	0.562464	0.55558	0.0425532
GSE95752	C1_all_cells	DG25	dentate_gyrus	C1	dentate_like_low_support	low	8	0.26249	0.0258845	0.236605	0.647222	0.549501	0.0851064
GSE95752	C1_all_cells	DG25	dentate_gyrus	C1	non_granule_or_ambiguous	low	13	0.00888651	0.0861936	-0.077307	0.158506	0.139818	0.138298
