gene	canonical_gene	human_symbol	mouse_symbol	panel	candidate_role	support_tier	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_datasets_detected_dentate_candidate_5pct	n_datasets_detected_cerebellar_candidate_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_structural_support	strict_shared_support
Dpysl2	DPYSL2	DPYSL2	Dpysl2	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	8.574830319650641e-18	6	12	0.8333333333333333	0.33333333333333326	0.04130279887374222	0.8433279308481901	0.7435128799733539	7	3	3.19174239675885e-17	0.06989704424787145	True	True
Dpysl3	DPYSL3	DPYSL3	Dpysl3	morphogenesis_cytoskeleton	shared_structural_executor	moderate_priority_shared_structural_executor	73	88	1.0	0.33333333333333337	2.5037147369020497e-21	6	12	0.6666666666666666	0.16666666666666663	0.12700887922326776	0.17567567567567569	0.5167042304690118	7	3	1.3979073947703112e-20	0.19051331883490163	True	True
Egr3	EGR3	EGR3	Egr3	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	73	88	1.0	0.5	2.1888932204481426e-30	3	6	0.6666666666666666	-0.16666666666666663	0.8295983765569577	0.13725490196078433	0.0005467468562055768	5	0	3.666396144250639e-29	0.9777409437992716	False	False
Elavl4	ELAVL4	ELAVL4	Elavl4	morphogenesis_cytoskeleton	shared_structural_executor	high_priority_shared_structural_executor	73	88	0.6666666666666666	0.16666666666666663	2.387561695687523e-05	6	12	1.0	0.5	0.00021486327043911477	0.32294617563739375	0.5828916620491942	5	3	2.6661105601844006e-05	0.0008863109905613484	True	True
En2	EN2	EN2	En2	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	72	88	0.75	0.08333333333333337	0.0002506595435754167	6	12	1.0	0.5	0.00021486327043911477	0.0	0.0933570482235985	0	3	0.0002583721449161987	0.0008863109905613484	False	False
Eomes	EOMES	EOMES	Eomes	shared_granule_neuronal	shared_granule_neuronal_state	shared_neuronal_state_context_dependent	72	88	1.0	0.33333333333333337	1.8864787307298993e-08	6	12	1.0	0.5	0.00021486327043911477	0.0	0.12258973134823783	1	3	2.808757221308961e-08	0.0008863109905613484	False	False
Epha4	EPHA4	EPHA4	Epha4	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	1.5371640063251686e-12	6	12	0.3333333333333333	-0.49999999999999994	0.9998528734296044	0.7639038392536778	0.010810768237346974	7	1	3.43299961412621e-12	0.9998528734296044	False	False
Ephb1	EPHB1	EPHB1	Ephb1	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	1.7655968508501778e-25	6	12	0.3333333333333333	-0.49999999999999994	0.9924520339370608	0.4245640636846095	0.12538498126478317	7	3	1.182949890069619e-24	0.9998528734296044	False	False
Ephb2	EPHB2	EPHB2	Ephb2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	73	88	1.0	0.5	5.197940844042361e-07	6	12	0.8333333333333333	0.33333333333333326	0.04130279887374222	0.28328611898017	0.3656444979155592	7	3	6.965240731016764e-07	0.06989704424787145	True	True
Etv1	ETV1	ETV1	Etv1	cerebellar_identity	regional_cerebellar_identity	cerebellar_identity_gene_with_human_bridge_leakage_warning	73	88	1.0	0.33333333333333337	2.4438863957707973e-05	6	12	1.0	0.5	0.00021486327043911477	0.2025862068965517	0.12295658560770306	6	3	2.6842686642072693e-05	0.0008863109905613484	False	False
