dataset	sample	source_group	specificity_role	human_gene	mouse_gene	source_gene_symbol	n_cells	median_log1p_expression	mean_log1p_expression	detection_fraction	within_sample_gene_rank
GSE122357	P0	Granule precursor	cerebellar_granule	NFIA	Nfia	Nfia	2553	1.3862943611198906	1.4889780783285054	0.9314531923227576	1.0
GSE122357	P0	Purkinje cells	purkinje_comparator	NFIA	Nfia	Nfia	92	0.0	0.19559548185838782	0.16304347826086957	0.1875
GSE122357	P0	Astrocytes	other_local_cell_type	NFIA	Nfia	Nfia	1230	1.0986122886681098	0.948679318879039	0.7634146341463415	0.6875
GSE122357	P0	Endothelial cells	other_local_cell_type	NFIA	Nfia	Nfia	15	1.0986122886681098	1.4868148072436327	1.0	0.6875
GSE122357	P0	Interneuron	other_local_cell_type	NFIA	Nfia	Nfia	418	1.0986122886681098	1.0729647339852497	0.8325358851674641	0.6875
GSE122357	P0	Microglia	other_local_cell_type	NFIA	Nfia	Nfia	112	0.0	0.23062406920439044	0.26785714285714285	0.1875
GSE122357	P0	Oligodendrocytes	other_local_cell_type	NFIA	Nfia	Nfia	44	0.6931471805599453	0.5278910469419851	0.5681818181818182	0.375
GSE122357	P8a	Granule cells	cerebellar_granule	NFIA	Nfia	Nfia	1367	1.791759469228055	1.726619704026497	0.9758595464520848	0.8125
GSE122357	P8a	Granule precursor	cerebellar_granule	NFIA	Nfia	Nfia	3254	2.0794415416798357	2.0717674082987534	0.9883220651505839	1.0
GSE122357	P8a	Purkinje cells	purkinje_comparator	NFIA	Nfia	Nfia	86	0.0	0.33667977786382197	0.32558139534883723	0.1875
GSE122357	P8a	Astrocytes	other_local_cell_type	NFIA	Nfia	Nfia	292	1.791759469228055	1.7232218251703695	0.9691780821917808	0.8125
GSE122357	P8a	Endothelial cells	other_local_cell_type	NFIA	Nfia	Nfia	8	1.0986122886681098	0.9744558170418243	0.875	0.5
GSE122357	P8a	Interneuron	other_local_cell_type	NFIA	Nfia	Nfia	570	1.6094379124341003	1.6494636841262746	0.9508771929824561	0.625
GSE122357	P8a	Microglia	other_local_cell_type	NFIA	Nfia	Nfia	102	0.0	0.36099946329649474	0.37254901960784315	0.1875
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	NFIA	Nfia	Nfia	173	0.6931471805599453	0.7634067221235787	0.6705202312138728	0.375
GSE122357	P8b	Granule cells	cerebellar_granule	NFIA	Nfia	Nfia	1883	1.3862943611198906	1.2651197096234217	0.8948486457780138	0.8125
GSE122357	P8b	Granule precursor	cerebellar_granule	NFIA	Nfia	Nfia	4309	1.6094379124341003	1.6071780432114122	0.9508006498027385	1.0
GSE122357	P8b	Purkinje cells	purkinje_comparator	NFIA	Nfia	Nfia	78	0.0	0.3251268220723845	0.3333333333333333	0.25
GSE122357	P8b	Astrocytes	other_local_cell_type	NFIA	Nfia	Nfia	512	1.3862943611198906	1.2778982422569007	0.861328125	0.8125
GSE122357	P8b	Endothelial cells	other_local_cell_type	NFIA	Nfia	Nfia	18	0.0	0.3655139562227834	0.3888888888888889	0.25
GSE122357	P8b	Interneuron	other_local_cell_type	NFIA	Nfia	Nfia	828	1.0986122886681098	1.242531830039738	0.8490338164251208	0.625
GSE122357	P8b	Microglia	other_local_cell_type	NFIA	Nfia	Nfia	123	0.0	0.4108625203470411	0.3902439024390244	0.25
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	NFIA	Nfia	Nfia	238	0.6931471805599453	0.6461863974075777	0.5798319327731093	0.5
GSE104323	10X_all_cells	GC-adult	dentate_granule	NFIB	Nfib	Nfib	2613	0.6931471805599453	0.6355217261565742	0.6505931879066208	0.375
GSE104323	10X_all_cells	GC-juv	dentate_granule	NFIB	Nfib	Nfib	3420	1.0986122886681098	0.9472678004151455	0.8119883040935673	0.625
GSE104323	10X_all_cells	Immature-GC	dentate_granule	NFIB	Nfib	Nfib	2419	1.9459101490553132	1.8247468136244844	0.9590739975196362	0.8541666666666666
GSE104323	10X_all_cells	Neuroblast	dentate_granule	NFIB	Nfib	Nfib	1381	2.5649493574615367	2.4519376173241727	0.9934829833454019	1.0
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	NFIB	Nfib	Nfib	532	1.0986122886681098	1.031335994018705	0.7349624060150376	0.625
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	NFIB	Nfib	Nfib	4520	1.9459101490553132	1.9059691751516907	0.9570796460176991	0.8541666666666666
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	NFIB	Nfib	Nfib	1232	0.6931471805599453	0.4586635542416118	0.510551948051948	0.375
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	NFIB	Nfib	Nfib	821	0.6931471805599453	0.5828846306738966	0.6187576126674786	0.375
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	NFIB	Nfib	Nfib	535	1.9459101490553132	1.8367787300912153	0.9233644859813084	0.8541666666666666
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	NFIB	Nfib	Nfib	543	0.6931471805599453	0.5450928247214795	0.5340699815837937	0.375
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	NFIB	Nfib	Nfib	182	1.0986122886681098	1.0815367670139577	0.7692307692307693	0.625
GSE104323	10X_all_cells	GABA	other_local_cell_type	NFIB	Nfib	Nfib	209	0.6931471805599453	0.7490633660611542	0.5980861244019139	0.375
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	NFIB	Nfib	Nfib	651	1.3862943611198906	1.3638896380823462	0.9093701996927803	0.7083333333333334
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	NFIB	Nfib	Nfib	1024	0.6931471805599453	0.8930945140156752	0.5966796875	0.375
GSE104323	10X_all_cells	MOL	other_local_cell_type	NFIB	Nfib	Nfib	704	0.0	0.34244885092385074	0.40482954545454547	0.10416666666666667
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	NFIB	Nfib	Nfib	428	0.0	0.18950759201845385	0.1985981308411215	0.10416666666666667
GSE104323	10X_all_cells	NFOL	other_local_cell_type	NFIB	Nfib	Nfib	232	0.0	0.25943223577507957	0.3103448275862069	0.10416666666666667
GSE104323	10X_all_cells	OPC	other_local_cell_type	NFIB	Nfib	Nfib	794	0.6931471805599453	0.6129620622639883	0.5843828715365239	0.375
GSE104323	10X_all_cells	PVM	other_local_cell_type	NFIB	Nfib	Nfib	79	0.0	0.1016466341046527	0.12658227848101267	0.10416666666666667
GSE104323	10X_all_cells	RGL	other_local_cell_type	NFIB	Nfib	Nfib	199	0.6931471805599453	0.7890005785609852	0.6884422110552764	0.375
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	NFIB	Nfib	Nfib	686	1.6094379124341003	1.5770963447624915	0.9518950437317785	0.75
GSE104323	10X_all_cells	VLMC	other_local_cell_type	NFIB	Nfib	Nfib	160	0.6931471805599453	0.6108365649898995	0.54375	0.375
GSE104323	10X_all_cells	nIPC	other_local_cell_type	NFIB	Nfib	Nfib	353	2.4849066497880004	2.3671767534669304	0.9745042492917847	0.9583333333333334
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	NFIB	Nfib	Nfib	468	1.9459101490553132	1.9815113528707862	0.9871794871794872	0.8541666666666666
GSE122357	P0	Granule cells	cerebellar_granule	NFIB	Nfib	Nfib	2814	1.791759469228055	1.681072081382463	0.9633972992181947	0.8125
GSE122357	P0	Granule precursor	cerebellar_granule	NFIB	Nfib	Nfib	2553	1.791759469228055	1.7808817265927943	0.9733646690168429	0.8125
GSE122357	P0	Purkinje cells	purkinje_comparator	NFIB	Nfib	Nfib	92	0.0	0.30274107476882195	0.2717391304347826	0.1875
GSE122357	P0	Astrocytes	other_local_cell_type	NFIB	Nfib	Nfib	1230	1.3862943611198906	1.2856707824243632	0.9089430894308943	0.5625
GSE122357	P0	Endothelial cells	other_local_cell_type	NFIB	Nfib	Nfib	15	1.3862943611198906	1.391930941241328	0.7333333333333333	0.5625
GSE122357	P0	Interneuron	other_local_cell_type	NFIB	Nfib	Nfib	418	2.0794415416798357	2.081788546880982	0.9808612440191388	1.0
GSE122357	P0	Microglia	other_local_cell_type	NFIB	Nfib	Nfib	112	0.0	0.29391177694659376	0.24107142857142858	0.1875
GSE122357	P0	Oligodendrocytes	other_local_cell_type	NFIB	Nfib	Nfib	44	0.6931471805599453	0.7079280091964205	0.6363636363636364	0.375
GSE122357	P8a	Granule cells	cerebellar_granule	NFIB	Nfib	Nfib	1367	2.4849066497880004	2.4578027280557393	1.0	0.75
GSE122357	P8a	Granule precursor	cerebellar_granule	NFIB	Nfib	Nfib	3254	2.5649493574615367	2.529721995165698	0.9984634296250768	0.875
GSE122357	P8a	Purkinje cells	purkinje_comparator	NFIB	Nfib	Nfib	86	0.0	0.3931836100312781	0.32558139534883723	0.25
GSE122357	P8a	Astrocytes	other_local_cell_type	NFIB	Nfib	Nfib	292	1.9459101490553132	1.9029973737381418	0.9863013698630136	0.625
GSE122357	P8a	Endothelial cells	other_local_cell_type	NFIB	Nfib	Nfib	8	0.0	0.3972567287934932	0.375	0.25
GSE122357	P8a	Interneuron	other_local_cell_type	NFIB	Nfib	Nfib	570	2.70805020110221	2.6633118972482026	0.9947368421052631	1.0
GSE122357	P8a	Microglia	other_local_cell_type	NFIB	Nfib	Nfib	102	0.0	0.32816293828712895	0.27450980392156865	0.25
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	NFIB	Nfib	Nfib	173	0.6931471805599453	0.9091334041411335	0.6820809248554913	0.5
GSE122357	P8b	Granule cells	cerebellar_granule	NFIB	Nfib	Nfib	1883	2.1972245773362196	2.1635486530696943	0.9978757302177377	0.8125
GSE122357	P8b	Granule precursor	cerebellar_granule	NFIB	Nfib	Nfib	4309	2.1972245773362196	2.2113298986808374	0.9960547690879554	0.8125
GSE122357	P8b	Purkinje cells	purkinje_comparator	NFIB	Nfib	Nfib	78	0.0	0.32642049085839026	0.3333333333333333	0.25
GSE122357	P8b	Astrocytes	other_local_cell_type	NFIB	Nfib	Nfib	512	1.6094379124341003	1.578553796092543	0.966796875	0.625
GSE122357	P8b	Endothelial cells	other_local_cell_type	NFIB	Nfib	Nfib	18	0.0	0.5871241810319098	0.4444444444444444	0.25
GSE122357	P8b	Interneuron	other_local_cell_type	NFIB	Nfib	Nfib	828	2.302585092994046	2.2699656203896397	0.9963768115942029	1.0
GSE122357	P8b	Microglia	other_local_cell_type	NFIB	Nfib	Nfib	123	0.0	0.5378076887404228	0.36585365853658536	0.25
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	NFIB	Nfib	Nfib	238	0.6931471805599453	0.735632150496346	0.5966386554621849	0.5
GSE104323	10X_all_cells	GC-adult	dentate_granule	RFX3	Rfx3	Rfx3	2613	0.0	0.43574223763866093	0.4860313815537696	0.4791666666666667
GSE104323	10X_all_cells	GC-juv	dentate_granule	RFX3	Rfx3	Rfx3	3420	0.6931471805599453	0.7507949976263872	0.7128654970760234	0.9791666666666666
GSE104323	10X_all_cells	Immature-GC	dentate_granule	RFX3	Rfx3	Rfx3	2419	0.0	0.42857832371890325	0.4464654816039686	0.4791666666666667
GSE104323	10X_all_cells	Neuroblast	dentate_granule	RFX3	Rfx3	Rfx3	1381	0.0	0.11377517991495509	0.1564083997103548	0.4791666666666667
GSE104323	10X_all_cells	CA3-Pyr	pyramidal_comparator	RFX3	Rfx3	Rfx3	532	0.0	0.19453578284753176	0.231203007518797	0.4791666666666667
GSE104323	10X_all_cells	Immature-Pyr	pyramidal_comparator	RFX3	Rfx3	Rfx3	4520	0.0	0.16775331194825682	0.21393805309734512	0.4791666666666667
GSE104323	10X_all_cells	Astro-adult	other_local_cell_type	RFX3	Rfx3	Rfx3	1232	0.0	0.15690822519537614	0.2069805194805195	0.4791666666666667
GSE104323	10X_all_cells	Astro-juv	other_local_cell_type	RFX3	Rfx3	Rfx3	821	0.0	0.1809141263622173	0.24238733252131547	0.4791666666666667
GSE104323	10X_all_cells	Cajal-Retzius	other_local_cell_type	RFX3	Rfx3	Rfx3	535	0.0	0.1147729822631087	0.14766355140186915	0.4791666666666667
GSE104323	10X_all_cells	Endothelial	other_local_cell_type	RFX3	Rfx3	Rfx3	543	0.0	0.06052804433176613	0.07550644567219153	0.4791666666666667
GSE104323	10X_all_cells	Ependymal	other_local_cell_type	RFX3	Rfx3	Rfx3	182	0.6931471805599453	0.4943279868884011	0.521978021978022	0.9791666666666666
GSE104323	10X_all_cells	GABA	other_local_cell_type	RFX3	Rfx3	Rfx3	209	0.0	0.06632987373779381	0.09569377990430622	0.4791666666666667
GSE104323	10X_all_cells	Immature-Astro	other_local_cell_type	RFX3	Rfx3	Rfx3	651	0.0	0.11651962486461472	0.15668202764976957	0.4791666666666667
GSE104323	10X_all_cells	Immature-GABA	other_local_cell_type	RFX3	Rfx3	Rfx3	1024	0.0	0.06385989214582756	0.083984375	0.4791666666666667
GSE104323	10X_all_cells	MOL	other_local_cell_type	RFX3	Rfx3	Rfx3	704	0.0	0.0857520905443645	0.11505681818181818	0.4791666666666667
GSE104323	10X_all_cells	MiCajal-Retziusoglia	other_local_cell_type	RFX3	Rfx3	Rfx3	428	0.0	0.041710111349913974	0.056074766355140186	0.4791666666666667
GSE104323	10X_all_cells	NFOL	other_local_cell_type	RFX3	Rfx3	Rfx3	232	0.0	0.06274177065413299	0.09051724137931035	0.4791666666666667
GSE104323	10X_all_cells	OPC	other_local_cell_type	RFX3	Rfx3	Rfx3	794	0.0	0.06255939476370666	0.08564231738035265	0.4791666666666667
GSE104323	10X_all_cells	PVM	other_local_cell_type	RFX3	Rfx3	Rfx3	79	0.0	0.01754802988759355	0.02531645569620253	0.4791666666666667
GSE104323	10X_all_cells	RGL	other_local_cell_type	RFX3	Rfx3	Rfx3	199	0.0	0.14195545410131838	0.19095477386934673	0.4791666666666667
GSE104323	10X_all_cells	RGL_young	other_local_cell_type	RFX3	Rfx3	Rfx3	686	0.0	0.12317863851392936	0.1588921282798834	0.4791666666666667
GSE104323	10X_all_cells	VLMC	other_local_cell_type	RFX3	Rfx3	Rfx3	160	0.0	0.05198603854199589	0.075	0.4791666666666667
GSE104323	10X_all_cells	nIPC	other_local_cell_type	RFX3	Rfx3	Rfx3	353	0.0	0.16115577190783212	0.20396600566572237	0.4791666666666667
GSE104323	10X_all_cells	nIPC-perin	other_local_cell_type	RFX3	Rfx3	Rfx3	468	0.0	0.11116139893065508	0.14316239316239315	0.4791666666666667
GSE122357	P0	Granule cells	cerebellar_granule	RFX3	Rfx3	Rfx3	2814	0.0	0.08373542161429309	0.11691542288557213	0.5625
GSE122357	P0	Granule precursor	cerebellar_granule	RFX3	Rfx3	Rfx3	2553	0.0	0.14215571040866978	0.190755973364669	0.5625
GSE122357	P0	Purkinje cells	purkinje_comparator	RFX3	Rfx3	Rfx3	92	0.0	0.030136833937388925	0.043478260869565216	0.5625
GSE122357	P0	Astrocytes	other_local_cell_type	RFX3	Rfx3	Rfx3	1230	0.0	0.1366846088367745	0.1772357723577236	0.5625
GSE122357	P0	Endothelial cells	other_local_cell_type	RFX3	Rfx3	Rfx3	15	0.0	0.13862943611198905	0.2	0.5625
GSE122357	P0	Interneuron	other_local_cell_type	RFX3	Rfx3	Rfx3	418	0.0	0.09342537842743948	0.1291866028708134	0.5625
GSE122357	P0	Microglia	other_local_cell_type	RFX3	Rfx3	Rfx3	112	0.0	0.049510512897138946	0.07142857142857142	0.5625
GSE122357	P0	Oligodendrocytes	other_local_cell_type	RFX3	Rfx3	Rfx3	44	0.0	0.0722284961442715	0.09090909090909091	0.5625
GSE122357	P8a	Granule cells	cerebellar_granule	RFX3	Rfx3	Rfx3	1367	0.0	0.1266979620856523	0.17190929041697148	0.5625
GSE122357	P8a	Granule precursor	cerebellar_granule	RFX3	Rfx3	Rfx3	3254	0.0	0.1463979040444408	0.1945298094652735	0.5625
GSE122357	P8a	Purkinje cells	purkinje_comparator	RFX3	Rfx3	Rfx3	86	0.0	0.04029925468371775	0.05813953488372093	0.5625
GSE122357	P8a	Astrocytes	other_local_cell_type	RFX3	Rfx3	Rfx3	292	0.0	0.24154877360855762	0.3082191780821918	0.5625
GSE122357	P8a	Endothelial cells	other_local_cell_type	RFX3	Rfx3	Rfx3	8	0.0	0.0	0.0	0.5625
GSE122357	P8a	Interneuron	other_local_cell_type	RFX3	Rfx3	Rfx3	570	0.0	0.10205657397525683	0.14210526315789473	0.5625
GSE122357	P8a	Microglia	other_local_cell_type	RFX3	Rfx3	Rfx3	102	0.0	0.05833963286850713	0.0784313725490196	0.5625
GSE122357	P8a	Oligodendrocytes	other_local_cell_type	RFX3	Rfx3	Rfx3	173	0.0	0.09979272250208707	0.1329479768786127	0.5625
GSE122357	P8b	Granule cells	cerebellar_granule	RFX3	Rfx3	Rfx3	1883	0.0	0.09609055559899227	0.1295804567180032	0.5625
GSE122357	P8b	Granule precursor	cerebellar_granule	RFX3	Rfx3	Rfx3	4309	0.0	0.1408024023607883	0.18728243211882106	0.5625
GSE122357	P8b	Purkinje cells	purkinje_comparator	RFX3	Rfx3	Rfx3	78	0.0	0.14369407595660907	0.19230769230769232	0.5625
GSE122357	P8b	Astrocytes	other_local_cell_type	RFX3	Rfx3	Rfx3	512	0.0	0.1823319977559336	0.234375	0.5625
GSE122357	P8b	Endothelial cells	other_local_cell_type	RFX3	Rfx3	Rfx3	18	0.0	0.11552453009332421	0.16666666666666666	0.5625
GSE122357	P8b	Interneuron	other_local_cell_type	RFX3	Rfx3	Rfx3	828	0.0	0.09530742340767602	0.13043478260869565	0.5625
GSE122357	P8b	Microglia	other_local_cell_type	RFX3	Rfx3	Rfx3	123	0.0	0.050718086382435024	0.07317073170731707	0.5625
GSE122357	P8b	Oligodendrocytes	other_local_cell_type	RFX3	Rfx3	Rfx3	238	0.0	0.1087479485379443	0.14705882352941177	0.5625
