analysis_class	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	background_max_mean	background_max_median	background_max_q25	background_max_q75	broad_class	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	dataset	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	identity_rank_contrast_mean	identity_rank_contrast_median	identity_rank_contrast_q25	identity_rank_contrast_q75	label	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	n_cells_or_spots	platform	region	sample	sample_context	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	source_layer	species	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
backbone_non_dentate_reference		0							non_dentate_background		0				0.387761			GSE104323		0				0.144449			-0.243312	-0.243312			MiCajal-Retziusoglia		0.183102			428	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0				0.0438081			backbone_refined	mouse		0.0862024				0.0899008			backbone_refined|GSE104323|10X_all_cells|MiCajal-Retziusoglia|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0462098							non_dentate_background		0				0.387761			GSE104323		0				0.144449			-0.243312	-0.243312			NFOL		0.421876			232	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.053319				0.131776			backbone_refined	mouse		0.175795				0.265236			backbone_refined|GSE104323|10X_all_cells|NFOL|backbone_non_dentate_reference
backbone_dentate_candidate		0.138629							dentate_candidate		0				0.387761			GSE104323		0.22397				0.645338			0.257577	0.257577			Neuroblast		0.563464			1381	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.435612				0.590076			backbone_refined	mouse		0.385823				0.562001			backbone_refined|GSE104323|10X_all_cells|Neuroblast|backbone_dentate_candidate
backbone_non_dentate_reference		0.0462098							non_dentate_background		0				0.387761			GSE104323		0				0.144449			-0.243312	-0.243312			OPC		0.356389			794	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.053319				0.131776			backbone_refined	mouse		0.157153				0.227207			backbone_refined|GSE104323|10X_all_cells|OPC|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0924196							non_dentate_background		0				0.387761			GSE104323		0				0.144449			-0.243312	-0.243312			PVM		0.149313			79	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0				0.0438081			backbone_refined	mouse		0.080472				0.0798429			backbone_refined|GSE104323|10X_all_cells|PVM|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0462098							non_dentate_background		0				0.387761			GSE104323		0				0.144449			-0.243312	-0.243312			RGL		0.207076			199	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.053319				0.131776			backbone_refined	mouse		0.104571				0.12423			backbone_refined|GSE104323|10X_all_cells|RGL|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0924196							non_dentate_background		0				0.387761			GSE104323		0.0866434				0.376949			-0.010812	-0.010812			RGL_young		0.3226			686	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.106638				0.221274			backbone_refined	mouse		0.163035				0.24021			backbone_refined|GSE104323|10X_all_cells|RGL_young|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0732408							non_dentate_background		0.126027				0.962125			GSE104323		0				0.144449			-0.817676	-0.817676			VLMC		0.22836			160	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.053319				0.131776			backbone_refined	mouse		0.107533				0.129357			backbone_refined|GSE104323|10X_all_cells|VLMC|backbone_non_dentate_reference
backbone_non_dentate_reference		0.119451							non_dentate_background		0				0.387761			GSE104323		0.173287				0.563386			0.175625	0.175625			nIPC		0.51986			353	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.297785				0.436944			backbone_refined	mouse		0.322437				0.504321			backbone_refined|GSE104323|10X_all_cells|nIPC|backbone_non_dentate_reference
backbone_non_dentate_reference		0.0924196							non_dentate_background		0				0.387761			GSE104323		0.0866434				0.376949			-0.010812	-0.010812			nIPC-perin		0.424964			468	10x	dentate_gyrus	10X_all_cells	dentate_gyrus		0.137828				0.261216			backbone_refined	mouse		0.225125				0.363696			backbone_refined|GSE104323|10X_all_cells|nIPC-perin|backbone_non_dentate_reference
backbone_cerebellar_candidate		0.0732408							cerebellar_candidate		0.443891				0.773969			GSE122357		0.0866434				0.502009			-0.27196	-0.27196			all		1.26526			2678	single_cell_RNA_seq	cerebellum	GSM3464549_P0	cerebellum		0.821046				0.734668			backbone_refined	mouse		0.725125				0.734132			backbone_refined|GSE122357|GSM3464549_P0|all|backbone_cerebellar_candidate
backbone_cerebellum_warning		0.0732408							broad_neuronal_structural_warning		0.126027				0.134373			GSE122357		0.20118				0.90004			0.765667	0.765667			all		0.873902			353	single_cell_RNA_seq	cerebellum	GSM3464549_P0	cerebellum		0.444673				0.422938			backbone_refined	mouse		0.484627				0.482726			backbone_refined|GSE122357|GSM3464549_P0|all|backbone_cerebellum_warning
backbone_other_or_ambiguous		0.0462098							other_or_ambiguous		0.225901				0.321706			GSE122357		0.0866434				0.502009			0.180303	0.180303			all		0.648602			4437	single_cell_RNA_seq	cerebellum	GSM3464549_P0	cerebellum		0.326807				0.315613			backbone_refined	mouse		0.34069				0.326593			backbone_refined|GSE122357|GSM3464549_P0|all|backbone_other_or_ambiguous
backbone_cerebellar_candidate		0.0462098							cerebellar_candidate		0.477954				0.778006			GSE122357		0.137327				0.680273			-0.097733	-0.097733			all		1.1912			2082	single_cell_RNA_seq	cerebellum	GSM3464550_P8a	cerebellum		0.77408				0.720475			backbone_refined	mouse		0.679104				0.70951			backbone_refined|GSE122357|GSM3464550_P8a|all|backbone_cerebellar_candidate
backbone_cerebellum_warning		0.0924196							broad_neuronal_structural_warning		0.126027				0.120072			GSE122357		0.25993				0.943331			0.823259	0.823259			all		1.04416			319	single_cell_RNA_seq	cerebellum	GSM3464550_P8a	cerebellum		0.537286				0.465999			backbone_refined	mouse		0.566509				0.558804			backbone_refined|GSE122357|GSM3464550_P8a|all|backbone_cerebellum_warning
backbone_other_or_ambiguous		0.0462098							other_or_ambiguous		0.262761				0.350197			GSE122357		0.0866434				0.466163			0.115966	0.115966			all		0.807731			3687	single_cell_RNA_seq	cerebellum	GSM3464550_P8a	cerebellum		0.404423				0.320795			backbone_refined	mouse		0.423007				0.338863			backbone_refined|GSE122357|GSM3464550_P8a|all|backbone_other_or_ambiguous
backbone_cerebellar_candidate		0.0462098							cerebellar_candidate		0.435227				0.770874			GSE122357		0.0866434				0.494491			-0.276383	-0.276383			all		1.03116			2697	single_cell_RNA_seq	cerebellum	GSM3464551_P8b	cerebellum		0.642195				0.702253			backbone_refined	mouse		0.579724				0.700784			backbone_refined|GSE122357|GSM3464551_P8b|all|backbone_cerebellar_candidate
backbone_cerebellum_warning		0.0462098							broad_neuronal_structural_warning		0.126027				0.120593			GSE122357		0.22397				0.923727			0.803134	0.803134			all		0.862348			499	single_cell_RNA_seq	cerebellum	GSM3464551_P8b	cerebellum		0.464635				0.493022			backbone_refined	mouse		0.465847				0.535994			backbone_refined|GSE122357|GSM3464551_P8b|all|backbone_cerebellum_warning
backbone_other_or_ambiguous		0.0462098							other_or_ambiguous		0.252054				0.362635			GSE122357		0.0866434				0.494491			0.131856	0.131856			all		0.712778			4972	single_cell_RNA_seq	cerebellum	GSM3464551_P8b	cerebellum		0.328974				0.319723			backbone_refined	mouse		0.364107				0.352228			backbone_refined|GSE122357|GSM3464551_P8b|all|backbone_other_or_ambiguous
backbone_organoid_granule_like		0.238901							other_or_ambiguous		0.33757				0.818334			GSE150153		0.25993				0.801514			-0.01682	-0.01682			metadata_unmatched		1.78059			402	10x	organoid	NAY6153A1_125	organoid		0.747899				0.803196			backbone_refined	human		0.900707				0.812868			backbone_refined|GSE150153|NAY6153A1_125|metadata_unmatched|backbone_organoid_granule_like
backbone_other_or_ambiguous		0.0732408							other_or_ambiguous		0.126027				0.317914			GSE150153		0.0866434				0.343987			0.026073	0.026073			metadata_unmatched		0.892497			787	10x	organoid	NAY6153A1_125	organoid		0.28376				0.329268			backbone_refined	human		0.439078				0.335576			backbone_refined|GSE150153|NAY6153A1_125|metadata_unmatched|backbone_other_or_ambiguous
backbone_organoid_granule_like		0.138629							other_or_ambiguous		0.209326				0.787226			GSE150153		0.22397				0.814815			0.027589	0.027589			metadata_unmatched		1.1379			490	10x	organoid	NAY6153A2_678	organoid		0.492072				0.755102			backbone_refined	human		0.586491				0.758881			backbone_refined|GSE150153|NAY6153A2_678|metadata_unmatched|backbone_organoid_granule_like
backbone_other_or_ambiguous		0.0462098							other_or_ambiguous		0.0630134				0.369615			GSE150153		0.0866434				0.455782			0.086167	0.086167			metadata_unmatched		0.484759			833	10x	organoid	NAY6153A2_678	organoid		0.137828				0.300076			backbone_refined	human		0.221922				0.322751			backbone_refined|GSE150153|NAY6153A2_678|metadata_unmatched|backbone_other_or_ambiguous
backbone_cerebellar_candidate		0.0462098							cerebellar_candidate		0.225901				0.790462			GSE165657		0.0866434				0.714133			-0.076329	-0.076329			all		0.678989			25064	10x	cerebellum	Cerebellum_aggr	cerebellum		0.452777				0.756954			backbone_refined	human		0.393643				0.752679			backbone_refined|GSE165657|Cerebellum_aggr|all|backbone_cerebellar_candidate
