sample_accession	donor_id	cluster_id	marker_call	n_marker_call_barcodes_in_cluster	n_cluster_barcodes	fraction_of_cluster	n_marker_call_barcodes_in_donor	n_donor_basic_qc_barcodes	donor_marker_call_fraction	fold_enrichment_over_donor	cluster_support_tier	cluster_support_rule
GSM9558427	H628	H628_C07	ambiguous_neuronal	6	153	0.0392156862745098	6466	8506	0.760169292264284	0.051588095801265145	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C07	inhibitory_interneuron_candidate	7	153	0.0457516339869281	7	8506	0.0008229485069362803	55.59477124183006	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C07	opc_candidate	5	153	0.0326797385620915	27	8506	0.0031742299553256526	10.295328007746306	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C08	ambiguous_neuronal	729	844	0.8637440758293838	6466	8506	0.760169292264284	1.1362522593573676	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C08	astrocyte_bergmann_candidate	2	844	0.0023696682464454	126	8506	0.014813073124853044	0.1599714135259093	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C08	cerebellar_granule_candidate	11	844	0.0130331753554502	160	8506	0.018810251587114978	0.6928761848341213	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C08	opc_candidate	1	844	0.0011848341232227	27	8506	0.0031742299553256526	0.37326663156045503	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C08	purkinje_candidate	101	844	0.1196682464454976	1570	8506	0.18457559369856572	0.6483427415703201	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C09	ambiguous_neuronal	598	641	0.9329173166926678	6466	8506	0.760169292264284	1.2272494116591142	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C09	ambiguous_non_neuronal_or_niche	1	641	0.0015600624024961	29	8506	0.0034093581001645896	0.45758244122868363	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C09	cerebellar_granule_candidate	2	641	0.0031201248049922	160	8506	0.018810251587114978	0.1658736349453978	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C09	purkinje_candidate	39	641	0.0608424336973478	1570	8506	0.18457559369856572	0.32963422995518493	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C09	vascular_candidate	1	641	0.0015600624024961	28	8506	0.003291794027745121	0.4739246712725652	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C10	ambiguous_neuronal	790	849	0.9305064782096584	6466	8506	0.760169292264284	1.2240779622102311	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C10	ambiguous_non_neuronal_or_niche	4	849	0.0047114252061248	29	8506	0.0034093581001645896	1.3819097518378467	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C10	cerebellar_granule_candidate	26	849	0.0306242638398115	160	8506	0.018810251587114978	1.628062426383979	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
GSM9558427	H628	H628_C10	low_information_or_low_qc	5	849	0.005889281507656	13	8506	0.001528332941453092	3.853402192624764	not_supported	n>=20; cluster_fraction>=0.02; fold_enrichment>=2.0; ambiguous/low-info calls excluded
