dataset	sample	group	panel	gene	source_gene_symbol	format	observations	nonzero_observations	detection_fraction	total_expression	mean_all_observations	mean_nonzero_observations	source_path
GSE104323	10X_all_cells	CA3-Pyr	morphogenesis_cytoskeleton	Cdk5r1	Cdk5r1	wide_gene_by_observation_table	532	428	0.804511	1671	3.14098	3.90421	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-juv	morphogenesis_cytoskeleton	Cdk5r1	Cdk5r1	wide_gene_by_observation_table	3420	2116	0.618713	3778	1.10468	1.78544	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-adult	morphogenesis_cytoskeleton	Cdk5r1	Cdk5r1	wide_gene_by_observation_table	2613	1348	0.515882	1962	0.750861	1.45549	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	all	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	24185	22495	0.930122	155879	6.44528	6.9295	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	199	173	0.869347	426	2.1407	2.46243	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	1232	925	0.750812	1857	1.50731	2.00757	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	821	652	0.794153	1490	1.81486	2.28528	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Astro	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	651	628	0.96467	3092	4.74962	4.92357	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL_young	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	686	666	0.970845	2971	4.3309	4.46096	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Ependymal	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	182	148	0.813187	526	2.89011	3.55405	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	PVM	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	79	74	0.936709	252	3.18987	3.40541	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MiCajal-Retziusoglia	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	428	383	0.89486	1846	4.31308	4.81984	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Endothelial	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	543	485	0.893186	2520	4.64088	5.19588	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	VLMC	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	160	145	0.90625	669	4.18125	4.61379	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	MOL	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	704	659	0.93608	3200	4.54545	4.85584	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	NFOL	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	232	222	0.956897	1177	5.07328	5.3018	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	OPC	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	794	698	0.879093	2564	3.22922	3.67335	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	nIPC-perin	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	468	463	0.989316	3481	7.43803	7.51836	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	nIPC	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	353	340	0.963173	2036	5.76771	5.98824	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Neuroblast	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	1381	1330	0.96307	5918	4.2853	4.44962	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GC	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	2419	2355	0.973543	14396	5.95122	6.11295	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-Pyr	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	4520	4510	0.997788	68613	15.1799	15.2135	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Cajal-Retzius	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	535	493	0.921495	2982	5.57383	6.04868	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Immature-GABA	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	1024	1018	0.994141	11812	11.5352	11.6031	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GABA	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	209	188	0.899522	1064	5.09091	5.65957	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	CA3-Pyr	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	532	496	0.932331	5435	10.2162	10.9577	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-juv	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	3420	3096	0.905263	10883	3.18216	3.51518	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	GC-adult	morphogenesis_cytoskeleton	Cfl1	Cfl1	wide_gene_by_observation_table	2613	2348	0.898584	6669	2.55224	2.84029	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	all	morphogenesis_cytoskeleton	Cntn2	Cntn2	wide_gene_by_observation_table	24185	4646	0.192103	9447	0.390614	2.03336	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	RGL	morphogenesis_cytoskeleton	Cntn2	Cntn2	wide_gene_by_observation_table	199	3	0.0150754	3	0.0150754	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-adult	morphogenesis_cytoskeleton	Cntn2	Cntn2	wide_gene_by_observation_table	1232	10	0.00811688	10	0.00811688	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
GSE104323	10X_all_cells	Astro-juv	morphogenesis_cytoskeleton	Cntn2	Cntn2	wide_gene_by_observation_table	821	4	0.00487211	4	0.00487211	1	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz
