architecture	n_replicates	median_empirical_calibration_score	median_resource_constrained_calibration_score	median_useful_score	median_resource_adjusted_score	median_information_retention	median_observed_output_active_fraction	median_input_degree	median_expansion_ratio	median_loss_cerebellar_stem_input	median_loss_dandi_active_exact_match	rationale	empirical_calibration_rank	resource_constrained_calibration_rank
dense_expansion	36	0.7118928071076666	0.24852404801103087	0.2650049225013764	0.01035107864114115	0.41797207732645536	0.150390625	24.0	8.0	2.4999999997069526	1.9482188923285182		1	3
granule_like_sparse_expansion	81	0.5840620393074668	0.45618104330052706	0.1920080802966962	0.0915036967462774	0.1653605853329445	0.05078125	4.0	8.0	0.9999999996393262	3.4342116865571057		2	2
intermediate	219	0.5379136697127888	0.5682956270296231	0.1099874484323796	0.1092265634333654	0.1122701863706398	0.05078125	8.0	2.0	0.9999999998196631	3.4342116865571057		3	1
integrator_like_low_expansion	24	0.11547578303742287	-0.03956467184667947	0.12090201662981939	0.0533275329887023	0.19728878267214583	0.140625	24.0	0.75	2.4999999997069526	2.049688920845476		4	4
excessively_sparse	90	-0.70288097993947	-0.5790382612557393	0.0120554303209909	0.03934113577376725	0.0201249392142897	0.0107421875	8.0	3.0	0.9999999998196631	5.681205999882965		5	5
