gene	canonical_gene	panel	candidate_role	support_tier	dentate_rank_delta_vs_background	cerebellar_rank_delta_vs_background	dentate_candidate_median_detection	cerebellar_candidate_median_detection	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_structural_support	strict_shared_support
Syn1	SYN1	shared_granule_neuronal	shared_granule_neuronal_state	broad_shared_neuronal_state_high_detection	0.5	0.16666666666666663	0.37511693171188026	0.28345436075354097	4.1701570824966075e-09	0.19051331883490163	False	False
Calb1	CALB1	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	0.5	0.0	0.3954802259887006	0.04658233772395201	5.2287156706217686e-30	0.6597166294043042	False	False
Calb2	CALB2	dentate_identity	regional_dentate_identity	dentate_identity_panel_gene_needs_context	0.5	0.0	0.03424657534246575	0.029856110729414055	4.317670784449455e-26	0.6597166294043042	False	False
Mex3a	MEX3A	dentate_identity	regional_dentate_identity	dentate_identity_panel_gene_needs_context	0.5	0.0	0.0070921985815602835	0.5967322541945567	5.94122182571328e-17	0.6597166294043042	False	False
Plxna2	PLXNA2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.0	0.5770925110132159	0.0880321976125365	5.745750141948339e-18	0.4110198818557619	False	False
Prox1	PROX1	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	0.5	0.0	0.7104984093319194	0.10119946259643485	5.2287156706217686e-30	0.6597166294043042	False	False
Robo1	ROBO1	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.0	0.7317430424775058	0.1665619012446293	4.040932551057152e-06	0.6597166294043042	False	False
Sema3a	SEMA3A	axon_guidance_synapse	shared_structural_executor	moderate_priority_shared_structural_executor	0.5	0.0	0.0605386706202125	0.08193006485920315	5.028408109434305e-16	0.8885318092434533	False	False
Slit2	SLIT2	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	0.0	0.5315712187958884	0.06911878406812541	2.538297342135065e-07	0.8885318092434533	False	False
C1ql3	C1QL3	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	0.5	-0.16666666666666663	0.4112415071031501	0.021525945681988422	1.912116436340504e-27	0.8885318092434533	False	False
Cntn5	CNTN5	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	-0.16666666666666663	0.8036437246963563	0.04637777774334597	1.3979073947703112e-20	0.9998528734296044	False	False
Egr3	EGR3	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	0.5	-0.16666666666666663	0.13725490196078433	0.0005467468562055768	3.666396144250639e-29	0.9777409437992716	False	False
Itpka	ITPKA	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	0.5	-0.16666666666666663	0.11485642946317104	0.004674102373182168	8.601021817088284e-26	0.9998528734296044	False	False
Cntn4	CNTN4	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	-0.3333333333333333	0.2922102124487514	0.05100128137986173	1.4766181096016476e-05	0.9998528734296044	False	False
Nrp1	NRP1	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	-0.3333333333333333	0.7802498048399688	0.039029549486727516	7.64827688201586e-16	0.9998528734296044	False	False
Epha4	EPHA4	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	-0.49999999999999994	0.7639038392536778	0.010810768237346974	3.43299961412621e-12	0.9998528734296044	False	False
Ephb1	EPHB1	axon_guidance_synapse	shared_structural_executor	high_priority_shared_structural_executor	0.5	-0.49999999999999994	0.4245640636846095	0.12538498126478317	1.182949890069619e-24	0.9998528734296044	False	False
Glis3	GLIS3	dentate_identity	regional_dentate_identity	dentate_identity_supported_in_human_bridge	0.5	-0.49999999999999994	0.4485683987274655	0.00386875375826908	5.2287156706217686e-30	0.9998528734296044	False	False
