gene	canonical_gene	panel	candidate_role	support_tier	selected_gene_reason	is_original_candidate_gene	is_marker_panel_gene	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	shared_strict_bh_0_20	combined_rank_delta	minimum_branch_detection	branch_specificity
MLLT4	MLLT4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.019487430723391545	0.0	0.35972835908484047	4	2	1.0376091489284265e-07	0.06698804311165843	False	False	False	0.5	0.0	cerebellar_biased
MTSS1	MTSS1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.8476412409371678	6	12	1.0	0.5	0.5	0.00021486327043911477	0.3233458177278402	0.6515644984981712	6	3	0.8575251173473493	0.003140309337187062	False	False	False	0.5	0.3233458177278402	cerebellar_biased
MYO16	MYO16	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.004643285906708884	6	12	1.0	0.5	0.5	0.0017167440604175456	0.2700892857142857	0.1911385787267295	4	3	0.004823413377227763	0.013191158405414228	False	False	False	0.5	0.1911385787267295	cerebellar_biased
NGFRAP1	NGFRAP1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538533	0.0	0.9817698446784702	4	2	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0	cerebellar_biased
PAK7	PAK7	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	6	12	1.0	0.5	0.5	0.00021486327043911477	0.0	0.3239576540337571	4	3	1.0376091489284265e-07	0.003140309337187062	False	False	False	0.5	0.0	cerebellar_biased
PAPD4	PAPD4	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.019487430723391545	0.0	0.13355938872694273	3	2	1.0376091489284265e-07	0.06698804311165843	False	False	False	0.5	0.0	cerebellar_biased
PARK2	PARK2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538533	0.0	0.06122843190216795	3	1	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0	cerebellar_biased
PIP4K2A	PIP4K2A	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.6629750413993067	6	12	1.0	0.5	0.5	0.009879767867540601	0.43456162642947904	0.08198697667063093	5	3	0.6732176333310376	0.03418661397874148	False	False	False	0.5	0.08198697667063093	cerebellar_biased
RNF220	RNF220	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.4061376167241587	6	12	1.0	0.5	0.5	0.0017167440604175456	0.36918429003021147	0.29869803608039264	7	3	0.41435206522798695	0.013191158405414228	False	False	False	0.5	0.29869803608039264	cerebellar_biased
SEPT11	SEPT11	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	1.6711874299226952e-07	6	12	1.0	0.5	0.5	0.00021486327043911477	0.0	0.4543509190500994	4	3	1.8493905793379213e-07	0.003140309337187062	False	False	False	0.5	0.0	cerebellar_biased
SEPT7	SEPT7	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	72	88	0.6666666666666666	0.6666666666666666	0.0	2.1511987104409237e-07	6	12	1.0	0.5	0.5	0.009879767867540601	0.0	0.7659378399065383	4	3	2.3697054357269496e-07	0.03418661397874148	False	False	False	0.5	0.0	cerebellar_biased
UNC5C	UNC5C	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	0.9910496788547596	6	12	1.0	0.5	0.5	0.009879767867540601	0.7218390804597701	0.6052063313052094	6	3	0.9942584428473513	0.03418661397874148	False	False	False	0.5	0.6052063313052094	cerebellar_biased
ZCCHC11	ZCCHC11	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	73	88	0.6666666666666666	0.6666666666666666	0.0	9.299733450976768e-08	4	8	1.0	0.5	0.5	0.0026969059924538533	0.0	0.32174302676508904	4	2	1.0376091489284265e-07	0.0203484964773594	False	False	False	0.5	0.0	cerebellar_biased
Atoh1	ATOH1	cerebellar_identity	regional_cerebellar_identity	clean_low_human_dentate_detection_cerebellar_identity	marker_panel	True	True	71	87	0.6666666666666666	0.6666666666666666	0.0	8.737132656085978e-07	6	12	1.0	0.6666666666666666	0.33333333333333337	0.009879767867540601	0.0	0.178290821961829	0	1	9.499168286240844e-07	0.03418661397874148	False	False	False	0.33333333333333337	0.0	cerebellar_biased
SUPT3H	SUPT3H	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	70	86	1.0	0.5	0.5	7.029585646984694e-10	1	2	1.0	0.5	0.5	0.3333333333333333	0.7614900689959454	0.06279923396105969	4	1	8.968924275476355e-10	0.4804597701149425	False	False	False	1.0	0.06279923396105969	dentate_biased
AC019118.2	AC019118.2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	3.813005459902818e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.054613935969868174	0.005346313437599745	3	0	4.439296211770914e-08	0.4804597701149425	False	False	False	1.0	0.005346313437599745	dentate_biased
AL117190.2	AL117190.2	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	2.5823047711886585e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.050505050505050504	0.0001994893073731248	3	0	3.029215277830287e-08	0.4804597701149425	False	False	False	1.0	0.0001994893073731248	dentate_biased
ANKRD36C	ANKRD36C	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	4.719375851144267e-14	1	2	1.0	0.5	0.5	0.3333333333333333	0.770012091898428	0.28447175231407595	3	1	8.221948771993506e-14	0.4804597701149425	False	False	False	1.0	0.28447175231407595	dentate_biased
ANKS1A	ANKS1A	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	2.2228221507617655e-13	1	2	1.0	0.5	0.5	0.3333333333333333	0.4153645833333333	0.08817427385892117	3	1	3.6033641591945207e-13	0.4804597701149425	False	False	False	1.0	0.08817427385892117	dentate_biased
BOD1L1	BOD1L1	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	4.344578216369905e-12	1	2	1.0	0.5	0.5	0.3333333333333333	0.4908984145625367	0.16485796361315033	3	1	6.38008811869081e-12	0.4804597701149425	False	False	False	1.0	0.16485796361315033	dentate_biased
C11ORF49	C11ORF49	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	4.244659559419038e-20	1	2	1.0	0.5	0.5	0.3333333333333333	0.6943765281173594	0.19174912224704757	3	1	1.826719560392836e-19	0.4804597701149425	False	False	False	1.0	0.19174912224704757	dentate_biased
C11ORF80	C11ORF80	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	2.7371514885327793e-10	1	2	1.0	0.5	0.5	0.3333333333333333	0.5524397776405189	0.07349186083625918	3	1	3.582909824156668e-10	0.4804597701149425	False	False	False	1.0	0.07349186083625918	dentate_biased
C1ORF21	C1ORF21	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.1388402310203311e-22	1	2	1.0	0.5	0.5	0.3333333333333333	0.7202132107023411	0.23380146824130227	3	1	9.048148209095598e-22	0.4804597701149425	False	False	False	1.0	0.23380146824130227	dentate_biased
C20ORF194	C20ORF194	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.873987827642204e-15	1	2	1.0	0.5	0.5	0.3333333333333333	0.7757107023411371	0.09555537823172677	3	1	3.788145012260895e-15	0.4804597701149425	False	False	False	1.0	0.09555537823172677	dentate_biased
CENPC	CENPC	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.873987827642204e-15	1	2	1.0	0.5	0.5	0.3333333333333333	0.5266792215944758	0.13852537503989787	3	1	3.788145012260895e-15	0.4804597701149425	False	False	False	1.0	0.13852537503989787	dentate_biased
CNTNAP5	CNTNAP5	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.1817706430288614e-08	1	2	1.0	0.5	0.5	0.3333333333333333	0.7998129092609916	0.012767315671879987	3	0	1.4130432881640575e-08	0.4804597701149425	False	False	False	1.0	0.012767315671879987	dentate_biased
FAM66D	FAM66D	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	1.873987827642204e-15	1	2	1.0	0.5	0.5	0.3333333333333333	0.5182901337792643	0.0018751994893073732	3	0	3.788145012260895e-15	0.4804597701149425	False	False	False	1.0	0.0018751994893073732	dentate_biased
KIAA0232	KIAA0232	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	4.719375851144267e-14	1	2	1.0	0.5	0.5	0.3333333333333333	0.6614349775784754	0.11725981487392276	3	1	8.221948771993506e-14	0.4804597701149425	False	False	False	1.0	0.11725981487392276	dentate_biased
KIAA0319L	KIAA0319L	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	6.28229462358936e-17	1	2	1.0	0.5	0.5	0.3333333333333333	0.5329795299469295	0.08929141398021066	3	1	1.534492909748347e-16	0.4804597701149425	False	False	False	1.0	0.08929141398021066	dentate_biased
KIAA0825	KIAA0825	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	6.28229462358936e-17	1	2	1.0	0.5	0.5	0.3333333333333333	0.6056644880174292	0.01711618257261411	3	0	1.534492909748347e-16	0.4804597701149425	False	False	False	1.0	0.01711618257261411	dentate_biased
KIAA1109	KIAA1109	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	8.564113717956291e-18	1	2	1.0	0.5	0.5	0.3333333333333333	0.790855033832274	0.1409990424513246	3	1	2.3936688498484222e-17	0.4804597701149425	False	False	False	1.0	0.1409990424513246	dentate_biased
KIAA1211	KIAA1211	expanded_high_information_gene	expanded_selected_gene	high_information_gene	high_information_gene	False	False	69	86	1.0	0.5	0.5	2.108483404376786e-06	1	2	1.0	0.5	0.5	0.3333333333333333	0.31528662420382164	0.023021066070858603	3	0	2.274142468470039e-06	0.4804597701149425	False	False	False	1.0	0.023021066070858603	dentate_biased
