selected_feature_index	feature_index	gene	selection_reason	max_feature_score	GSE185277	GSE185553	GSE186538	is_marker_panel_gene	present_in_gse268609	gse268609_feature_id	gse268609_feature_name	source_matrix_row_1based	n_matching_gene_rows
1676	1676	KLHL24	high_information_gene	7.929054910961226	0.0868574492326251	0.1843465092244881	0.577946175195684	False	True	ENSG00000114796	KLHL24	7616.0	1
1677	1677	YEATS2	high_information_gene	7.929015275620563	0.090442999798941	0.1967276857432287	0.5777278822465463	False	True	ENSG00000163872	YEATS2	7617.0	1
1678	1678	UBXN4	high_information_gene	7.919439124413486	0.1428746956191497	0.1935454164065937	0.5790064552343531	False	True	ENSG00000144224	UBXN4	4923.0	1
1679	1679	TFCP2	high_information_gene	7.918754070769173	0.0947769363090052	0.198927646860195	0.5701499984407646	False	True	ENSG00000135457	TFCP2	21711.0	1
1680	1680	KIAA0319L	high_information_gene	7.907753011492631	0.100395415856846	0.1888487552313029	0.5720834502759846	False	True	ENSG00000142687	KIAA0319L	778.0	1
1681	1681	SYT17	high_information_gene	7.905546003282782	0.1081250139624243	0.1697346744569165	0.5679358842423675	False	True	ENSG00000103528	SYT17	26915.0	1
1682	1682	TASP1	high_information_gene	7.904865865047082	0.0853718472845877	0.1898924577147008	0.5694951195933514	False	True	ENSG00000089123	TASP1	33069.0	1
1683	1683	KMT2A	high_information_gene	7.898501323532781	0.188057100730514	0.2999109783175925	0.5764181245517198	False	True	ENSG00000118058	KMT2A	20714.0	1
1684	1684	TRAF3	high_information_gene	7.897369329948015	0.1148716573956169	0.1962876935198354	0.5664078335984033	False	True	ENSG00000131323	TRAF3	24905.0	1
1685	1685	ZSWIM5	high_information_gene	7.89513111651165	0.0897057837946518	0.1944970274943977	0.5611064334050582	False	True	ENSG00000162415	ZSWIM5	985.0	1
1686	1686	MAP1A	high_information_gene	7.89158717083065	0.2101177311618971	0.1683533035230075	0.5607634016278417	False	True	ENSG00000166963	MAP1A	25514.0	1
1687	1687	CEP350	high_information_gene	7.885386834362792	0.1332238679266358	0.2371865055408323	0.5732684691427324	False	True	ENSG00000135837	CEP350	2560.0	1
1688	1688	SNRNP70	high_information_gene	7.88510843196482	0.1052543395214797	0.1912942934031863	0.5765740480868182	False	True	ENSG00000104852	SNRNP70	32426.0	1
1689	1689	SLAIN1	high_information_gene	7.875177370229208	0.121685320465563	0.2965342938124815	0.5698381513705679	False	True	ENSG00000139737	SLAIN1	23385.0	1
1690	1690	RAB11FIP4	high_information_gene	7.873983672528409	0.1083037329937671	0.1677700580175792	0.5739545326971653	False	True	ENSG00000131242	RAB11FIP4	28796.0	1
1691	1691	GRIP1	high_information_gene	7.873937352864407	0.2004110537720885	0.3657665585445466	0.5336015218137026	False	True	ENSG00000155974	GRIP1	22067.0	1
1692	1692	CSDE1	high_information_gene	7.865930310034909	0.12588521770212	0.1520428941255922	0.5710231702373156	False	True	ENSG00000009307	CSDE1	1734.0	1
1693	1693	ATR	high_information_gene	7.864129855525691	0.0986640752407121	0.2030205977754811	0.5636012099666323	False	True	ENSG00000175054	ATR	7263.0	1
1694	1694	JARID2	high_information_gene	7.86304249510733	0.1077564059602796	0.2541006251982523	0.5528424860448437	False	True	ENSG00000008083	JARID2	11376.0	1
1695	1695	SREBF2	high_information_gene	7.862519756306843	0.1209704443401916	0.2311187058089205	0.5650045217825178	False	True	ENSG00000198911	SREBF2	35109.0	1
1696	1696	C11ORF80	high_information_gene	7.860113773488608	0.0890690972454929	0.1819112034298928	0.5674681136370724	False	True	ENSG00000173715	C11orf80	20083.0	1
1697	1697	SIK2	high_information_gene	7.857717095015237	0.087806894086634	0.2132018131772554	0.5580815168241494	False	True	ENSG00000170145	SIK2	20595.0	1
1698	1698	CEP85L	high_information_gene	7.857006797231459	0.1185018877197685	0.2359790850208228	0.5649733370754981	False	True	ENSG00000111860	CEP85L	12508.0	1
1699	1699	SGK1	high_information_gene	7.855580214496508	0.1402944396041373	0.3067359739688322	0.5609193251629401	False	True	ENSG00000118515	SGK1	12614.0	1
1700	1700	MORF4L2	high_information_gene	7.855487963332671	0.1190157049348792	0.1203122921548363	0.5679358842423675	False	True	ENSG00000123562	MORF4L2	35995.0	1
1701	1701	BTAF1	high_information_gene	7.855446785328562	0.0839644349127627	0.1939035496116812	0.5671562665668756	False	True	ENSG00000095564	BTAF1	18409.0	1
1702	1702	SH3PXD2A	high_information_gene	7.854777740039233	0.1147376181221097	0.2044019687093902	0.5711479090653944	False	True	ENSG00000107957	SH3PXD2A	18608.0	1
