dataset	module_id	n_module_genes_detected	spearman_rho_vs_full_transcriptome_pseudotime	spearman_p	n_cells
GSE122357	cerebellar_fate_rhombic_lip_shh	13	-0.07903122910805219	1.4547405878399236e-12	8000
GSE122357	dentate_fate_wnt_prox1	15	0.02121217514024233	0.05780265565902984	8000
GSE122357	shared_neurogenic_niche_state	21	-0.00774437721587184	0.48857297557390256	8000
GSE122357	downstream_neurite_morphology	21	-0.05788654537479122	2.2062198359033955e-07	8000
GSE122357	downstream_synaptic_excitability	20	0.08017933832949	6.874825957384837e-13	8000
GSE122357	root_progenitor_immature	12	0.07597921932489157	1.0135631533875738e-11	8000
GSE122357	root_mature_granule	10	0.058740129557714425	1.459509031258006e-07	8000
GSE165657	proliferation_brdU_proxy	15	-0.37342423963678056	3.600077725159799e-263	8000
GSE165657	cell_cycle_exit_p21_p27	9	-0.012643275873246951	0.25817403257663063	8000
GSE165657	immature_progenitor_state	11	-0.1462324996575421	1.744525533601688e-39	8000
GSE165657	neuronal_differentiation_maturation	9	0.36769810091352334	1.2782137299293203e-254	8000
GSE165657	tgf_smad_pai1_response	14	-0.12100888259320572	1.756331874435633e-27	8000
GSE165657	bdnf_erk_response	16	-0.026413311359421578	0.018151094738123725	8000
GSE165657	apoptosis_execution	11	-0.040579471817182695	0.00028290948632313034	8000
GSE165657	survival_neuroprotection	9	-0.07291143365636678	6.617990164331638e-11	8000
GSE165657	secreted_stop_candidate_axis	13	-0.05684229074141164	3.629139270356627e-07	8000
GSE165657	cerebellar_fate_rhombic_lip_shh	13	-0.011682994904624966	0.2961009923342091	8000
GSE165657	dentate_fate_wnt_prox1	16	-0.0636995623911275	1.18157715482968e-08	8000
GSE165657	shared_neurogenic_niche_state	21	-0.25962854197840757	2.1591672920242525e-123	8000
GSE165657	downstream_neurite_morphology	21	0.3552160347667356	1.4098935414831044e-236	8000
GSE165657	downstream_synaptic_excitability	20	0.31303865752450527	2.1795857787154728e-181	8000
GSE165657	root_progenitor_immature	12	-0.46208834536231136	0.0	8000
GSE165657	root_mature_granule	10	0.28696096480432093	1.7540924458477545e-151	8000
GSE312658	proliferation_brdU_proxy	15	-0.24266456598629862	2.0071337423692835e-84	6248
GSE312658	cell_cycle_exit_p21_p27	9	-0.06800649449365855	7.420525980553329e-08	6248
GSE312658	immature_progenitor_state	11	-0.11126594179922543	1.1387106369385416e-18	6248
GSE312658	neuronal_differentiation_maturation	11	0.3076696541995584	4.339290345588911e-137	6248
GSE312658	tgf_smad_pai1_response	14	-0.2709757943367414	1.3619059500717636e-105	6248
GSE312658	bdnf_erk_response	16	-0.008156192071398227	0.5191980056103995	6248
GSE312658	apoptosis_execution	11	-0.0261906560266477	0.03843710958022871	6248
GSE312658	survival_neuroprotection	9	-0.051659091239550196	4.402616786975335e-05	6248
GSE312658	secreted_stop_candidate_axis	13	0.07610909207273676	1.7066040906412911e-09	6248
GSE312658	cerebellar_fate_rhombic_lip_shh	13	-0.26334660888465894	1.2602095105180166e-99	6248
GSE312658	dentate_fate_wnt_prox1	17	-0.3277190733688901	2.453611204211059e-156	6248
GSE312658	shared_neurogenic_niche_state	21	-0.3254014297127049	4.9089818881972574e-154	6248
GSE312658	downstream_neurite_morphology	21	0.3455344486133589	1.0425490766210225e-174	6248
GSE312658	downstream_synaptic_excitability	20	0.47615071036698087	0.0	6248
GSE312658	root_progenitor_immature	12	-0.24282558025262213	1.5474902692504486e-84	6248
GSE312658	root_mature_granule	11	0.4020913193391996	1.631126160133557e-241	6248
GSE186538	proliferation_brdU_proxy	14	-0.11054918141058631	3.5227377356931464e-23	8000
GSE186538	cell_cycle_exit_p21_p27	9	-0.043247743661908936	0.00010910278213719443	8000
GSE186538	immature_progenitor_state	9	-0.13557097547912977	3.962505558700585e-34	8000
GSE186538	neuronal_differentiation_maturation	11	0.11126176872795998	1.845934423910141e-23	8000
GSE186538	tgf_smad_pai1_response	14	-0.03560455917727711	0.001447136147103783	8000
GSE186538	bdnf_erk_response	16	0.016587607481311318	0.13793871287179466	8000
GSE186538	apoptosis_execution	11	-0.02697576655428327	0.015828421819064315	8000
GSE186538	survival_neuroprotection	9	-0.047032734807185506	2.5717711113202206e-05	8000
GSE186538	secreted_stop_candidate_axis	13	-0.05401096285172646	1.3404497121076389e-06	8000
GSE186538	cerebellar_fate_rhombic_lip_shh	10	-0.07374855426033285	3.9957601539499605e-11	8000
GSE186538	dentate_fate_wnt_prox1	16	-0.12605554323189355	1.0668672663675191e-29	8000
GSE186538	shared_neurogenic_niche_state	21	-0.12829577328053104	1.0344226392516486e-30	8000
GSE186538	downstream_neurite_morphology	21	-0.028744871769985896	0.010136170978241875	8000
GSE186538	downstream_synaptic_excitability	20	-0.10685799502602733	9.369634396344177e-22	8000
GSE186538	root_progenitor_immature	10	-0.24848076860823765	7.410071599607637e-113	8000
GSE186538	root_mature_granule	11	0.08405035758373541	5.080097159303057e-14	8000
