dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE214309	snRNA_counts	matureactive_4hr	mouse	dentate_gyrus	snRNA_seq	cerebellar_identity	54	11	11	0.925926	0.0841751	70.1004	6.37276	0.134518	0.134518	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_4hr	mouse	dentate_gyrus	snRNA_seq	dentate_identity	54	8	8	2.7037	0.337963	460.06	57.5075	1.03933	1.03933	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_4hr	mouse	dentate_gyrus	snRNA_seq	metabolic_proteomic_validation	54	8	6	3.44444	0.430556	574.347	71.7934	1.59005	2.12006	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_4hr	mouse	dentate_gyrus	snRNA_seq	morphogenesis_cytoskeleton	54	12	12	4.66667	0.388889	1164.42	97.035	1.42485	1.42485	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	matureactive_4hr	mouse	dentate_gyrus	snRNA_seq	shared_granule_neuronal	54	13	12	5.57407	0.428775	1206.17	92.7825	1.51673	1.64313	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214905	patch_RNA_QC_counts	all	mouse	dentate_gyrus	patch_seq	axon_guidance_synapse	95	15	15	5.8	0.386667	6176.34	411.756	2.13684	2.13684	External_Data/GEO/GSE214905/GSE214905_Data-counts.tsv.gz
GSE214905	patch_RNA_QC_counts	all	mouse	dentate_gyrus	patch_seq	cerebellar_identity	95	11	11	0.6	0.0545455	166.611	15.1464	0.201096	0.201096	External_Data/GEO/GSE214905/GSE214905_Data-counts.tsv.gz
GSE214905	patch_RNA_QC_counts	all	mouse	dentate_gyrus	patch_seq	dentate_identity	95	8	8	4.25263	0.531579	7471.61	933.951	3.07466	3.07466	External_Data/GEO/GSE214905/GSE214905_Data-counts.tsv.gz
GSE214905	patch_RNA_QC_counts	all	mouse	dentate_gyrus	patch_seq	metabolic_proteomic_validation	95	8	7	5.95789	0.744737	13319.8	1664.97	5.0926	5.82011	External_Data/GEO/GSE214905/GSE214905_Data-counts.tsv.gz
GSE214905	patch_RNA_QC_counts	all	mouse	dentate_gyrus	patch_seq	morphogenesis_cytoskeleton	95	12	12	7.44211	0.620175	15135.5	1261.29	3.78949	3.78949	External_Data/GEO/GSE214905/GSE214905_Data-counts.tsv.gz
GSE214905	patch_RNA_QC_counts	all	mouse	dentate_gyrus	patch_seq	shared_granule_neuronal	95	13	13	7.67368	0.590283	27942.3	2149.41	3.91603	3.91603	External_Data/GEO/GSE214905/GSE214905_Data-counts.tsv.gz
GSE242688	WT_ZT12_rep1	all	mouse	cerebellum_spatial	visium_spatial	axon_guidance_synapse	3167	15	15	4.1784	0.27856	6.74392	0.449595	0.248889	0.248889	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767079_WT_ZT12_rep1_matrix.mtx.gz
GSE242688	WT_ZT12_rep1	all	mouse	cerebellum_spatial	visium_spatial	cerebellar_identity	3167	11	11	2.70635	0.246032	5.68488	0.516807	0.249366	0.249366	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767079_WT_ZT12_rep1_matrix.mtx.gz
GSE242688	WT_ZT12_rep1	all	mouse	cerebellum_spatial	visium_spatial	dentate_identity	3167	8	8	3.16167	0.395208	9.88254	1.23532	0.472435	0.472435	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767079_WT_ZT12_rep1_matrix.mtx.gz
GSE242688	WT_ZT12_rep1	all	mouse	cerebellum_spatial	visium_spatial	metabolic_proteomic_validation	3167	8	7	6.56773	0.820966	92.3893	11.5487	1.98781	2.27178	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767079_WT_ZT12_rep1_matrix.mtx.gz
GSE242688	WT_ZT12_rep1	all	mouse	cerebellum_spatial	visium_spatial	morphogenesis_cytoskeleton	3167	12	12	9.58446	0.798705	79.4878	6.62399	1.47696	1.47696	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767079_WT_ZT12_rep1_matrix.mtx.gz
GSE242688	WT_ZT12_rep1	all	mouse	cerebellum_spatial	visium_spatial	shared_granule_neuronal	3167	13	13	7.20556	0.554274	90.1964	6.93818	1.12871	1.12871	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767079_WT_ZT12_rep1_matrix.mtx.gz
GSE242688	WT_ZT12_rep2	all	mouse	cerebellum_spatial	visium_spatial	axon_guidance_synapse	2533	15	15	5.02566	0.335044	7.82235	0.52149	0.296273	0.296273	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767080_WT_ZT12_rep2_matrix.mtx.gz
GSE242688	WT_ZT12_rep2	all	mouse	cerebellum_spatial	visium_spatial	cerebellar_identity	2533	11	11	2.10699	0.191544	4.1966	0.38151	0.193748	0.193748	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767080_WT_ZT12_rep2_matrix.mtx.gz
GSE242688	WT_ZT12_rep2	all	mouse	cerebellum_spatial	visium_spatial	dentate_identity	2533	8	8	3.70667	0.463334	11.2081	1.40101	0.557576	0.557576	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767080_WT_ZT12_rep2_matrix.mtx.gz
GSE242688	WT_ZT12_rep2	all	mouse	cerebellum_spatial	visium_spatial	metabolic_proteomic_validation	2533	8	7	6.94907	0.868634	110.624	13.828	2.23968	2.55964	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767080_WT_ZT12_rep2_matrix.mtx.gz
GSE242688	WT_ZT12_rep2	all	mouse	cerebellum_spatial	visium_spatial	morphogenesis_cytoskeleton	2533	12	12	10.4295	0.869128	105.061	8.75507	1.74581	1.74581	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767080_WT_ZT12_rep2_matrix.mtx.gz
GSE242688	WT_ZT12_rep2	all	mouse	cerebellum_spatial	visium_spatial	shared_granule_neuronal	2533	13	13	7.62574	0.586595	98.5468	7.58052	1.28724	1.28724	External_Data/Proteomics/GSE242688/GSE242688_RAW.tar:GSM7767080_WT_ZT12_rep2_matrix.mtx.gz
GSE292261	SS2_filtered_counts	DG_P10	mouse	dentate_gyrus	Smart_seq2	axon_guidance_synapse	91	15	15	7.08791	0.472527	1078.58	71.9055	1.97687	1.97687	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P10	mouse	dentate_gyrus	Smart_seq2	cerebellar_identity	91	11	3	0.395604	0.035964	7.43956	0.676324	0.0924769	0.339082	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P10	mouse	dentate_gyrus	Smart_seq2	dentate_identity	91	8	8	4.30769	0.538462	1130.29	141.286	2.44547	2.44547	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P10	mouse	dentate_gyrus	Smart_seq2	metabolic_proteomic_validation	91	8	7	6.74725	0.843407	1467.16	183.396	3.97993	4.5485	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P10	mouse	dentate_gyrus	Smart_seq2	morphogenesis_cytoskeleton	91	12	12	8.84615	0.737179	1996.57	166.381	3.56907	3.56907	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P10	mouse	dentate_gyrus	Smart_seq2	shared_granule_neuronal	91	13	11	9.35165	0.719358	2341.09	180.084	3.35347	3.96319	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P15	mouse	dentate_gyrus	Smart_seq2	axon_guidance_synapse	93	15	15	5.77419	0.384946	942.441	62.8294	1.64378	1.64378	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P15	mouse	dentate_gyrus	Smart_seq2	cerebellar_identity	93	11	3	0.462366	0.0420332	13.2366	1.20332	0.116172	0.425965	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P15	mouse	dentate_gyrus	Smart_seq2	dentate_identity	93	8	8	4.19355	0.524194	1319.16	164.895	2.42232	2.42232	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P15	mouse	dentate_gyrus	Smart_seq2	metabolic_proteomic_validation	93	8	7	6.87097	0.858871	1714.18	214.273	4.45357	5.08979	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P15	mouse	dentate_gyrus	Smart_seq2	morphogenesis_cytoskeleton	93	12	12	7.12903	0.594086	1885.97	157.164	2.88791	2.88791	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P15	mouse	dentate_gyrus	Smart_seq2	shared_granule_neuronal	93	13	11	8.70968	0.669975	3151.45	242.419	3.23305	3.82088	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P28	mouse	dentate_gyrus	Smart_seq2	axon_guidance_synapse	155	15	15	2.15484	0.143656	776.987	51.7991	0.665495	0.665495	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P28	mouse	dentate_gyrus	Smart_seq2	cerebellar_identity	155	11	3	0.206452	0.0187683	22.329	2.02991	0.0711735	0.26097	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P28	mouse	dentate_gyrus	Smart_seq2	dentate_identity	155	8	8	2.25161	0.281452	758.806	94.8508	1.27874	1.27874	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P28	mouse	dentate_gyrus	Smart_seq2	metabolic_proteomic_validation	155	8	7	4.88387	0.610484	2158.44	269.805	3.25145	3.71594	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P28	mouse	dentate_gyrus	Smart_seq2	morphogenesis_cytoskeleton	155	12	12	4.00645	0.333871	1668.03	139.002	1.71169	1.71169	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P28	mouse	dentate_gyrus	Smart_seq2	shared_granule_neuronal	155	13	11	5.68387	0.437221	4121.26	317.02	2.40063	2.8371	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P5	mouse	dentate_gyrus	Smart_seq2	axon_guidance_synapse	94	15	15	6.21277	0.414184	1912.1	127.473	1.95377	1.95377	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P5	mouse	dentate_gyrus	Smart_seq2	cerebellar_identity	94	11	3	0.106383	0.00967118	2.5	0.227273	0.0227065	0.0832571	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P5	mouse	dentate_gyrus	Smart_seq2	dentate_identity	94	8	8	3.48936	0.43617	3106.84	388.355	2.34156	2.34156	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P5	mouse	dentate_gyrus	Smart_seq2	metabolic_proteomic_validation	94	8	7	6.87234	0.859043	3454.98	431.872	5.06029	5.78319	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P5	mouse	dentate_gyrus	Smart_seq2	morphogenesis_cytoskeleton	94	12	12	9.81915	0.818262	9115.1	759.591	5.09928	5.09928	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P5	mouse	dentate_gyrus	Smart_seq2	shared_granule_neuronal	94	13	11	8.96809	0.689853	4554.3	350.331	3.63386	4.29456	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P7	mouse	dentate_gyrus	Smart_seq2	axon_guidance_synapse	76	15	15	4.68421	0.312281	1210.51	80.7009	1.49358	1.49358	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P7	mouse	dentate_gyrus	Smart_seq2	cerebellar_identity	76	11	3	0.197368	0.0179426	11.3421	1.0311	0.0560657	0.205574	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P7	mouse	dentate_gyrus	Smart_seq2	dentate_identity	76	8	8	3.42105	0.427632	2239.54	279.942	2.25893	2.25893	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P7	mouse	dentate_gyrus	Smart_seq2	metabolic_proteomic_validation	76	8	7	6.88158	0.860197	2711.29	338.911	4.78556	5.46921	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P7	mouse	dentate_gyrus	Smart_seq2	morphogenesis_cytoskeleton	76	12	12	8.75	0.729167	4117.57	343.13	4.01075	4.01075	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE292261	SS2_filtered_counts	DG_P7	mouse	dentate_gyrus	Smart_seq2	shared_granule_neuronal	76	13	11	8.51316	0.654858	4292.49	330.191	3.43993	4.06537	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz
GSE312658	Ctrl	all	mouse	cerebellum	10x	axon_guidance_synapse	4857	15	15	4.43998	0.295999	23.839	1.58927	0.413831	0.413831	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz
GSE312658	Ctrl	all	mouse	cerebellum	10x	cerebellar_identity	4857	11	11	1.74985	0.159077	4.32119	0.392835	0.174103	0.174103	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz
GSE312658	Ctrl	all	mouse	cerebellum	10x	dentate_identity	4857	8	8	0.554869	0.0693587	1.07165	0.133956	0.0637805	0.0637805	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz
GSE312658	Ctrl	all	mouse	cerebellum	10x	metabolic_proteomic_validation	4857	8	7	1.54663	0.193329	2.0245	0.253063	0.155953	0.178232	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz
GSE312658	Ctrl	all	mouse	cerebellum	10x	morphogenesis_cytoskeleton	4857	12	12	5.28639	0.440533	13.8054	1.15045	0.492502	0.492502	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz
GSE312658	Ctrl	all	mouse	cerebellum	10x	shared_granule_neuronal	4857	13	13	4.72782	0.363678	18.8719	1.45169	0.466632	0.466632	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz
GSE312658	cKO	all	mouse	cerebellum	10x	axon_guidance_synapse	6946	15	15	5.21768	0.347845	27.3372	1.82248	0.483538	0.483538	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz
GSE312658	cKO	all	mouse	cerebellum	10x	cerebellar_identity	6946	11	11	1.49914	0.136285	3.59761	0.327055	0.148062	0.148062	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz
GSE312658	cKO	all	mouse	cerebellum	10x	dentate_identity	6946	8	8	0.715232	0.089404	1.59919	0.199899	0.088025	0.088025	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz
GSE312658	cKO	all	mouse	cerebellum	10x	metabolic_proteomic_validation	6946	8	7	1.44356	0.180446	1.84739	0.230924	0.143752	0.164288	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz
GSE312658	cKO	all	mouse	cerebellum	10x	morphogenesis_cytoskeleton	6946	12	12	5.44227	0.453522	14.6684	1.22237	0.517219	0.517219	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz
GSE312658	cKO	all	mouse	cerebellum	10x	shared_granule_neuronal	6946	13	13	4.49669	0.345899	17.4682	1.34371	0.442981	0.442981	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz
GSE95752	C1_all_cells	DC12	mouse	dentate_gyrus	C1	axon_guidance_synapse	40	15	15	4.05	0.27	14.45	0.963333	0.341426	0.341426	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DC12	mouse	dentate_gyrus	C1	cerebellar_identity	40	11	6	0.175	0.0159091	0.325	0.0295455	0.0153672	0.0281732	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DC12	mouse	dentate_gyrus	C1	dentate_identity	40	8	8	2.125	0.265625	6.65	0.83125	0.330061	0.330061	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DC12	mouse	dentate_gyrus	C1	metabolic_proteomic_validation	40	8	7	5.35	0.66875	30.7	3.8375	1.08842	1.24391	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DC12	mouse	dentate_gyrus	C1	morphogenesis_cytoskeleton	40	12	12	5.575	0.464583	30.95	2.57917	0.678482	0.678482	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DC12	mouse	dentate_gyrus	C1	shared_granule_neuronal	40	13	13	5.05	0.388462	41.05	3.15769	0.576336	0.576336	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG03	mouse	dentate_gyrus	C1	axon_guidance_synapse	39	15	15	4.07692	0.271795	16.6667	1.11111	0.370787	0.370787	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG03	mouse	dentate_gyrus	C1	cerebellar_identity	39	11	6	0.307692	0.027972	0.692308	0.0629371	0.0292362	0.0535996	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG03	mouse	dentate_gyrus	C1	dentate_identity	39	8	8	2.15385	0.269231	8.05128	1.00641	0.364596	0.364596	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG03	mouse	dentate_gyrus	C1	metabolic_proteomic_validation	39	8	7	4.41026	0.551282	25.7179	3.21474	0.8995	1.028	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG03	mouse	dentate_gyrus	C1	morphogenesis_cytoskeleton	39	12	12	5.23077	0.435897	21.3077	1.77564	0.606942	0.606942	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG03	mouse	dentate_gyrus	C1	shared_granule_neuronal	39	13	13	5.76923	0.443787	29.359	2.25838	0.641622	0.641622	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG04	mouse	dentate_gyrus	C1	axon_guidance_synapse	58	15	15	4.7069	0.313793	16.2414	1.08276	0.388985	0.388985	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG04	mouse	dentate_gyrus	C1	cerebellar_identity	58	11	6	0.172414	0.015674	0.275862	0.0250784	0.0142071	0.0260464	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG04	mouse	dentate_gyrus	C1	dentate_identity	58	8	8	2.7931	0.349138	12.3793	1.54741	0.502856	0.502856	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG04	mouse	dentate_gyrus	C1	metabolic_proteomic_validation	58	8	7	5.17241	0.646552	34.8448	4.3556	1.12963	1.291	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG04	mouse	dentate_gyrus	C1	morphogenesis_cytoskeleton	58	12	12	6.15517	0.512931	27.2069	2.26724	0.739466	0.739466	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG04	mouse	dentate_gyrus	C1	shared_granule_neuronal	58	13	13	6.12069	0.470822	33.7759	2.59814	0.70178	0.70178	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG05	mouse	dentate_gyrus	C1	axon_guidance_synapse	126	15	15	4.71429	0.314286	19.8016	1.32011	0.426322	0.426322	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG05	mouse	dentate_gyrus	C1	cerebellar_identity	126	11	6	0.285714	0.025974	0.460317	0.041847	0.0233072	0.0427299	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG05	mouse	dentate_gyrus	C1	dentate_identity	126	8	8	2.65079	0.331349	12.4762	1.55952	0.493638	0.493638	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG05	mouse	dentate_gyrus	C1	metabolic_proteomic_validation	126	8	7	5.29365	0.661706	36.7143	4.58929	1.17588	1.34386	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG05	mouse	dentate_gyrus	C1	morphogenesis_cytoskeleton	126	12	12	6.0873	0.507275	28.754	2.39616	0.750997	0.750997	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG05	mouse	dentate_gyrus	C1	shared_granule_neuronal	126	13	13	6.20635	0.477411	31.8889	2.45299	0.704759	0.704759	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG06	mouse	dentate_gyrus	C1	axon_guidance_synapse	42	15	15	4.7619	0.31746	13.6667	0.911111	0.372654	0.372654	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG06	mouse	dentate_gyrus	C1	cerebellar_identity	42	11	6	0.357143	0.0324675	0.904762	0.0822511	0.0358948	0.0658072	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG06	mouse	dentate_gyrus	C1	dentate_identity	42	8	8	2.19048	0.27381	9.11905	1.13988	0.378529	0.378529	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG06	mouse	dentate_gyrus	C1	metabolic_proteomic_validation	42	8	7	5.16667	0.645833	29.5238	3.69048	1.06413	1.21614	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG06	mouse	dentate_gyrus	C1	morphogenesis_cytoskeleton	42	12	12	5.83333	0.486111	23.5	1.95833	0.688819	0.688819	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG06	mouse	dentate_gyrus	C1	shared_granule_neuronal	42	13	13	5.42857	0.417582	26.2143	2.01648	0.593009	0.593009	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG07	mouse	dentate_gyrus	C1	axon_guidance_synapse	118	15	15	4.48305	0.29887	18.8814	1.25876	0.401364	0.401364	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG07	mouse	dentate_gyrus	C1	cerebellar_identity	118	11	6	0.271186	0.0246533	0.618644	0.0562404	0.0248193	0.045502	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG07	mouse	dentate_gyrus	C1	dentate_identity	118	8	8	2.38136	0.297669	8.84746	1.10593	0.397075	0.397075	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG07	mouse	dentate_gyrus	C1	metabolic_proteomic_validation	118	8	7	5.07627	0.634534	31.5932	3.94915	1.07518	1.22878	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG07	mouse	dentate_gyrus	C1	morphogenesis_cytoskeleton	118	12	12	6.16102	0.513418	29.3305	2.44421	0.767822	0.767822	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG07	mouse	dentate_gyrus	C1	shared_granule_neuronal	118	13	13	5.69492	0.43807	29.7712	2.29009	0.650694	0.650694	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG08	mouse	dentate_gyrus	C1	axon_guidance_synapse	118	15	15	3.83051	0.255367	14.9068	0.993785	0.332384	0.332384	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG08	mouse	dentate_gyrus	C1	cerebellar_identity	118	11	6	0.254237	0.0231125	0.432203	0.0392912	0.0203335	0.037278	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG08	mouse	dentate_gyrus	C1	dentate_identity	118	8	8	2.24576	0.28072	9.60169	1.20021	0.400339	0.400339	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG08	mouse	dentate_gyrus	C1	metabolic_proteomic_validation	118	8	7	5.27966	0.659958	35.4322	4.42903	1.1551	1.32012	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG08	mouse	dentate_gyrus	C1	morphogenesis_cytoskeleton	118	12	12	5.48305	0.456921	23.8644	1.9887	0.662611	0.662611	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG08	mouse	dentate_gyrus	C1	shared_granule_neuronal	118	13	13	5.47458	0.421121	26.1864	2.01434	0.606791	0.606791	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG09	mouse	dentate_gyrus	C1	axon_guidance_synapse	110	15	15	3.58182	0.238788	11.5455	0.769697	0.295554	0.295554	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG09	mouse	dentate_gyrus	C1	cerebellar_identity	110	11	6	0.236364	0.0214876	0.345455	0.031405	0.0182348	0.0334304	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG09	mouse	dentate_gyrus	C1	dentate_identity	110	8	8	1.89091	0.236364	6.29091	0.786364	0.296669	0.296669	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG09	mouse	dentate_gyrus	C1	metabolic_proteomic_validation	110	8	7	5.31818	0.664773	28.8909	3.61136	1.05725	1.20828	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
GSE95752	C1_all_cells	DG09	mouse	dentate_gyrus	C1	morphogenesis_cytoskeleton	110	12	12	5.31818	0.443182	19.2455	1.60379	0.571576	0.571576	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz
