dataset	sample	group	species	region	platform	panel	n_cells_or_spots	panel_gene_count	genes_found_in_matrix	mean_genes_detected_per_cell	mean_detection_fraction_panel	mean_sum_expression	mean_expression_panel	mean_log1p_expression_panel	mean_log1p_expression_found_genes	source_path
GSE150153	NAY6153A1_125	metadata_unmatched	human	organoid	10x	metabolic_proteomic_validation	1189	8	7	6.0984	0.7623	72.9235	9.11543	1.65648	1.89312	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125_matrix.mtx.gz
GSE150153	NAY6153A1_125	metadata_unmatched	human	organoid	10x	morphogenesis_cytoskeleton	1189	12	12	7.7561	0.646341	93.5837	7.79864	1.21053	1.21053	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125_matrix.mtx.gz
GSE150153	NAY6153A1_125	metadata_unmatched	human	organoid	10x	shared_granule_neuronal	1189	13	13	4.74685	0.365142	20.3524	1.56557	0.490162	0.490162	External_Data/GEO/GSE150153/GSM4524697_NAY6153A1_125_matrix.mtx.gz
GSE150153	NAY6153A2_678	metadata_unmatched	human	organoid	10x	axon_guidance_synapse	1323	15	15	1.68632	0.112421	2.45503	0.163668	0.0951615	0.0951615	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_matrix.mtx.gz
GSE150153	NAY6153A2_678	metadata_unmatched	human	organoid	10x	cerebellar_identity	1323	11	11	1.30915	0.119013	3.13605	0.285096	0.126878	0.126878	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_matrix.mtx.gz
GSE150153	NAY6153A2_678	metadata_unmatched	human	organoid	10x	dentate_identity	1323	8	8	1.01436	0.126795	2.04989	0.256236	0.125137	0.125137	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_matrix.mtx.gz
GSE150153	NAY6153A2_678	metadata_unmatched	human	organoid	10x	metabolic_proteomic_validation	1323	8	7	6.05593	0.756992	72.4565	9.05707	1.65986	1.89698	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_matrix.mtx.gz
GSE150153	NAY6153A2_678	metadata_unmatched	human	organoid	10x	morphogenesis_cytoskeleton	1323	12	12	6.05745	0.504787	49.2615	4.10513	0.818491	0.818491	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_matrix.mtx.gz
GSE150153	NAY6153A2_678	metadata_unmatched	human	organoid	10x	shared_granule_neuronal	1323	13	13	3.51927	0.270713	11.4346	0.879586	0.328285	0.328285	External_Data/GEO/GSE150153/GSM4524699_NAY6153A2_678_matrix.mtx.gz
GSE165657	Cerebellum_aggr	all	human	cerebellum	10x	axon_guidance_synapse	73550	15	15	0.918763	0.0612508	1.13982	0.0759882	0.0478689	0.0478689	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz
GSE165657	Cerebellum_aggr	all	human	cerebellum	10x	cerebellar_identity	73550	11	11	1.50774	0.137067	2.84109	0.258281	0.133566	0.133566	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz
GSE165657	Cerebellum_aggr	all	human	cerebellum	10x	dentate_identity	73550	8	8	0.474684	0.0593355	0.685846	0.0857308	0.05005	0.05005	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz
GSE165657	Cerebellum_aggr	all	human	cerebellum	10x	metabolic_proteomic_validation	73550	8	7	4.51158	0.563948	12.7159	1.58949	0.677788	0.774615	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz
GSE165657	Cerebellum_aggr	all	human	cerebellum	10x	morphogenesis_cytoskeleton	73550	12	12	4.78411	0.398676	20.2236	1.6853	0.526926	0.526926	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz
GSE165657	Cerebellum_aggr	all	human	cerebellum	10x	shared_granule_neuronal	73550	13	13	3.58564	0.275819	9.56231	0.735562	0.307236	0.307236	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz
GSE214309	snRNA_counts	immature_1hr	mouse	dentate_gyrus	snRNA_seq	axon_guidance_synapse	63	15	15	4.53968	0.302646	1420.98	94.7321	0.963912	0.963912	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_1hr	mouse	dentate_gyrus	snRNA_seq	cerebellar_identity	63	11	11	0.984127	0.0894661	14.0552	1.27775	0.146824	0.146824	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
GSE214309	snRNA_counts	immature_1hr	mouse	dentate_gyrus	snRNA_seq	dentate_identity	63	8	8	2.38095	0.297619	1023.03	127.879	1.00502	1.00502	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz
