unit_id	unit_index	cell_type	n_total_spikes	n_awake_moving_spikes	awake_moving_duration_s	awake_moving_fraction_of_recording	occupied_spatial_bins	active_spatial_bins	active_spatial_bin_fraction	spatial_sparsity	spatial_information_bits_per_spike	mean_awake_moving_rate_hz	max_spatial_rate_hz	spatial_selectivity_max_over_mean	awake_moving_spikes
0	0	pyramidal cell	8662	1809	2697.984	0.15823659065384638	205	141	0.6878048780487804	0.5855893912469938	0.3821381214567936	0.6470426625134639	12.019230769230768	18.57563877247533	1707
1	1	wide waveform cell (narrower, exclude opto tagged SST cell)	21805	1894	2697.984	0.15823659065384638	205	159	0.775609756097561	0.4448141766678466	0.5454821928288127	0.6792621272549076	9.765624999999998	14.376813616071427	1792
2	2	pyramidal cell	11033	1985	2697.984	0.15823659065384638	205	140	0.6829268292682927	0.7111242420302218	0.23089482588604682	0.7391524264213559	6.392045454545454	8.647804195804197	1950
3	3	pyramidal cell	12196	2511	2697.984	0.15823659065384638	205	157	0.7658536585365854	0.7482965662854664	0.22340879492904187	0.9101051158141926	6.893382352941176	7.574270524536345	2401
4	4	pyramidal cell	23793	3189	2697.984	0.15823659065384638	205	160	0.7804878048780488	0.7095536094348838	0.24209736268352264	1.1515615751118355	15.625	13.568531928900594	3038
5	5	pyramidal cell	35173	9371	2697.984	0.15823659065384638	205	187	0.9121951219512195	0.6189418989004603	0.44675580769895595	3.4069241070128964	33.05288461538461	9.701679161959534	8988
6	6	pyramidal cell	20093	1971	2697.984	0.15823659065384638	205	150	0.7317073170731707	0.5103323897836791	0.35068553755774023	0.6758506545175783	16.276041666666664	24.082305103757708	1783
7	7	narrow waveform cell	20661	6097	2697.984	0.15823659065384638	205	194	0.9463414634146341	0.8489352777207937	0.10332117980409679	2.2242802247387266	20.68014705882353	9.297455792132805	5868
8	8	pyramidal cell	9100	1709	2697.984	0.15823659065384638	205	100	0.4878048780487805	0.5425408275789202	0.5902753632168072	0.6402197170388053	5.580357142857142	8.716315655924891	1689
9	9	pyramidal cell	8618	1724	2697.984	0.15823659065384638	205	136	0.6634146341463415	0.3321356873199858	0.8721179500256783	0.6261947735631179	18.229166666666668	29.11101694915255	1652
10	10	positive negative waveform unit	6681	896	2697.984	0.15823659065384638	205	120	0.5853658536585366	0.3182770390200738	0.6349367836513975	0.2994514958322416	14.204545454545453	47.43521288837745	790
11	11	pyramidal cell	19802	1842	2697.984	0.15823659065384638	205	153	0.7463414634146341	0.6248395787005822	0.2563457210926529	0.6606885534627813	9.97340425531915	15.095470026000658	1743
12	12	pyramidal cell	26042	2869	2697.984	0.15823659065384638	205	177	0.8634146341463415	0.5429771570960074	0.3943619190210077	1.0503545505710654	19.531249999999996	18.594911584265603	2771
13	13	wide waveform cell (wider)	34941	2696	2697.984	0.15823659065384638	205	169	0.824390243902439	0.6863463146630199	0.2791745708348138	0.9718906776124907	13.020833333333332	13.39742589703588	2564
14	14	narrow waveform cell	103128	19603	2697.984	0.15823659065384638	205	203	0.9902439024390244	0.9190419485753243	0.05999704649360946	7.188731162605649	25.275735294117645	3.5160217738558646	18965
15	15	granule cell	10437	333	2697.984	0.15823659065384638	205	51	0.24878048780487805	0.5797190969722572	0.5124030096008643	0.12432922864933577	1.8601190476190474	14.96123693379791	328
16	16	mossy cell	7309	2571	2697.984	0.15823659065384638	205	109	0.5317073170731708	0.4585909591668774	0.7840468016933115	0.9571076290840634	9.765625	10.203267326732675	2525
17	17	granule cell	15568	2331	2697.984	0.15823659065384638	205	134	0.6536585365853659	0.6273396519875859	0.30979273499088733	0.8555215520169233	7.102272727272727	8.30168767873686	2257
18	18	granule cell	27058	1725	2697.984	0.15823659065384638	205	95	0.4634146341463415	0.7288217885278461	0.2976783452698923	0.641356874617915	3.5511363636363633	5.536911669890393	1692
19	19	narrow waveform cell	435305	52270	2697.984	0.15823659065384638	205	205	1.0	0.867158972937252	0.09588698053948187	19.092496700726812	63.10096153846153	3.305013614906604	50369
20	20	positive waveform unit (bursty)	15021	1367	2697.984	0.15823659065384638	205	130	0.6341463414634146	0.19351239055643946	1.0894824162260193	0.4946635469127536	26.85546875	54.290373563218395	1305
21	21	wide waveform cell (wider)	76381	16931	2697.984	0.15823659065384638	205	201	0.9804878048780488	0.9551920559182899	0.031193396863008465	6.224421535520557	22.321428571428573	3.58610490051937	16421
22	22	unknown	4724	1482	2697.984	0.15823659065384638	205	116	0.5658536585365853	0.71761734152079	0.2617989491837741	0.5450775329199538	3.3967391304347827	6.231662332950354	1438
