summary_level	n_contrasts	n_positive	fraction_positive	median_delta	mean_delta	sign_test_p	wilcoxon_p	branch_kind	expression_layer	pathway_id
all	566	336	0.5936395759717314	0.5	0.24440518256772675	4.807866763423319e-06	2.6115199858130776e-57			
by_branch	108	31	0.28703703703703703	0.0	-0.023148148148148133	0.9999978426242391	0.07515645757093649	cerebellar		
by_branch	458	305	0.665938864628821	0.5	0.3074963609898108	5.357527979932855e-13	1.847597875741976e-53	dentate		
by_expression_layer	72	16	0.2222222222222222	-0.16666666666666663	-0.13194444444444445	0.9999996730015889	0.9813090509575119		full_mgi_ortholog_matrix	
by_expression_layer	494	320	0.6477732793522267	0.5	0.2992577597840756	2.497516282867089e-11	2.54470669960528e-65		selected_feature_matrix	
by_id	63	41	0.6507936507936508	0.5	0.31084656084656087	0.011287486336628592	2.0938342762296306e-09			bdnf_trkb_mapk
by_id	63	44	0.6984126984126984	0.5	0.3015873015873016	0.0011137657554940172	1.5350600596936326e-08			bmp_smad
by_id	63	40	0.6349206349206349	0.5	0.2936507936507937	0.021478272762194606	1.972117173013429e-09			fgf_mapk
by_id	63	32	0.5079365079365079	0.5	0.1415343915343915	0.5	1.2114519937161962e-05			notch_hes
by_id	63	35	0.5555555555555556	0.5	0.2738095238095239	0.22498126814511127	2.521784857026376e-08			reelin_migration_stop
by_id	63	46	0.7301587301587301	0.5	0.30952380952380953	0.00016835467473311913	6.367787035790699e-10			semaphorin_guidance
by_id	62	11	0.1774193548387097	0.0	0.041666666666666664	0.9999999714319313	0.04127288340882724			shh_granule_expansion
by_id	63	46	0.7301587301587301	0.5	0.28835978835978837	0.00016835467473311913	2.2221547952144498e-10			tgf_beta_smad
by_id	63	41	0.6507936507936508	0.5	0.23544973544973546	0.011287486336628592	7.171216704410822e-08			wnt_beta_catenin
by_id_and_branch	12	4	0.3333333333333333	0.0	0.11805555555555554	0.927001953125	0.0625	cerebellar		bdnf_trkb_mapk
by_id_and_branch	12	2	0.16666666666666666	0.0	-0.055555555555555546	0.996826171875	0.71875	cerebellar		bmp_smad
by_id_and_branch	12	3	0.25	0.0	0.013888888888888914	0.980712890625	0.3125	cerebellar		fgf_mapk
by_id_and_branch	12	6	0.5	0.25	0.0763888888888889	0.61279296875	0.056640625	cerebellar		notch_hes
by_id_and_branch	12	4	0.3333333333333333	0.0	0.14583333333333334	0.927001953125	0.0625	cerebellar		reelin_migration_stop
by_id_and_branch	12	2	0.16666666666666666	-0.16666666666666663	-0.15277777777777776	0.996826171875	0.927734375	cerebellar		semaphorin_guidance
by_id_and_branch	12	10	0.8333333333333334	0.5	0.3125	0.019287109375	0.001708984375	cerebellar		shh_granule_expansion
by_id_and_branch	12	0	0.0	-0.41666666666666663	-0.34722222222222215	1.0	1.0	cerebellar		tgf_beta_smad
by_id_and_branch	12	0	0.0	-0.49999999999999994	-0.3194444444444444	1.0	1.0	cerebellar		wnt_beta_catenin
by_id_and_branch	51	37	0.7254901960784313	0.5	0.3562091503267974	0.0008845985918934929	7.745448623495973e-09	dentate		bdnf_trkb_mapk
by_id_and_branch	51	42	0.8235294117647058	0.5	0.38562091503267976	1.6944139744623499e-06	2.9571921911344337e-08	dentate		bmp_smad
by_id_and_branch	51	37	0.7254901960784313	0.5	0.3594771241830066	0.0008845985918934929	5.241406400842849e-09	dentate		fgf_mapk
