asset_id	subject	session	cell_type	n_units	median_spatial_information_bits_per_spike	median_spatial_sparsity	median_active_spatial_bin_fraction	median_awake_moving_rate_hz	median_selectivity_max_over_mean
70aaf3be-9f95-40af-8abc-a8316cbe50ca	YutaMouse41	YutaMouse41-150829	pyramidal cell	10	0.3664118295072669	0.602265645073727	0.7390243902439024	0.7075015404694671	14.332000977450626
70590f8f-6ddc-4df8-a088-ff0c838aacf5	YutaMouse55	YutaMouse55-160909	pyramidal cell	9	3.0854939976126143	0.06570775074751581	0.25925925925925924	0.06641032640621436	38.91796664873588
3a8924c7-e163-4ae1-a68c-68c8fe9c7411	YutaMouse55	YutaMouse55-160908	granule cell	7	1.0996040266181824	0.322835882107412	0.5040650406504065	0.0493686700997361	13.3273952266758
70590f8f-6ddc-4df8-a088-ff0c838aacf5	YutaMouse55	YutaMouse55-160909	narrow waveform cell	7	0.5265026398283275	0.5468345153353698	0.8106995884773662	0.3571579749407382	5.6084108527131775
ae561807-30d9-4775-9ce4-483da9843163	YutaMouse55	YutaMouse55-160907	pyramidal cell	7	0.4624933198891712	0.6161679107656075	0.8811475409836066	0.4986093696458054	6.253927808809469
ae561807-30d9-4775-9ce4-483da9843163	YutaMouse55	YutaMouse55-160907	granule cell	7	0.22516486879795883	0.7467159946480628	0.9221311475409836	0.3422425508551135	8.828267648864333
cbbaf9d5-cb17-46af-9bc7-2109eeb720b0	YutaMouse42	YutaMouse42-151102	pyramidal cell	7	0.19945205389468854	0.7802611735767533	0.9362549800796812	0.25733838939501685	4.401968352154648
4153ba8e-5f24-41de-8b9b-2523f0d44821	YutaMouse37	YutaMouse37-150609	missing	6	0.7521943501110164	0.4638370795293213	0.7549800796812749	0.12958971152088142	12.50566185089675
4153ba8e-5f24-41de-8b9b-2523f0d44821	YutaMouse37	YutaMouse37-150609	granule cell	5	0.8770802315477589	0.35421339428625626	0.6533864541832669	0.039539352876179476	18.998842126459923
3a8924c7-e163-4ae1-a68c-68c8fe9c7411	YutaMouse55	YutaMouse55-160908	narrow waveform cell	5	0.4966010118201095	0.6250535777382917	0.9634146341463414	1.0994988561195462	4.575746186318472
cbbaf9d5-cb17-46af-9bc7-2109eeb720b0	YutaMouse42	YutaMouse42-151102	unknown	5	0.1859613590337245	0.7892368793575064	0.9840637450199203	0.8398500767657562	8.749646267114006
cbbaf9d5-cb17-46af-9bc7-2109eeb720b0	YutaMouse42	YutaMouse42-151102	narrow waveform cell	5	0.05058710676185461	0.9371429793627466	1.0	7.792404095515385	1.9389398181412751
3a8924c7-e163-4ae1-a68c-68c8fe9c7411	YutaMouse55	YutaMouse55-160908	unknown	3	0.9300352214825992	0.41823538526841475	0.6422764227642277	0.07681430364670802	9.230771443157387
