dataset	region	axis_type	comparison_group	metric_type	metric_id	metric_label	paper_readout	start_label	end_label	start_score	end_score	delta_end_minus_start
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	bdnf_erk_response	BDNF/TrkB/ERK response	BDNF, TRKB, ERK1/2, immediate early MAPK response	immature_1hr	matureactive_4hr	0.375	0.875	0.5
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	cell_cycle_exit_p21_p27	p21/p27 cell-cycle exit	p21 and p27 induction	immature_1hr	matureactive_4hr	0.375	0.625	0.25
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	immature_progenitor_state	Nestin/Mash1/Math1 immature state	Nestin, MASH1/ASCL1, MATH1/ATOH1, immature neuron context	immature_1hr	matureactive_4hr	0.5	0.75	0.25
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	neuronal_differentiation_maturation	TuJ1/MAP2/synapsin maturation	TuJ1, MAP2a/b, synapsin, neuronal maturity/differentiation	immature_1hr	matureactive_4hr	0.375	0.625	0.25
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	proliferation_brdU_proxy	BrdU/proliferation proxy	BrdU incorporation and cell proliferation	immature_1hr	matureactive_4hr	0.25	0.625	0.375
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	secreted_stop_candidate_axis	Secreted stop-factor candidate axis	proteinaceous conditioned-medium stop/differentiation factors	immature_1hr	matureactive_4hr	0.5625	0.5625	0.0
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	survival_neuroprotection	Survival/neuroprotection proxy	neuroprotective conditioned-medium fractions	immature_1hr	matureactive_4hr	0.375	0.875	0.5
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	module	tgf_smad_pai1_response	TGF-beta/SMAD/PAI1 response	TGF-beta receptor, SMAD2/3/4, p3TP/PAI1 response	immature_1hr	matureactive_4hr	0.40625	0.53125	0.125
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	trajectory	anti_proliferation_balance	anti-proliferation balance	composite RNA trajectory score	immature_1hr	matureactive_4hr	0.19791666666666669	-0.05208333333333337	-0.25000000000000006
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	trajectory	data_driven_maturation_pseudotime	data-driven maturation pseudotime	composite RNA trajectory score	immature_1hr	matureactive_4hr	0.5087719298245613	0.26315789473684215	-0.24561403508771917
GSE214309	dentate_gyrus	adult_dentate_activity_maturation_state	adult_DGC_maturation_activity_state	trajectory	differentiation_over_progenitor	differentiation over progenitor	composite RNA trajectory score	immature_1hr	matureactive_4hr	-0.125	0.0	0.125
