source_layer	expression_scale	broad_class	panel	gene	gene_key	candidate_role	notes	n_cells	detection_fraction	mean_value_all_cells	mean_log1p_value_all_cells	present_in_matrix
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Barhl2	BARHL2	regional_cerebellar_identity	cerebellar granule marker	10533	0.00123422	0.00177552	0.00177552	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Barhl2	BARHL2	regional_cerebellar_identity	cerebellar granule marker	67423	0.000163149	0.000141369	0.000141369	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Barhl2	BARHL2	regional_cerebellar_identity	cerebellar granule marker	3304	0	0	0	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Barhl2	BARHL2	regional_cerebellar_identity	cerebellar granule marker	37763	5.29619e-05	0.00010095	0.00010095	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Barhl2	BARHL2	regional_cerebellar_identity	cerebellar granule marker	36805	0	0	0	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	32081	0.000810449	0.000810449	0.00056176	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	32875	0.00130798	0.00130798	0.000906626	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	29474	0.000678564	0.000678564	0.000470345	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	56808	0.000264047	0.000264047	0.000183024	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	511	0.00195695	0.00195695	0.00135645	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	10533	0.000854457	0.00164269	0.00164269	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	67423	0.000192813	0.000137127	0.000137127	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	3304	0.000302663	0.000123206	0.000123206	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	37763	0.00029129	0.00047656	0.00047656	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Cbln3	CBLN3	regional_cerebellar_identity	cerebellar granule marker	36805	0	0	0	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	32081	0.000498738	0.000498738	0.000345699	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	32875	0.0010038	0.0010038	0.000695783	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	29474	0.00128927	0.0013232	0.000907412	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	56808	8.80158e-05	8.80158e-05	6.10079e-05	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	511	0	0	0	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	10533	0.000664578	0.0007973	0.0007973	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	67423	7.41587e-05	6.90146e-05	6.90146e-05	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	3304	0	0	0	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	37763	0.000688505	0.00147878	0.00147878	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	En2	EN2	regional_cerebellar_identity	cerebellar patterning/CB granule marker	36805	2.71702e-05	6.11572e-05	6.11572e-05	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	32081	0.272529	0.777719	0.309991	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	32875	0.238175	0.541627	0.245096	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	29474	0.171745	0.3745	0.179418	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	56808	0.239825	0.441399	0.229588	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	511	0.0665362	0.0782779	0.0506497	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	10533	0.581031	1.02698	1.02698	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	67423	0.0931136	0.0864348	0.0864348	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	3304	0.0272397	0.0501307	0.0501307	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	37763	0.066017	0.151719	0.151719	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	cerebellar_identity	Etv1	ETV1	regional_cerebellar_identity	Allen CB granule TF marker, validate specificity	36805	0.00247249	0.00619097	0.00619097	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	32081	0.140987	0.225305	0.124649	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	cerebellar_identity	Gabra6	GABRA6	regional_cerebellar_identity	mature cerebellar granule marker	32875	0.14397	0.237536	0.130368	True
