dataset	sample	group	region	platform	species	analysis_class	n_cells_or_spots	n_high_confidence	n_medium_confidence	n_reference_confidence	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	identity_contrast_mean	identity_contrast_median	identity_contrast_q25	identity_contrast_q75	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id
GSE104323	10X_all_cells	Immature-GABA	dentate_gyrus	10x	mouse	known_non_dentate_reference	1024	0	0	1024	0.136021	0.0866434	0	0.22397	0.0133036	0	0	0	0.122718	0.0866434	0	0.20118	0.55382	0.52162	0.372022	0.702084	1.51093	1.46823	1.1413	1.8516	0.175241	0.138629	0.0924196	0.238901	0.746663	0.708471	0.546886	0.913431	0.43442	0.376949	0.144449	0.645338	0.458057	0.387761	0.387761	0.387761	0.677739	0.688402	0.51809	0.845028	0.780868	0.791917	0.69019	0.883668	GSE104323|10X_all_cells|Immature-GABA|known_non_dentate_reference
GSE104323	10X_all_cells	Immature-GC	dentate_gyrus	10x	mouse	dentate_candidate	2419	0	0	2419	0.356724	0.310613	0.187233	0.4839	0.00325864	0	0	0	0.353465	0.310613	0.173287	0.4839	0.511198	0.500789	0.362961	0.640358	0.907314	0.896563	0.621227	1.16768	0.281727	0.272956	0.16566	0.377531	0.566746	0.556597	0.413438	0.715866	0.72652	0.761732	0.587089	0.904631	0.410167	0.387761	0.387761	0.387761	0.643535	0.66504	0.510172	0.801954	0.667199	0.697333	0.584639	0.795886	GSE104323|10X_all_cells|Immature-GC|dentate_candidate
GSE104323	10X_all_cells	Immature-Pyr	dentate_gyrus	10x	mouse	known_non_dentate_reference	4520	0	0	4520	0.13047	0.0866434	0	0.173287	0.0144516	0	0	0	0.116018	0.0866434	0	0.173287	0.731066	0.684174	0.537286	0.883425	1.7106	1.66221	1.31881	2.10764	0.375411	0.346197	0.238901	0.484827	0.939026	0.891676	0.705414	1.14337	0.432459	0.376949	0.144449	0.563386	0.47209	0.387761	0.387761	0.387761	0.801202	0.833223	0.703349	0.927248	0.858938	0.87546	0.790097	0.943322	GSE104323|10X_all_cells|Immature-Pyr|known_non_dentate_reference
GSE104323	10X_all_cells	MOL	dentate_gyrus	10x	mouse	known_non_dentate_reference	704	0	0	704	0.0820217	0.0866434	0	0.137327	0.0700803	0.0630134	0	0.126027	0.0119414	0	-0.0630134	0.0866434	0.0805022	0.053319	0	0.106638	0.458131	0.441526	0.3226	0.58509	0.0594221	0.0462098	0	0.0924196	0.199352	0.185345	0.131914	0.257222	0.334714	0.376949	0.144449	0.493488	0.73415	0.844676	0.387761	0.962125	0.162314	0.131776	0.0438081	0.221274	0.297401	0.284887	0.176809	0.41916	GSE104323|10X_all_cells|MOL|known_non_dentate_reference
GSE104323	10X_all_cells	MiCajal-Retziusoglia	dentate_gyrus	10x	mouse	known_non_dentate_reference	428	0	0	428	0.0255727	0	0	0	0.0106143	0	0	0	0.0149583	0	0	0	0.046442	0	0	0.053319	0.210984	0.183102	0.115525	0.288811	0.0349633	0	0	0.0462098	0.0974632	0.0862024	0.0562813	0.125515	0.208842	0.144449	0.144449	0.144449	0.459248	0.387761	0.387761	0.387761	0.115875	0.0438081	0.0438081	0.131776	0.117758	0.0899008	0.0411619	0.16306	GSE104323|10X_all_cells|MiCajal-Retziusoglia|known_non_dentate_reference
GSE104323	10X_all_cells	NFOL	dentate_gyrus	10x	mouse	known_non_dentate_reference	232	0	0	232	0.0443427	0	0	0.0866434	0.00217288	0	0	0	0.0421698	0	0	0.0866434	0.0801798	0.053319	0	0.106638	0.441117	0.421876	0.305212	0.546692	0.04886	0.0462098	0	0.0732408	0.190052	0.175795	0.131522	0.230758	0.25355	0.144449	0.144449	0.376949	0.403517	0.387761	0.387761	0.387761	0.167766	0.131776	0.0438081	0.221274	0.281253	0.265236	0.175382	0.374333	GSE104323|10X_all_cells|NFOL|known_non_dentate_reference
GSE104323	10X_all_cells	Neuroblast	dentate_gyrus	10x	mouse	dentate_candidate	1381	0	0	1381	0.239885	0.22397	0.0866434	0.346574	0.014018	0	0	0	0.225867	0.22397	0.0866434	0.338506	0.434255	0.435612	0.297785	0.557248	0.592818	0.563464	0.432746	0.736751	0.148473	0.138629	0.0924196	0.199715	0.391848	0.385823	0.296418	0.477211	0.608865	0.645338	0.376949	0.800579	0.474061	0.387761	0.387761	0.387761	0.578179	0.590076	0.436944	0.723837	0.542954	0.562001	0.473661	0.635022	GSE104323|10X_all_cells|Neuroblast|dentate_candidate
GSE104323	10X_all_cells	OPC	dentate_gyrus	10x	mouse	known_non_dentate_reference	794	0	0	794	0.0633041	0	0	0.0866434	0.0202587	0	0	0.0630134	0.0430454	0	0	0.0866434	0.0992124	0.053319	0	0.137828	0.407203	0.356389	0.240864	0.505702	0.0496206	0.0462098	0	0.0462098	0.185345	0.157153	0.107533	0.223801	0.292901	0.144449	0.144449	0.376949	0.520906	0.387761	0.387761	0.844676	0.189419	0.131776	0.0438081	0.261216	0.259566	0.227207	0.129357	0.36164	GSE104323|10X_all_cells|OPC|known_non_dentate_reference
GSE104323	10X_all_cells	PVM	dentate_gyrus	10x	mouse	known_non_dentate_reference	79	0	0	79	0.0166376	0	0	0	0.02566	0	0	0.0630134	-0.00902231	0	-0.0630134	0	0.0426989	0	0	0.053319	0.17373	0.149313	0.091551	0.235957	0.0831869	0.0924196	0.0462098	0.107296	0.0998719	0.080472	0.0629219	0.126105	0.181013	0.144449	0.144449	0.144449	0.564964	0.387761	0.387761	0.844676	0.108104	0.0438081	0.0438081	0.131776	0.119501	0.0798429	0.0485838	0.16503	GSE104323|10X_all_cells|PVM|known_non_dentate_reference
GSE104323	10X_all_cells	RGL	dentate_gyrus	10x	mouse	known_non_dentate_reference	199	0	0	199	0.0460052	0	0	0.0866434	0.0104256	0	0	0	0.0355796	0	0	0.0866434	0.0806812	0.053319	0	0.106638	0.21813	0.207076	0.149313	0.286122	0.0439712	0.0462098	0	0.0462098	0.114261	0.104571	0.07486	0.144936	0.259323	0.144449	0.144449	0.376949	0.457125	0.387761	0.387761	0.387761	0.16941	0.131776	0.0438081	0.221274	0.145788	0.12423	0.0715009	0.202709	GSE104323|10X_all_cells|RGL|known_non_dentate_reference
