comparator	feature_type	model_term_supported	target_set	peak_category	broad_n_donors	broad_mean_delta_score	broad_median_delta_score	broad_mean_delta_detection	broad_median_delta_detection	cluster_supported_n_donors	cluster_supported_mean_delta_score	cluster_supported_median_delta_score	cluster_supported_mean_delta_detection	cluster_supported_median_delta_detection	delta_shift_strict_minus_broad	detection_shift_strict_minus_broad	concordance_class	robust_rank_score	robust_detection_score
astrocyte_bergmann_candidate	Peaks	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	proximal_10kb	3.0	0.0999754620373904	0.0966438746553513	0.0346428322554161	0.0335775003955686	3.0	0.1840746408973332	0.1797324527098538	0.0626015291424215	0.0609756097560975	0.0840991788599428	0.02795869688700539	cluster_supported_only_positive	0.0999754620373904	0.0346428322554161
oligodendrocyte_candidate	Gene Expression	FatePolarity	anterior_telencephalic_pattern	gene_expression_or_marker	3.0	0.0990830643902442	0.1107013973084693	0.0508827156464002	0.0624031718851924	3.0	0.2395391387328582	0.2660589300131086	0.0830083414027086	0.0998726882873224	0.140456074342614	0.0321256257563084	cluster_supported_only_positive	0.0990830643902442	0.0508827156464002
oligodendrocyte_candidate	Gene Expression	ConstructionBalance	Tier 5 exploratory non-identical ortholog	gene_expression_or_marker	3.0	0.0976039092413992	0.0447872858734398	0.0311775051075824	0.0004699063139663	3.0	0.5062513550406665	0.5003489127506586	0.1711179883693127	0.1744183566843665	0.4086474457992674	0.13994048326173028	cluster_supported_only_positive	0.0976039092413992	0.0311775051075824
purkinje_candidate	Peaks	EpigenomicCompatibility	shared_neurogenic_niche_state	gene_body_overlap	3.0	0.0970583150121189	0.1331759050218717	0.0071809247273964	-0.0126226381894014	3.0	0.3362940959794891	0.2659438148325355	0.0541231057442954	0.0402461483178366	0.23923578096737022	0.046942181016899	cluster_supported_only_positive	0.0970583150121189	0.0071809247273964
purkinje_candidate	Peaks	NicheSignal	shared_postmitotic_granule_maturation	gene_body_overlap	3.0	0.0970583150121189	0.1331759050218717	0.0071809247273964	-0.0126226381894014	3.0	0.3362940959794891	0.2659438148325355	0.0541231057442954	0.0402461483178366	0.23923578096737022	0.046942181016899	cluster_supported_only_positive	0.0970583150121189	0.0071809247273964
oligodendrocyte_candidate	Peaks	ConstructionBalance	shared_postmitotic_granule_maturation	gene_body_overlap	3.0	0.096887310029236	0.0867545635322963	0.0313426964033902	0.026822746792781	3.0	0.2358978595558139	0.2233427636654089	0.0787235769668732	0.0704479194275112	0.1390105495265779	0.047380880563483	cluster_supported_only_positive	0.096887310029236	0.0313426964033902
oligodendrocyte_candidate	Peaks	FatePolarity	anterior_telencephalic_pattern	gene_edge_2kb	3.0	0.0945162934287787	0.0707857601434913	0.0345935334009175	0.0238287722060813	3.0	0.2166897654912844	0.1875605061543113	0.0778587652696806	0.0629914303383691	0.12217347206250571	0.04326523186876309	cluster_supported_only_positive	0.0945162934287787	0.0345935334009175
oligodendrocyte_candidate	Peaks	ConstructionBalance	Tier 5 exploratory non-identical ortholog	proximal_10kb	3.0	0.0896180230580923	0.0597971426354761	0.0280226639903985	0.0142670281582952	3.0	0.2378868406566135	0.2314605217679104	0.0776929679006236	0.069428983714698	0.1482688175985212	0.0496703039102251	cluster_supported_only_positive	0.0896180230580923	0.0280226639903985
oligodendrocyte_candidate	Peaks	ConstructionBalance	Tier 2 high-confidence wiring/synaptic executor	proximal_10kb	3.0	0.0890230746613201	0.0788545096651708	0.0314263772781301	0.0286747980062733	3.0	0.1598334412901473	0.1794817462003846	0.0551850561142283	0.0612807106313599	0.07081036662882718	0.023758678836098196	cluster_supported_only_positive	0.0890230746613201	0.0314263772781301
purkinje_candidate	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_body_overlap	3.0	0.0846288266110349	0.0804795802682951	0.0282843873372265	0.0249009663178061	3.0	0.2852667623860612	0.185351124678553	0.0501506559941188	0.0922607016125409	0.2006379357750263	0.021866268656892295	cluster_supported_only_positive	0.0846288266110349	0.0282843873372265
purkinje_candidate	Peaks	EpigenomicCompatibility	medial_pallium_dentate_lineage	gene_body_overlap	3.0	0.0846288266110349	0.0804795802682951	0.0282843873372265	0.0249009663178061	3.0	0.2852667623860612	0.185351124678553	0.0501506559941188	0.0922607016125409	0.2006379357750263	0.021866268656892295	cluster_supported_only_positive	0.0846288266110349	0.0282843873372265
purkinje_candidate	Peaks	FatePolarity	shared_postmitotic_granule_maturation	gene_body_overlap	3.0	0.0846288266110349	0.0804795802682951	0.0282843873372265	0.0249009663178061	3.0	0.2852667623860612	0.185351124678553	0.0501506559941188	0.0922607016125409	0.2006379357750263	0.021866268656892295	cluster_supported_only_positive	0.0846288266110349	0.0282843873372265
oligodendrocyte_candidate	Peaks	ConstructionBalance	Tier 5 exploratory non-identical ortholog	distal_100kb	3.0	0.0844525439620834	0.0782788782874704	0.0267941890005203	0.0228256938445294	3.0	0.2288073868321473	0.2320429818769164	0.0742778024231751	0.0705213562356419	0.1443548428700639	0.047483613422654794	cluster_supported_only_positive	0.0844525439620834	0.0267941890005203
oligodendrocyte_candidate	Peaks	EpigenomicCompatibility	Tier 1 core convergent program	gene_body_overlap	3.0	0.083369298103655	0.0735531502066508	0.0272092371743266	0.0229795755400421	3.0	0.216197889106822	0.2022683106268096	0.0723922605140552	0.0642125731411445	0.13282859100316702	0.0451830233397286	cluster_supported_only_positive	0.083369298103655	0.0272092371743266
oligodendrocyte_candidate	Peaks	ConstructionBalance	Tier 4 screen-specific mechanism support	distal_100kb	3.0	0.0828758060713872	0.0777452963563052	0.0258595372787039	0.0229069077048233	3.0	0.2260571857601484	0.2301366548855332	0.0731554223405201	0.0705542405049794	0.1431813796887612	0.0472958850618162	cluster_supported_only_positive	0.0828758060713872	0.0258595372787039
oligodendrocyte_candidate	Peaks	ConstructionBalance	hindbrain_rhombic_lip_pattern	distal_100kb	3.0	0.0819271638550689	0.0647733192347493	0.0242056263243787	0.0185800962542868	3.0	0.2719446807336864	0.2836147439551179	0.0804542236970428	0.0907197116502596	0.19001751687861748	0.056248597372664105	cluster_supported_only_positive	0.0819271638550689	0.0242056263243787
oligodendrocyte_candidate	Peaks	FatePolarity	Tier 4 screen-specific mechanism support	distal_100kb	3.0	0.0819271638550689	0.0647733192347493	0.0242056263243787	0.0185800962542868	3.0	0.2719446807336864	0.2836147439551179	0.0804542236970428	0.0907197116502596	0.19001751687861748	0.056248597372664105	cluster_supported_only_positive	0.0819271638550689	0.0242056263243787
oligodendrocyte_candidate	Peaks	ConstructionBalance	Tier 4 screen-specific mechanism support	gene_body_overlap	3.0	0.0816096818376919	0.0817802310035637	0.0235768499401555	0.0223782157130697	3.0	0.2760052733477479	0.2890606722407332	0.0867368784371763	0.0863543599257885	0.19439559151005598	0.06316002849702079	cluster_supported_only_positive	0.0816096818376919	0.0235768499401555
oligodendrocyte_candidate	Peaks	ConstructionBalance	Tier 1 core convergent program	gene_body_overlap	3.0	0.0767120613056609	0.0663515069591423	0.0244021527389869	0.0194253365611714	3.0	0.2131708866771811	0.2045388864032096	0.0704990387744164	0.0629624890708634	0.1364588253715202	0.04609688603542951	cluster_supported_only_positive	0.0767120613056609	0.0244021527389869
oligodendrocyte_candidate	Peaks	ConstructionBalance	Tier 1 core convergent program	gene_edge_2kb	3.0	0.0761021366755366	0.0430928507551708	0.0283733809792022	0.009511532667998	3.0	0.2697688059581378	0.1938803423581652	0.0958786306561389	0.0602968460111317	0.19366666928260118	0.0675052496769367	cluster_supported_only_positive	0.0761021366755366	0.0283733809792022
astrocyte_bergmann_candidate	Peaks	FatePolarity	shared_neurogenic_niche_state	proximal_10kb	3.0	0.0742315900897501	0.0721675353925037	0.0247740747549397	0.025215771662042	3.0	0.1986186048137108	0.2131565000312008	0.0658711434240225	0.0795586527293844	0.1243870147239607	0.041097068669082804	cluster_supported_only_positive	0.0742315900897501	0.0247740747549397
oligodendrocyte_candidate	Peaks	FatePolarity	anterior_telencephalic_pattern	gene_body_overlap	3.0	0.0730355372264403	0.0645470192306907	0.0231239473425789	0.0194711874475817	3.0	0.2113726454425583	0.2258757592655733	0.0691723938934227	0.0701885577978872	0.138337108216118	0.046048446550843794	cluster_supported_only_positive	0.0730355372264403	0.0231239473425789
oligodendrocyte_candidate	Peaks	NicheSignal	shared_neurogenic_niche_state	proximal_10kb	3.0	0.0644298686009185	0.0366957508579468	0.020221793118558	0.0109052992822003	3.0	0.2080534591666896	0.1757496700588706	0.0674211559433162	0.058177451150864	0.14362359056577112	0.0471993628247582	cluster_supported_only_positive	0.0644298686009185	0.020221793118558
