dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE95752	C1_all_cells	DG16	dentate_gyrus	C1	non_granule_or_ambiguous	low	10	0.0173287	0.0435227	-0.026194	0.15225	0.103126	0.188679
GSE95752	C1_all_cells	DG17	dentate_gyrus	C1	candidate_dentate_granule	high	12	0.581618	0.0210045	0.560613	0.681845	0.633304	0.0774194
GSE95752	C1_all_cells	DG17	dentate_gyrus	C1	candidate_dentate_granule	medium	28	0.504832	0.00225048	0.502582	0.502097	0.485454	0.180645
GSE95752	C1_all_cells	DG17	dentate_gyrus	C1	dentate_like_low_support	low	58	0.212609	0.00543219	0.207176	0.393369	0.352801	0.374194
GSE95752	C1_all_cells	DG17	dentate_gyrus	C1	non_granule_or_ambiguous	low	57	0.00392931	0.0605534	-0.0566241	0.164893	0.138081	0.367742
GSE95752	C1_all_cells	DG18	dentate_gyrus	C1	dentate_like_low_support	low	25	0.136608	0.0216387	0.114969	0.185306	0.126357	0.328947
GSE95752	C1_all_cells	DG18	dentate_gyrus	C1	non_granule_or_ambiguous	low	51	0.00509667	0.0490265	-0.0439298	0.136091	0.111159	0.671053
GSE95752	C1_all_cells	DG19	dentate_gyrus	C1	candidate_dentate_granule	high	1	0.42515	0.126027	0.299123	0.668544	0.641772	0.0114943
GSE95752	C1_all_cells	DG19	dentate_gyrus	C1	candidate_dentate_granule	medium	1	0.498623	0	0.498623	0.311086	0.284412	0.0114943
GSE95752	C1_all_cells	DG19	dentate_gyrus	C1	dentate_like_low_support	low	32	0.148401	0.0228127	0.125589	0.325594	0.305471	0.367816
GSE95752	C1_all_cells	DG19	dentate_gyrus	C1	non_granule_or_ambiguous	low	53	0.00653912	0.0589672	-0.0524281	0.215332	0.177594	0.609195
GSE95752	C1_all_cells	DG20	dentate_gyrus	C1	candidate_dentate_granule	high	50	0.652796	0.0108194	0.641977	1.08754	0.902736	0.387597
GSE95752	C1_all_cells	DG20	dentate_gyrus	C1	candidate_dentate_granule	medium	1	0.42515	0	0.42515	0.612268	0.592271	0.00775194
GSE95752	C1_all_cells	DG20	dentate_gyrus	C1	dentate_like_low_support	low	63	0.212645	0.0166474	0.195998	1.01842	0.847156	0.488372
GSE95752	C1_all_cells	DG20	dentate_gyrus	C1	non_granule_or_ambiguous	low	15	0.0115525	0.0272716	-0.0157191	0.785134	0.740339	0.116279
GSE95752	C1_all_cells	DG21	dentate_gyrus	C1	candidate_dentate_granule	high	65	0.666494	0.00969437	0.656799	0.96709	0.841077	0.477941
GSE95752	C1_all_cells	DG21	dentate_gyrus	C1	candidate_dentate_granule	medium	2	0.615154	0.0315067	0.583647	0.611499	0.592271	0.0147059
GSE95752	C1_all_cells	DG21	dentate_gyrus	C1	dentate_like_low_support	low	36	0.21263	0.0132765	0.199353	0.634438	0.636561	0.264706
GSE95752	C1_all_cells	DG21	dentate_gyrus	C1	non_granule_or_ambiguous	low	33	0.00262556	0.0385144	-0.0358888	0.248921	0.201042	0.242647
GSE95752	C1_all_cells	DG22	dentate_gyrus	C1	candidate_dentate_granule	high	80	0.753821	0.0206482	0.733173	1.0566	0.887755	0.672269
GSE95752	C1_all_cells	DG22	dentate_gyrus	C1	candidate_dentate_granule	medium	1	0.578122	0	0.578122	0.436988	0.3934	0.00840336
GSE95752	C1_all_cells	DG22	dentate_gyrus	C1	dentate_like_low_support	low	29	0.237954	0.0229998	0.214954	0.736677	0.768129	0.243697
GSE95752	C1_all_cells	DG22	dentate_gyrus	C1	non_granule_or_ambiguous	low	9	0.0192541	0.0646156	-0.0453615	0.35113	0.221884	0.0756303
GSE95752	C1_all_cells	DG23	dentate_gyrus	C1	candidate_dentate_granule	high	50	0.699148	0.00955908	0.689589	0.997954	0.880373	0.416667
GSE95752	C1_all_cells	DG23	dentate_gyrus	C1	candidate_dentate_granule	medium	1	0.598436	0	0.598436	0.593438	0.574034	0.00833333
GSE95752	C1_all_cells	DG23	dentate_gyrus	C1	dentate_like_low_support	low	31	0.232629	0.00644347	0.226186	0.607574	0.614416	0.258333
GSE95752	C1_all_cells	DG23	dentate_gyrus	C1	non_granule_or_ambiguous	low	38	0.00228009	0.0528146	-0.0505345	0.189442	0.198437	0.316667
GSE95752	C1_all_cells	DG24	dentate_gyrus	C1	candidate_dentate_granule	high	76	0.700538	0.0103573	0.690181	0.964936	0.846505	0.575758
GSE95752	C1_all_cells	DG24	dentate_gyrus	C1	candidate_dentate_granule	medium	6	0.622039	0.0105022	0.611536	0.594074	0.573383	0.0454545
GSE95752	C1_all_cells	DG24	dentate_gyrus	C1	dentate_like_low_support	low	40	0.193564	0.0103735	0.183191	0.702992	0.627008	0.30303
GSE95752	C1_all_cells	DG24	dentate_gyrus	C1	non_granule_or_ambiguous	low	10	0.00866434	0.0565689	-0.0479045	0.246557	0.130048	0.0757576
GSE95752	C1_all_cells	DG25	dentate_gyrus	C1	candidate_dentate_granule	high	67	0.757512	0.00995514	0.747557	0.978946	0.861051	0.712766
GSE95752	C1_all_cells	DG25	dentate_gyrus	C1	candidate_dentate_granule	medium	3	0.556727	0	0.556727	0.589346	0.579679	0.0319149
GSE95752	C1_all_cells	DG25	dentate_gyrus	C1	dentate_like_low_support	low	8	0.261084	0	0.261084	0.689938	0.655667	0.0851064
GSE95752	C1_all_cells	DG25	dentate_gyrus	C1	non_granule_or_ambiguous	low	16	0.0162456	0.0724605	-0.0562149	0.264356	0.163265	0.170213
