dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE150153	NAY6153A2_678	metadata_unmatched	organoid	10x	non_granule_or_ambiguous	low	833	0.061685	0.0719844	-0.0102994	0.284287	0.322751	0.62963
GSE150153	NAY6153A2_678	metadata_unmatched	organoid	10x	organoid_granule_like_candidate	low	490	0.233006	0.220196	0.0128099	0.634456	0.758881	0.37037
GSE165657	Cerebellum_aggr	all	cerebellum	10x	candidate_cerebellar_granule	high	17653	0.073211	0.268099	-0.194888	0.496618	0.84002	0.240014
GSE165657	Cerebellum_aggr	all	cerebellum	10x	candidate_cerebellar_granule	medium	7411	0.0434507	0.228274	-0.184823	0.243602	0.461332	0.100761
GSE165657	Cerebellum_aggr	all	cerebellum	10x	cerebellum_dentate_panel_high_warning	low	12154	0.132116	0.0529707	0.0791448	0.285489	0.490041	0.165248
GSE165657	Cerebellum_aggr	all	cerebellum	10x	non_granule_or_ambiguous	low	36332	0.0126896	0.0758419	-0.0631523	0.2087	0.312957	0.493977
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	8	1.70869	0.198912	1.50978	1.90692	0.795511	0.126984
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	medium	9	1.50271	0.230511	1.2722	1.29631	0.478803	0.142857
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	dentate_like_low_support	low	42	0.848227	0.0990992	0.749128	1.04996	0.256858	0.666667
GSE214309	snRNA_counts	immature_1hr	dentate_gyrus	snRNA_seq	non_granule_or_ambiguous	low	4	0.124266	0.355459	-0.231193	0.636378	0.108479	0.0634921
GSE214309	snRNA_counts	immature_4hr	dentate_gyrus	snRNA_seq	candidate_dentate_granule	high	22	1.9021	0.2092	1.6929	2.09035	0.846633	0.360656
