analysis_class	axon_guidance_synapse_mean	axon_guidance_synapse_median	axon_guidance_synapse_q25	axon_guidance_synapse_q75	background_max_mean	background_max_median	background_max_q25	background_max_q75	broad_class	cerebellar_identity_mean	cerebellar_identity_median	cerebellar_identity_q25	cerebellar_identity_q75	cerebellar_rank_mean	cerebellar_rank_median	cerebellar_rank_q25	cerebellar_rank_q75	dataset	dentate_identity_mean	dentate_identity_median	dentate_identity_q25	dentate_identity_q75	dentate_rank_mean	dentate_rank_median	dentate_rank_q25	dentate_rank_q75	identity_rank_contrast_mean	identity_rank_contrast_median	identity_rank_contrast_q25	identity_rank_contrast_q75	label	morphogenesis_cytoskeleton_mean	morphogenesis_cytoskeleton_median	morphogenesis_cytoskeleton_q25	morphogenesis_cytoskeleton_q75	n_cells_or_spots	platform	region	sample	sample_context	shared_granule_neuronal_mean	shared_granule_neuronal_median	shared_granule_neuronal_q25	shared_granule_neuronal_q75	shared_rank_mean	shared_rank_median	shared_rank_q25	shared_rank_q75	source_layer	species	structural_program_mean_mean	structural_program_mean_median	structural_program_mean_q25	structural_program_mean_q75	structural_rank_mean	structural_rank_median	structural_rank_q25	structural_rank_q75	unit_id	core_branch	core_role	primary_reason	current_use	caveat	eligible_for_primary_stats
backbone_dentate_low_support		0.538592							dentate_low_support		0.100463				0.496259			GSE214309		0.82473				0.349127			-0.147132	-0.147132			immatureactive_1hr		1.26639			27	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.855178				0.234414			backbone_refined	mouse		0.949277				0.23192			backbone_refined|GSE214309|snRNA_counts|immatureactive_1hr|backbone_dentate_low_support	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	True
backbone_dentate_low_support		1.41538							dentate_low_support		0.122788				0.546135			GSE214309		0.821286				0.34414			-0.201995	-0.201995			immatureactive_4hr		1.67889			13	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.20028				0.401496			backbone_refined	mouse		1.56189				0.59601			backbone_refined|GSE214309|snRNA_counts|immatureactive_4hr|backbone_dentate_low_support	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	False
backbone_dentate_low_support		0.993323							dentate_low_support		0.133681				0.578553			GSE214309		0.803018				0.342893			-0.23566	-0.23566			mature_1hr		1.40299			24	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.78822				0.213217			backbone_refined	mouse		0.928487				0.238154			backbone_refined|GSE214309|snRNA_counts|mature_1hr|backbone_dentate_low_support	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	True
backbone_dentate_low_support		1.49933							dentate_low_support		0.111238				0.523067			GSE214309		0.828557				0.357855			-0.165212	-0.165212			mature_4hr		1.70831			20	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.587				0.63591			backbone_refined	mouse		1.58763				0.61596			backbone_refined|GSE214309|snRNA_counts|mature_4hr|backbone_dentate_low_support	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	True
backbone_dentate_low_support		0.697099							dentate_low_support		0.0627855				0.356608			GSE214309		0.669817				0.271821			-0.084787	-0.084787			matureactive_1hr		0.916459			46	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.875555				0.243142			backbone_refined	mouse		0.884193				0.215711			backbone_refined|GSE214309|snRNA_counts|matureactive_1hr|backbone_dentate_low_support	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	True
backbone_dentate_low_support		1.71054							dentate_low_support		0.0489071				0.305486			GSE214309		0.709952				0.291771			-0.013715	-0.013715			matureactive_4hr		1.28221			34	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.52062				0.594763			backbone_refined	mouse		1.57241				0.604738			backbone_refined|GSE214309|snRNA_counts|matureactive_4hr|backbone_dentate_low_support	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	True
backbone_other_or_ambiguous		0.764961							other_or_ambiguous		0.313142				0.832918			GSE214309		0.147631				0.0386534			-0.794265	-0.794265			immature_1hr		0.682927			4	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.287967				0.0698255			backbone_refined	mouse		0.663729				0.108479			backbone_refined|GSE214309|snRNA_counts|immature_1hr|backbone_other_or_ambiguous	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	False
backbone_other_or_ambiguous		0.967228							other_or_ambiguous		0.41356				0.9202			GSE214309		0.116987				0.0473816			-0.872818	-0.872818			immatureactive_1hr		1.04928			2	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.21115				0.4202			backbone_refined	mouse		1.07589				0.315461			backbone_refined|GSE214309|snRNA_counts|immatureactive_1hr|backbone_other_or_ambiguous	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	False
backbone_other_or_ambiguous		0.684334							other_or_ambiguous		0.14429				0.608479			GSE214309		0.0152772				0.00997506			-0.598504	-0.598504			immatureactive_4hr		1.70982			1	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.990277				0.296758			backbone_refined	mouse		1.12814				0.346633			backbone_refined|GSE214309|snRNA_counts|immatureactive_4hr|backbone_other_or_ambiguous	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	False
backbone_other_or_ambiguous		1.01585							other_or_ambiguous		0.150675				0.504988			GSE214309		0.088034				0.0261845			-0.478803	-0.478803			mature_1hr		1.30598			2	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.408				0.531172			backbone_refined	mouse		1.24328				0.417706			backbone_refined|GSE214309|snRNA_counts|mature_1hr|backbone_other_or_ambiguous	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	False
backbone_other_or_ambiguous		0.574086							other_or_ambiguous		0.21802				0.734414			GSE214309		0.175264				0.0567331			-0.677681	-0.677681			matureactive_1hr		0.767885			6	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		0.689097				0.184538			backbone_refined	mouse		0.648493				0.112219			backbone_refined|GSE214309|snRNA_counts|matureactive_1hr|backbone_other_or_ambiguous	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	False
backbone_other_or_ambiguous		1.73606							other_or_ambiguous		0.9255				0.988778			GSE214309		0.377883				0.145886			-0.842892	-0.842892			matureactive_4hr		1.28218			2	snRNA_seq	dentate_gyrus	snRNA_counts	dentate_gyrus		1.63119				0.620947			backbone_refined	mouse		1.54981				0.59227			backbone_refined|GSE214309|snRNA_counts|matureactive_4hr|backbone_other_or_ambiguous	mouse_dentate	mouse adult/activity-state dentate validation	Strong mature/immature and activity-state dentate labels.	Tests mature/immature/activity modulation of dentate and structural programs.	Full Ensembl-to-symbol cleanup remains useful for whole-transcriptome modeling.	False
backbone_dentate_candidate		2.07549							dentate_candidate		0				0.374263			GSE292261		2.65814				0.785855			0.411592	0.411592			DG_P10		3.71994			53	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		3.49914				0.695481			backbone_refined	mouse		3.09705				0.699411			backbone_refined|GSE292261|SS2_filtered_counts|DG_P10|backbone_dentate_candidate	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
backbone_dentate_candidate		1.7311							dentate_candidate		0				0.374263			GSE292261		2.65321				0.779961			0.405698	0.405698			DG_P15		2.87913			49	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		3.31289				0.579568			backbone_refined	mouse		2.67777				0.473477			backbone_refined|GSE292261|SS2_filtered_counts|DG_P15|backbone_dentate_candidate	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
backbone_dentate_candidate		0.778118							dentate_candidate		0				0.374263			GSE292261		2.30308				0.585462			0.211199	0.211199			DG_P28		2.09956			7	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		3.25821				0.548134			backbone_refined	mouse		2.254				0.324165			backbone_refined|GSE292261|SS2_filtered_counts|DG_P28|backbone_dentate_candidate	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	False
backbone_dentate_candidate		2.06403							dentate_candidate		0				0.374263			GSE292261		2.79771				0.842829			0.468566	0.468566			DG_P5		5.14747			49	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		3.76332				0.836935			backbone_refined	mouse		3.62568				0.895874			backbone_refined|GSE292261|SS2_filtered_counts|DG_P5|backbone_dentate_candidate	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
backbone_dentate_candidate		1.41392							dentate_candidate		0				0.374263			GSE292261		2.4989				0.692535			0.318272	0.318272			DG_P7		3.99838			38	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		3.57742				0.746562			backbone_refined	mouse		3.02033				0.674853			backbone_refined|GSE292261|SS2_filtered_counts|DG_P7|backbone_dentate_candidate	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
backbone_dentate_low_support		1.87071							dentate_low_support		0				0.374263			GSE292261		2.04502				0.44106			0.066797	0.066797			DG_P10		3.3261			38	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		3.15035				0.468566			backbone_refined	mouse		2.76839				0.533399			backbone_refined|GSE292261|SS2_filtered_counts|DG_P10|backbone_dentate_low_support	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
backbone_dentate_low_support		1.61877							dentate_low_support		0				0.374263			GSE292261		2.08638				0.462672			0.088409	0.088409			DG_P15		2.95441			44	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		2.90342				0.35167			backbone_refined	mouse		2.48335				0.400786			backbone_refined|GSE292261|SS2_filtered_counts|DG_P15|backbone_dentate_low_support	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
backbone_dentate_low_support		0.587509							dentate_low_support		0				0.374263			GSE292261		1.22748				0.169941			-0.204322	-0.204322			DG_P28		1.69388			144	Smart_seq2	dentate_gyrus	SS2_filtered_counts	dentate_gyrus		2.36921				0.158154			backbone_refined	mouse		1.5821				0.150294			backbone_refined|GSE292261|SS2_filtered_counts|DG_P28|backbone_dentate_low_support	mouse_dentate	mouse postnatal dentate developmental validation	Postnatal stage metadata and gene symbols are usable after curation.	Tests developmental timing of dentate identity and structural modules.	Small stage-wise units; keep sample/stage-aware.	True
