cell_type	n_units	total_spikes	median_firing_rate_hz	mean_firing_rate_hz	median_active_bin_fraction_1s	mean_active_bin_fraction_1s	min_firing_rate_hz	max_firing_rate_hz
pyramidal cell	10	174512	0.9383487482535323	1.0235209497794888	0.4180693214474225	0.40235763298340277	0.5054496851333796	2.0629127146897615
narrow waveform cell	3	559094	6.048504888423669	10.930373878702012	0.9347252360565362	0.8247023634977421	1.2117772040543928	25.53083954362797
granule cell	3	53063	0.9130703989506214	1.037389829126345	0.3943463726467656	0.43203722166832836	0.6121348762748995	1.5869642121535144
wide waveform cell (wider)	2	111322	3.2645433887455377	3.2645433887455377	0.7827400152483726	0.7827400152483726	2.04930580740838	4.479780970082696
wide waveform cell (narrower, exclude opto tagged SST cell)	1	21805	1.2788733330625834	1.2788733330625834	0.4860711981701953	0.4860711981701953	1.2788733330625834	1.2788733330625834
positive waveform unit (bursty)	1	15021	0.8809885960070197	0.8809885960070197	0.34420268605946863	0.34420268605946863	0.8809885960070197	0.8809885960070197
mossy cell	1	7309	0.42867622982593084	0.42867622982593084	0.21734795613160518	0.21734795613160518	0.42867622982593084	0.42867622982593084
positive negative waveform unit	1	6681	0.3918437394263297	0.3918437394263297	0.2131253298926749	0.2131253298926749	0.3918437394263297	0.3918437394263297
unknown	1	4724	0.27706478447088484	0.27706478447088484	0.2023928215353938	0.2023928215353938	0.27706478447088484	0.27706478447088484
