feature_set	feature_set_label	n_genes	cosine_concordance	spearman_contrast_correlation	same_sign_fraction	both_positive_fraction	matched_null_median_cosine_concordance	matched_null_95ci_low_cosine_concordance	matched_null_95ci_high_cosine_concordance	matched_null_p_greater_cosine_concordance	matched_null_p_less_cosine_concordance	matched_null_median_spearman_contrast_correlation	matched_null_95ci_low_spearman_contrast_correlation	matched_null_95ci_high_spearman_contrast_correlation	matched_null_p_greater_spearman_contrast_correlation	matched_null_p_less_spearman_contrast_correlation	matched_null_median_same_sign_fraction	matched_null_95ci_low_same_sign_fraction	matched_null_95ci_high_same_sign_fraction	matched_null_p_greater_same_sign_fraction	matched_null_p_less_same_sign_fraction	matched_null_median_both_positive_fraction	matched_null_95ci_low_both_positive_fraction	matched_null_95ci_high_both_positive_fraction	matched_null_p_greater_both_positive_fraction	matched_null_p_less_both_positive_fraction	matched_null_q_bh_greater_cosine_concordance	matched_null_q_bh_less_cosine_concordance	matched_null_q_bh_greater_spearman_contrast_correlation	matched_null_q_bh_less_spearman_contrast_correlation	matched_null_q_bh_greater_same_sign_fraction	matched_null_q_bh_less_same_sign_fraction	matched_null_q_bh_greater_both_positive_fraction	matched_null_q_bh_less_both_positive_fraction
tier1	Tier 1 candidates	6	0.43290987907023654	0.14285714285714288	1.0	0.8333333333333334	0.6013313164774304	-0.611852576832749	0.9575436943376391	0.6621689155422289	0.33833083458270863	0.2	-0.7142857142857143	0.942857142857143	0.5567216391804098	0.487256371814093	0.8333333333333334	0.5	1.0	0.19790104947526238	1.0	0.0	0.0	0.16666666666666666	0.0004997501249375312	1.0	0.9975012493753124	0.33833083458270863	1.0	0.487256371814093	1.0	1.0	0.0005997001499250374	1.0
tier1_tier2	Tier 1+2 candidates	15	0.3116454252259544	0.08928571428571427	0.7333333333333333	0.6666666666666666	0.4923309697593083	-0.38005704652202776	0.8111037465872593	0.7231384307846077	0.2773613193403298	0.2517857142857143	-0.3142857142857143	0.7071428571428571	0.7081459270364817	0.296351824087956	0.6666666666666666	0.4666666666666667	0.8666666666666667	0.3583208395802099	0.8565717141429285	0.06666666666666667	0.0	0.13333333333333333	0.0004997501249375312	1.0	0.9975012493753124	0.3328335832083958	1.0	0.3556221889055472	1.0	1.0	0.0005997001499250374	1.0
downstream_all	All downstream genes	41	-0.15877932932239378	-0.17926829268292688	0.36585365853658536	0.1951219512195122	0.4513646201781709	-0.044066125535539756	0.6789272651889164	0.9965017491254373	0.00399800099950025	0.2400696864111499	-0.041994773519163774	0.4878527874564458	0.9980009995002499	0.0024987506246876563	0.7073170731707317	0.5853658536585366	0.8048780487804879	1.0	0.0004997501249375312	0.04878048780487805	0.024390243902439025	0.0975609756097561	0.0004997501249375312	1.0	0.9975012493753124	0.01199400299850075	1.0	0.0069965017491254375	1.0	0.0009995002498750624	0.0005997001499250374	1.0
neurite_morphology	Neurite/morphology genes	21	-0.3873272582692378	-0.4805194805194805	0.2857142857142857	0.047619047619047616	0.45910687820906004	-0.30792455689001436	0.7958463958210892	0.9895052473763118	0.010994502748625687	0.174025974025974	-0.28831168831168835	0.6012987012987013	0.9970014992503748	0.0034982508745627187	0.7142857142857143	0.5714285714285714	0.9047619047619048	1.0	0.0004997501249375312	0.047619047619047616	0.0	0.14285714285714285	0.623688155922039	0.7786106946526736	0.9975012493753124	0.021989005497251374	1.0	0.0069965017491254375	1.0	0.0009995002498750624	0.623688155922039	1.0
synaptic_excitability	Synaptic/excitability genes	20	0.15049705755306347	0.018045112781954885	0.45	0.35	0.48047449419771093	-0.2795892059033696	0.7545641717874044	0.8495752123938031	0.15092453773113443	0.2556390977443609	-0.17447368421052628	0.6375939849624059	0.8600699650174912	0.1409295352323838	0.65	0.5	0.85	0.9940029985007496	0.022988505747126436	0.05	0.0	0.15	0.0004997501249375312	1.0	0.9975012493753124	0.22638680659670166	1.0	0.21139430284857572	1.0	0.034482758620689655	0.0005997001499250374	1.0
all_curated	All curated module genes	89	-0.1377125791527232	-0.20051072522982638	0.4157303370786517	0.1797752808988764	0.44569240288372536	0.015094514981691851	0.6501676266872468	0.9975012493753124	0.0029985007496251873	0.3908920667347634	0.19453228142591988	0.5692581716036773	1.0	0.0004997501249375312	0.7415730337078652	0.651685393258427	0.8202247191011236	1.0	0.0004997501249375312	0.033707865168539325	0.011235955056179775	0.07865168539325842	0.0004997501249375312	1.0	0.9975012493753124	0.01199400299850075	1.0	0.0029985007496251873	1.0	0.0009995002498750624	0.0005997001499250374	1.0
