gene_symbol	feature_role	present_in_all_four_matrices	selection_seed
Adamtsl3	background_pool	True	205921
Adat3	background_pool	True	205921
Adcy3	background_pool	True	205921
Adcy6	background_pool	True	205921
Adcy7	background_pool	True	205921
Adcy9	background_pool	True	205921
Adgrd1	background_pool	True	205921
Adgrg3	background_pool	True	205921
Adgrl1	background_pool	True	205921
Adhfe1	background_pool	True	205921
Adrb2	background_pool	True	205921
Aff3	background_pool	True	205921
Aga	background_pool	True	205921
Agbl3	background_pool	True	205921
Ago3	background_pool	True	205921
Agpat2	background_pool	True	205921
Agpat3	background_pool	True	205921
Agps	background_pool	True	205921
Agtpbp1	background_pool	True	205921
Ahr	background_pool	True	205921
Akap14	background_pool	True	205921
Akr1c18	background_pool	True	205921
Akr1c20	background_pool	True	205921
Akr7a5	background_pool	True	205921
Aldh3b3	background_pool	True	205921
Aldoart2	background_pool	True	205921
Alg11	background_pool	True	205921
Alg13	background_pool	True	205921
Alg5	background_pool	True	205921
Alkbh1	background_pool	True	205921
Alkbh2	background_pool	True	205921
Alox5	background_pool	True	205921
Aloxe3	background_pool	True	205921
Alpk1	background_pool	True	205921
Alpk2	background_pool	True	205921
Alx3	background_pool	True	205921
Amd2	background_pool	True	205921
Amer2	background_pool	True	205921
Amot	background_pool	True	205921
Amy2a3	background_pool	True	205921
Amz2	background_pool	True	205921
Anapc15-ps	background_pool	True	205921
Anapc2	background_pool	True	205921
Ankrd13b	background_pool	True	205921
Ankrd31	background_pool	True	205921
Ankrd35	background_pool	True	205921
Ankrd50	background_pool	True	205921
Ankrd60	background_pool	True	205921
Anks1	background_pool	True	205921
Ano1	background_pool	True	205921
Ano6	background_pool	True	205921
Anp32e	background_pool	True	205921
Antxrl	background_pool	True	205921
Ap1b1	background_pool	True	205921
Ap3s1	background_pool	True	205921
Ap5m1	background_pool	True	205921
Apc2	background_pool	True	205921
Apex2	background_pool	True	205921
Apob	background_pool	True	205921
Apoc2	background_pool	True	205921
Apon	background_pool	True	205921
App	background_pool	True	205921
Appbp2	background_pool	True	205921
Aqp8	background_pool	True	205921
Aqp9	background_pool	True	205921
Aqr	background_pool	True	205921
Arf1	background_pool	True	205921
Arf6	background_pool	True	205921
Arfgap2	background_pool	True	205921
Arfgap3	background_pool	True	205921
Arhgap1	background_pool	True	205921
Arhgap5	background_pool	True	205921
