dentate_state	feature_set	direction	gene_symbol	standardized_logistic_coefficient	absolute_coefficient
mature	downstream_all	dentate_to_cerebellum	Kcnd2	-0.01851801457028368	0.01851801457028368
mature	downstream_all	dentate_to_cerebellum	Kcnj3	0.22293438236934393	0.22293438236934393
mature	downstream_all	dentate_to_cerebellum	Kcnj6	0.17003833274132704	0.17003833274132704
mature	downstream_all	dentate_to_cerebellum	Kcnk1	0.26094048298096906	0.26094048298096906
mature	downstream_all	dentate_to_cerebellum	L1cam	-0.2670256774047862	0.2670256774047862
mature	downstream_all	dentate_to_cerebellum	Map1b	0.37359945685776386	0.37359945685776386
mature	downstream_all	dentate_to_cerebellum	Ncam1	0.32804989537485907	0.32804989537485907
mature	downstream_all	dentate_to_cerebellum	Nrp1	-0.020621951146488716	0.020621951146488716
mature	downstream_all	dentate_to_cerebellum	Nrxn1	-0.24454694943453678	0.24454694943453678
mature	downstream_all	dentate_to_cerebellum	Plxna2	-0.08555554621572276	0.08555554621572276
mature	downstream_all	dentate_to_cerebellum	Plxna4	0.28465409783693496	0.28465409783693496
mature	downstream_all	dentate_to_cerebellum	Ppp3ca	0.09429477556189102	0.09429477556189102
mature	downstream_all	dentate_to_cerebellum	Robo2	-0.029220128727729656	0.029220128727729656
mature	downstream_all	dentate_to_cerebellum	Rtn1	0.1438439344475325	0.1438439344475325
mature	downstream_all	dentate_to_cerebellum	Rtn3	-0.28126241228618687	0.28126241228618687
mature	downstream_all	dentate_to_cerebellum	Slc17a6	-0.24846506568574972	0.24846506568574972
mature	downstream_all	dentate_to_cerebellum	Slc17a7	-0.24663990680497128	0.24663990680497128
mature	downstream_all	dentate_to_cerebellum	Snap25	0.06621809056241115	0.06621809056241115
mature	downstream_all	dentate_to_cerebellum	Stmn2	-0.29198712540282046	0.29198712540282046
mature	downstream_all	dentate_to_cerebellum	Stmn3	-0.2884710266980872	0.2884710266980872
mature	downstream_all	dentate_to_cerebellum	Stxbp1	-0.16418486556531964	0.16418486556531964
mature	downstream_all	dentate_to_cerebellum	Stxbp5l	-0.17673050403757565	0.17673050403757565
mature	downstream_all	dentate_to_cerebellum	Synpr	0.34485391348914757	0.34485391348914757
mature	downstream_all	dentate_to_cerebellum	Syt1	-0.17385165950689666	0.17385165950689666
mature	downstream_all	cerebellum_to_dentate	Basp1	-0.10710418669959537	0.10710418669959537
