feature_set	feature_set_label	n_features	dentate_to_cerebellum_auc	cerebellum_to_dentate_auc	minimum_bidirectional_auc	intersection_union_label_permutation_p	transfer_interpretation	observed_dentate_to_cerebellum_auc	observed_cerebellum_to_dentate_auc	observed_minimum_bidirectional_auc	matched_null_median_minimum_auc	matched_null_95ci_low_minimum_auc	matched_null_95ci_high_minimum_auc	matched_gene_panel_empirical_p	matching_rule	matched_gene_panel_q_bh	intersection_union_label_permutation_q_bh
tier1	Tier 1 candidates	6	1.0	0.9013840830449827	0.9013840830449827	0.296351824087956	descriptive_positive_ranking_not_label_null_exceeding	1.0	0.9013840830449827	0.9013840830449827	0.8442906574394463	0.0	1.0	0.3598200899550225	same-size unique genes from 2500-gene common-matrix pool; nearest overall mean expression and detection	1.0	0.889055472263868
tier1_tier2	Tier 1+2 candidates	15	1.0	0.7837370242214533	0.7837370242214533	0.23388305847076463	descriptive_positive_ranking_not_label_null_exceeding	1.0	0.7837370242214533	0.7837370242214533	0.8044982698961938	0.0	1.0	0.5302348825587206	same-size unique genes from 2500-gene common-matrix pool; nearest overall mean expression and detection	1.0	0.889055472263868
downstream_all	All downstream genes	41	0.0	0.0	0.0	1.0	bidirectional_reversed_transfer	0.0	0.0	0.0	0.8633217993079585	0.0	0.9896193771626297	1.0	same-size unique genes from 2500-gene common-matrix pool; nearest overall mean expression and detection	1.0	1.0
neurite_morphology	Neurite/morphology genes	21	0.0	0.0	0.0	1.0	bidirectional_reversed_transfer	0.0	0.0	0.0	0.8486159169550174	0.0	1.0	1.0	same-size unique genes from 2500-gene common-matrix pool; nearest overall mean expression and detection	1.0	1.0
synaptic_excitability	Synaptic/excitability genes	20	0.013857394809775799	0.5121107266435986	0.013857394809775799	0.6586706646676662	directionally_inconsistent_or_null	0.013857394809775799	0.5121107266435986	0.013857394809775799	0.7958477508650519	0.0	0.9930795847750865	0.9080459770114943	same-size unique genes from 2500-gene common-matrix pool; nearest overall mean expression and detection	1.0	1.0
all_curated	All curated module genes	89	0.45175107079868987	0.010380622837370245	0.010380622837370245	0.9235382308845578	bidirectional_reversed_transfer	0.45175107079868987	0.010380622837370245	0.010380622837370245	0.685577281021341	0.0	1.0	0.8905547226386806	same-size unique genes from 2500-gene common-matrix pool; nearest overall mean expression and detection	1.0	1.0
