matrix	population	library	n_cells
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrHPFDG3iM017d210223	9
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrSUBMiM016d210219A3	2
HPF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrSUBMiM016d210219B3	3
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrENTiF015d201201B2	4
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrENTiF016d210119A1	1
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrENTiF016d210119A3	1
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrENTiM015d201201A2	1
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrHPFCA1iM017d210223	2
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrHPFCA2CA3iF014d210217A2	3
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrHPFCA2CA3iM017d210223A1	1
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrHPFCA2CA3iM017d210223A2	3
HPF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrSUBMiM016d210219B3	1
OLF	Cerebellar granule	pBICCNsMMrOLFiM016d201201D1	1
OLF	Cortical L4/5 IT excitatory	pBICCNsMMrOLFiM015d201201C1	33
OLF	Cortical L4/5 IT excitatory	pBICCNsMMrOLFiM015d201201C2	13
OLF	Cortical L4/5 IT excitatory	pBICCNsMMrOLFiM016d201201D1	1
OLF	Dentate granule, immature	pBICCNsMMrOLFiF016d210119G3	1
OLF	Dentate granule, immature	pBICCNsMMrOLFiM018d210119F3	1
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF014d201201A1	173
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF014d201201A2	165
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF014d201201A3	209
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF015d201201B1	223
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF015d201201B2	208
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF015d201201B3	208
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF016d210119G1	223
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF016d210119G2	191
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF016d210119G3	244
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF017d210119H1	401
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF017d210119H2	279
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiF017d210119H3	319
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM015d201201C1	201
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM015d201201C2	189
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM016d201201D1	264
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM016d201201D2	313
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM016d201201D3	216
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM017d210119E1	15
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM017d210119E2	233
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM017d210119E3	272
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM018d210119F1	263
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM018d210119F2	206
OLF	Olfactory-bulb GABA, immature proxy	pBICCNsMMrOLFiM018d210119F3	213
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF014d201201A1	4031
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF014d201201A2	3961
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF014d201201A3	4365
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF015d201201B1	4487
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF015d201201B2	4318
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF015d201201B3	4283
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF016d210119G1	4705
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF016d210119G2	4491
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF016d210119G3	4968
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF017d210119H1	6896
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF017d210119H2	5174
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiF017d210119H3	6006
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM015d201201C1	3707
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM015d201201C2	3125
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM016d201201D1	5528
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM016d201201D2	6582
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM016d201201D3	5180
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM017d210119E1	453
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM017d210119E2	4841
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM017d210119E3	5093
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM018d210119F1	4885
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM018d210119F2	4535
OLF	Olfactory-bulb GABA, mature proxy	pBICCNsMMrOLFiM018d210119F3	3940
Isocortex	CA1/ProS pyramidal	pBICCNsMMrACAiF019d210630A4	1
Isocortex	CA1/ProS pyramidal	pBICCNsMMrACAiM016d210628A1	1
Isocortex	CA1/ProS pyramidal	pBICCNsMMrACAiM016d210628A2	1
Isocortex	CA1/ProS pyramidal	pBICCNsMMrACAiM016d210628A5	1
Isocortex	CA1/ProS pyramidal	pBICCNsMMrACAiM016d210628A6	1
Isocortex	CA1/ProS pyramidal	pBICCNsMMrCTXANGiF021d210525C1	1
Isocortex	CA1/ProS pyramidal	pBICCNsMMrCTXMTGiF021d210525B1	197
Isocortex	CA1/ProS pyramidal	pBICCNsMMrCTXMTGiF021d210525B2	247
Isocortex	CA1/ProS pyramidal	pBICCNsMMrCTXMTGiF022d210610B1	342
Isocortex	CA1/ProS pyramidal	pBICCNsMMrCTXMTGiF022d210610B2	378
Isocortex	CA1/ProS pyramidal	pBICCNsMMrCTXMTGiM022d210602B1	279
Isocortex	CA1/ProS pyramidal	pBICCNsMMrCTXMTGiM022d210602B2	230
Isocortex	CA1/ProS pyramidal	pBICCNsMMrMOpMiF006d190314b	228
Isocortex	CA1/ProS pyramidal	pBICCNsMMrMOpMiM006d190320b	20
Isocortex	CA1/ProS pyramidal	pBICCNsMMrMOpPiF006d190314	553
Isocortex	CA1/ProS pyramidal	pBICCNsMMrMOpPiF007d190314	38
Isocortex	CA1/ProS pyramidal	pBICCNsMMrMOpPiM003d190318b	223
Isocortex	CA1/ProS pyramidal	pBICCNsMMrMOpPiM004d190318b	120
Isocortex	CA1/ProS pyramidal	pBICCNsMMrMOpPiM007d190320b	246
Isocortex	CA1/ProS pyramidal	pBICCNsMMrMOpPiM008d190320b	365
Isocortex	CA1/ProS pyramidal	pBICCNsMMrRSPMiM015d210208B2	1
Isocortex	CA1/ProS pyramidal	pBICCNsMMrVISPiF019d210623B1	190
Isocortex	CA1/ProS pyramidal	pBICCNsMMrVISPiF019d210623B2	147
Isocortex	CA1/ProS pyramidal	pBICCNsMMrVISPiF019d210623B3	166
Isocortex	CA1/ProS pyramidal	pBICCNsMMrVISiF022d210719A1	2
Isocortex	CA1/ProS pyramidal	pBICCNsMMrVISiM022d210719B1	47
Isocortex	CA1/ProS pyramidal	pBICCNsMMrVISiM022d210719B2	48
Isocortex	CA1/ProS pyramidal	pBICCNsMMrVISiM022d210719B3	36
Isocortex	CA3 pyramidal	pBICCNsMMrCTXMTGiF022d210610B1	1
Isocortex	CA3 pyramidal	pBICCNsMMrCTXMTGiM022d210602B1	1
Isocortex	CA3 pyramidal	pBICCNsMMrCTXMTGiM022d210602B2	8
Isocortex	CA3 pyramidal	pBICCNsMMrMOpPiM003d190318b	2
Isocortex	CA3 pyramidal	pBICCNsMMrMOpPiM004d190318b	1
Isocortex	CA3 pyramidal	pBICCNsMMrMOpPiM008d190320b	2
Isocortex	CA3 pyramidal	pBICCNsMMrVISPiM019d210623A1	2
Isocortex	Cerebellar granule	pBICCNsMMrACAiF019d210630A4	1
Isocortex	Cerebellar granule	pBICCNsMMrACAiM016d210628A5	1
Isocortex	Cerebellar granule	pBICCNsMMrAUDiF022d210715A6	1
Isocortex	Cerebellar granule	pBICCNsMMrRSPAiF017d210216A2	1
Isocortex	Cerebellar granule	pBICCNsMMrRSPAiF017d210216A3	4
Isocortex	Cerebellar granule	pBICCNsMMrRSPPiF017d210210A1	9
Isocortex	Cerebellar granule	pBICCNsMMrRSPPiF017d210210A2	8
Isocortex	Cerebellar granule	pBICCNsMMrRSPPiF017d210210A3	5
Isocortex	Cerebellar granule	pBICCNsMMrVISPiF019d210623B1	1
Isocortex	Cerebellar granule	pBICCNsMMrVISiM022d210719B1	1
Isocortex	Cerebellar granule	pBICCNsMMrVISiM022d210719B2	1
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiF019d210630A1	1191
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiF019d210630A2	1139
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiF019d210630A3	1178
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiF019d210630A4	1029
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiF019d210630A5	976
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiF019d210630A6	1049
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiM016d210628A1	1393
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiM016d210628A2	1304
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiM016d210628A3	1367
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiM016d210628A4	1344
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiM016d210628A5	1355
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrACAiM016d210628A6	1332
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiF022d210715A1	2040
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiF022d210715A2	1965
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiF022d210715A3	2146
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiF022d210715A4	1955
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiF022d210715A5	2000
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiF022d210715A6	2240
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiM015d210707A1	1817
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiM015d210707A2	1756
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiM015d210707A3	1963
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiM015d210707A4	1929
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiM015d210707A5	1877
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrAUDiM015d210707A6	1642
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXANGiF021d210525C1	2001
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXANGiF021d210525C2	2171
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXANGiF022d210610C1	2957
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXANGiF022d210610C2	2780
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXANGiM022d210602C1	2459
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXANGiM022d210602C2	2419
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXDLFCiF021d210525A1	1330
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXDLFCiF021d210525A2	1297
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXDLFCiF022d210610A1	1234
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXDLFCiF022d210610A2	1385
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXDLFCiM022d210602A1	1353
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXDLFCiM022d210602A2	1517
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXMTGiF021d210525B1	1530
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXMTGiF021d210525B2	1495
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXMTGiF022d210610B1	531
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXMTGiF022d210610B2	572
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXMTGiM022d210602B1	1689
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrCTXMTGiM022d210602B2	1454
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiF003d190318b	14
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiF004d190318b	284
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiF005d190318b	380
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiF007d190314b	1354
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiF008d190314b	805
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiM002d190320b	645
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiM003d190318b	502
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiM007d190320b	216
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpAiM008d190320b	1202
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiF003d190318b	585
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiF004d190318b	296
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiF005d190318b	2367
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiF006d190314b	1332
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiF007d190314b	233
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiF008d190314b	1244
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiM002d190320b	232
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiM003d190318b	612
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiM004d190318b	832
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiM006d190320b	486
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiM007d190320b	836
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpMiM008d190320b	794
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiF003d190318b	1127
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiF004d190314	602
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiF005d190318b	951
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiF006d190314	601
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiF007d190314	411
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiF008d190314b	902
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiM002d190320b	236
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiM003d190318b	601
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiM004d190318b	553
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiM007d190320b	732
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrMOpPiM008d190320b	805
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPAiF017d210216A2	1064
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPAiF017d210216A3	1185
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPAiF017d210216B2	679
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPMiM015d210208A1	48
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPMiM015d210208A2	60
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPMiM015d210208A3	49
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPMiM015d210208B1	35
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPMiM015d210208B2	38
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPMiM015d210208B3	29
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPPiF017d210210A1	2
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPPiF017d210210A2	6
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPPiF017d210210A3	2
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPPiF017d210210B1	43
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPPiF017d210210B2	55
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrRSPPiF017d210210B3	54
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrS1iF022d210713A1	2527
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrS1iF022d210713A2	2449
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrS1iF022d210713A3	2017
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrS1iF022d210713A4	2289
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrS1iF022d210713A6	2216
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISPiF019d210623B1	2021
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISPiF019d210623B2	1791
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISPiF019d210623B3	1853
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISPiM019d210623A1	1890
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISPiM019d210623A2	1728
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISPiM019d210623A3	2013
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISiF022d210719A1	1400
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISiF022d210719A2	1365
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISiF022d210719A3	1405
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISiM022d210719B1	875
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISiM022d210719B2	881
Isocortex	Cortical L4/5 IT excitatory	pBICCNsMMrVISiM022d210719B3	672
Isocortex	Dentate granule, immature	pBICCNsMMrCTXMTGiF021d210525B1	1
Isocortex	Dentate granule, immature	pBICCNsMMrCTXMTGiF021d210525B2	1
Isocortex	Dentate granule, immature	pBICCNsMMrCTXMTGiM022d210602B1	1
Isocortex	Dentate granule, immature	pBICCNsMMrMOpMiF006d190314b	1
Isocortex	Dentate granule, immature	pBICCNsMMrMOpMiM008d190320b	1
Isocortex	Dentate granule, immature	pBICCNsMMrMOpPiM007d190320b	1
Isocortex	Dentate granule, immature	pBICCNsMMrVISPiF019d210623B2	1
Isocortex	Dentate granule, mature	pBICCNsMMrAUDiM015d210707A6	1
Isocortex	Dentate granule, mature	pBICCNsMMrMOpAiF007d190314b	1
Isocortex	Dentate granule, mature	pBICCNsMMrMOpMiM007d190320b	1
Isocortex	Dentate granule, mature	pBICCNsMMrRSPMiM015d210208A1	2
Isocortex	Dentate granule, mature	pBICCNsMMrRSPMiM015d210208A2	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrACAiF019d210630A1	3
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrACAiF019d210630A2	3
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrACAiF019d210630A3	13
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrACAiF019d210630A4	8
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrACAiF019d210630A5	7
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrACAiF019d210630A6	12
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiF022d210715A1	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiF022d210715A2	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiF022d210715A3	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiF022d210715A4	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiF022d210715A5	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiM015d210707A1	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiM015d210707A3	3
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiM015d210707A5	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrAUDiM015d210707A6	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrCTXANGiM022d210602C1	3
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrCTXANGiM022d210602C2	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrCTXDLFCiF022d210610A1	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrCTXMTGiF021d210525B1	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrCTXMTGiF022d210610B1	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrCTXMTGiF022d210610B2	4
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrCTXMTGiM022d210602B1	3
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpAiF003d190318b	84
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpAiM008d190320b	3
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpMiF003d190318b	3
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpMiF006d190314b	8
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpMiM004d190318b	22
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpMiM007d190320b	16
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpMiM008d190320b	96
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiF003d190318b	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiF004d190314	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiF006d190314	9
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiF007d190314	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiF008d190314b	5
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiM002d190320b	3
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiM003d190318b	24
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiM004d190318b	13
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiM007d190320b	36
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrMOpPiM008d190320b	7
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrRSPMiM015d210208B2	1
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISPiF019d210623B1	6
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISPiF019d210623B2	6
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISPiF019d210623B3	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISPiM019d210623A1	4
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISPiM019d210623A2	6
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISPiM019d210623A3	6
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISiF022d210719A1	5
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISiF022d210719A2	5
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISiF022d210719A3	2
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISiM022d210719B1	7
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISiM022d210719B2	12
Isocortex	Olfactory-bulb GABA, immature proxy	pBICCNsMMrVISiM022d210719B3	4
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrACAiF019d210630A2	6
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrACAiF019d210630A5	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrACAiM016d210628A2	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrACAiM016d210628A6	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrAUDiF022d210715A1	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrAUDiF022d210715A3	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrAUDiF022d210715A4	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrAUDiF022d210715A5	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrAUDiF022d210715A6	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrCTXANGiM022d210602C1	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrCTXDLFCiF021d210525A1	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrCTXDLFCiF021d210525A2	4
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrCTXDLFCiF022d210610A2	3
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrCTXDLFCiM022d210602A1	7
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrCTXDLFCiM022d210602A2	12
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrCTXMTGiF021d210525B2	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpAiF003d190318b	214
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpAiF007d190314b	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpAiM002d190320b	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpAiM008d190320b	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpMiF005d190318b	1
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpMiF006d190314b	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpMiF008d190314b	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpMiM002d190320b	8
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpMiM003d190318b	2
Isocortex	Olfactory-bulb GABA, mature proxy	pBICCNsMMrMOpMiM004d190318b	2
